"BroodRef","SocialMumID","SocialDadID","BroodName","NestboxRef","SocialDadCertain","SocialdadIsGenetic","SocialMumCertain","SocialMumIsGenetic","Notes","BreedingYear","HatchingDate","HatchingDayAfter0401","LayDate","NbHatched","Nb3","NbRinged","LastLiveRecordSocialDad","LastLiveRecordSocialDadSource","LastLiveRecordSocialMum","LastLiveRecordSocialMumSource","CohortDad","CohortMum","DadAge","MumAge","ParentsAge","MBroodNb","MPriorResidence","MnextNBsame","MnextLayDate","MnextFsame","MwillDivorce","MwillDivorceforEx","FBroodNb","FPriorResidence","FnextNBsame","FnextLayDate","FnextMsame","FwillDivorce","FwillDivorceforEx","PairID","PairIDYear","PairBroodNb","AvgMass","MinMass","MaxMass","CVMass","nMass","AvgTarsus","nTarsus","nDiff","AvgClassAge"
1,419,4503,"D204",101,1,0,1,0,NA,2004,2004-07-31,120,2004-07-17,3,2,2,"30-Jan-05","C","14-Nov-05","C",2000,2002,4,2,3,8,FALSE,NA,NA,NA,NA,NA,6,FALSE,FALSE,2005-05-02,FALSE,NA,NA,"4503419","45034192004",4,23.8500003814697,21.5,26.2000007629395,0.139346159044489,2,19.0999994277954,2,0,12
2,723,NA,"D205",96,0,0,1,0,NA,2004,NA,NA,2004-07-18,0,0,0,NA,NA,"17-Nov-05","C",NA,2001,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA,"NA723","NA7232004",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,371,456,"D206",56,1,0,1,0,NA,2004,2004-08-01,121,2004-07-16,2,0,0,"30-Jan-05","C","30-Aug-04","C",2002,2002,2,2,2,5,TRUE,TRUE,2005-04-23,FALSE,FALSE,NA,7,FALSE,NA,NA,NA,NA,NA,"456371","4563712004",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,309,4422,"D207",127,1,0,1,0,"Dad:all cuckolded",2004,2004-07-31,120,2004-07-18,4,0,0,"30-Jan-05","C","20-Aug-05","SP",2001,2002,3,2,2.5,7,FALSE,NA,NA,NA,NA,NA,8,TRUE,FALSE,2005-05-01,FALSE,NA,NA,"4422309","44223092004",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,122,132,"D208",16,1,0,1,0,NA,2004,2004-07-31,120,2004-07-18,4,1,1,"30-Jan-05","C","19-Nov-05","C",2001,2001,3,3,3,7,TRUE,NA,NA,NA,NA,NA,6,TRUE,TRUE,2005-05-12,FALSE,NA,NA,"132122","1321222004",5,21.5,21.5,21.5,NA,1,17.3999996185303,1,0,13
6,988,145,"D209",69,1,0,1,0,NA,2004,2004-08-01,121,2004-07-20,3,1,1,"15-Nov-05","C","14-Jul-06","SP",2001,2003,3,1,2,7,FALSE,TRUE,2005-04-10,TRUE,FALSE,NA,4,FALSE,TRUE,2005-04-10,TRUE,FALSE,NA,"145988","1459882004",4,19.6000003814697,19.6000003814697,19.6000003814697,NA,1,18.2000007629395,1,0,13
7,857,4247,"D210",95,1,0,1,0,"Dad:FROM GENETICS",2004,2004-08-01,121,2004-07-18,2,2,2,"24-Nov-04","C","12-Aug-06","SP",2000,2003,4,1,2.5,8,TRUE,NA,NA,NA,NA,NA,3,TRUE,TRUE,2005-05-06,FALSE,NA,NA,"4247857","42478572004",3,17.8000001907349,16,19.6000003814697,0.143010249262515,2,16.25,2,0,12
8,929,46,"D211",82,1,0,0,0,"Mum:Female not sure TB09097",2004,2004-08-02,122,2004-07-18,3,0,0,"01-Dec-07","C","23-Aug-07","SP",2001,2003,3,1,2,8,TRUE,TRUE,2005-05-08,FALSE,TRUE,FALSE,3,TRUE,FALSE,2005-05-07,FALSE,NA,NA,"46929","469292004",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,32,513,"D212",84,1,0,1,0,NA,2004,2004-08-02,122,2004-07-19,3,0,0,"30-Jan-05","C","29-Nov-04","C",2003,2001,1,3,2,4,FALSE,NA,NA,NA,NA,NA,7,FALSE,NA,NA,NA,NA,NA,"51332","513322004",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,4497,4265,"D213",143,1,0,1,0,NA,2004,2004-08-02,122,2004-07-19,3,0,0,"30-Aug-05","SP","30-Aug-04","C",2000,1999,4,5,4.5,13,TRUE,TRUE,2005-05-03,FALSE,FALSE,NA,14,TRUE,FALSE,2000-05-23,FALSE,NA,NA,"42654497","426544972004",9,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,960,650,"D214",128,1,0,1,0,NA,2004,2004-08-02,122,2004-07-19,3,0,0,"13-Jun-07","EP","30-Aug-05","S",2002,2003,2,1,1.5,4,TRUE,TRUE,2005-04-10,NA,NA,NA,4,TRUE,TRUE,2005-05-01,TRUE,FALSE,NA,"650960","6509602004",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,955,591,"D215",27,1,0,1,0,NA,2004,2004-08-02,122,2004-07-19,2,0,0,"17-Nov-05","C","30-Jan-05","C",2002,2003,2,1,1.5,3,TRUE,FALSE,2005-05-10,FALSE,FALSE,NA,3,TRUE,NA,NA,NA,NA,NA,"591955","5919552004",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
