"DVDRef","DVDdate","BroodRef","Filename","DVDInfoChickNb","DVDInfoAge","DVDtime","DVDInfoNotes","TapeLength","EffectTime","HatchingDate","ChickAge","ChickAgeCat","Sunrise","RelTimeMins","LogRelTimeMins","RelTimeHrs","Protocol"
1,2004-04-25,442,"2004\40001LM18.xlsx",2,13,2016-05-16 08:45:00,"plus LM19",92.5999984741211,91.5,2004-04-12,13,"Age10",2016-05-16 05:58:00,167,2.24797326636181,2.78,"Shinichi"
5,2004-04-26,448,"2004\40005.xlsx",1,3,2016-05-16 06:50:00,NA,87.9000015258789,83.9000015258789,2004-04-25,1,"Age06",2016-05-16 05:56:00,54,1.80617997398389,0.9,"Shinichi"
9,2004-04-29,452,"2004\40009.xlsx",3,3,2016-05-16 07:00:00,NA,93.6999969482422,92.4000015258789,2004-04-27,2,"Age06",2016-05-16 05:51:00,69,1.89762709129044,1.15,"Shinichi"
10,2004-04-29,451,"2004\40010.xlsx",3,3,2016-05-16 07:00:00,NA,93.6999969482422,90.8000030517578,2004-04-27,2,"Age06",2016-05-16 05:51:00,69,1.89762709129044,1.15,"Shinichi"
11,2004-05-01,454,"2004\40011.xlsx",2,3,2016-05-16 07:10:00,NA,92.5999984741211,85,2004-04-29,2,"Age06",2016-05-16 05:47:00,83,1.96848294855394,1.38,"Shinichi"
14,2004-05-02,456,"2004\40014.xlsx",3,3,2016-05-16 07:00:00,NA,93.5999984741211,89.5999984741211,2004-04-30,2,"Age06",2016-05-16 05:45:00,75,1.92941892571429,1.25,"Shinichi"
19,2004-05-03,452,"2004\40019.xlsx",1,7,2016-05-16 06:50:00,NA,93.5,89,2004-04-27,6,"Age06",2016-05-16 05:43:00,67,1.88649072517248,1.12,"Shinichi"
20,2004-05-03,457,"2004\40020.xlsx",2,3,2016-05-16 07:00:00,NA,93.8000030517578,90.4000015258789,2004-05-01,2,"Age06",2016-05-16 05:43:00,77,1.93951925261862,1.28,"Shinichi"
24,2004-05-03,459,"2004\40024.xlsx",2,3,2016-05-16 09:20:00,NA,92.4000015258789,89.1999969482422,2004-05-01,2,"Age06",2016-05-16 05:43:00,217,2.35602585719312,3.62,"Shinichi"
25,2004-05-04,461,"2004\40025.xlsx",3,3,2016-05-16 08:00:00,NA,93.3000030517578,89.5999984741211,2004-05-02,2,"Age06",2016-05-16 05:41:00,139,2.17318626841227,2.32,"Shinichi"
26,2004-05-04,462,"2004\40026.xlsx",2,3,2016-05-16 08:00:00,NA,93.6999969482422,89.5,2004-05-02,2,"Age06",2016-05-16 05:41:00,139,2.17318626841227,2.32,"Shinichi"
27,2004-05-04,460,"2004\40027.xlsx",4,3,2016-05-16 08:30:00,"CHI 4->3C3D",93.6999969482422,91.0999984741211,2004-05-01,3,"Age06",2016-05-16 05:41:00,169,2.25285303097989,2.82,"Shinichi"
30,2004-05-06,464,"2004\40030.xlsx",4,4,2016-05-16 07:10:00,"CHI 5->3C4D",93.6999969482422,91.4000015258789,2004-05-03,3,"Age06",2016-05-16 05:38:00,92,2.00860017176192,1.53,"Shinichi"
31,2004-05-06,463,"2004\40031.xlsx",1,3,2016-05-16 07:00:00,NA,93.6999969482422,67.5,2004-05-03,3,"Age06",2016-05-16 05:38:00,82,1.96378782734556,1.37,"Shinichi"
