"DVDRef","Filename","MVisit1","FVisit1","MVisit2","FVisit2","ShareTime1","MTime1","FTime1","MTime2","FTime2","Protocol","ShareTime12","NbAlternation","NbSynchro_ChickFeedingEquanim","NbSynchro_LessConspicuous","NbSynchroFemaleStart","MmeanDuration","FmeanDuration","EffectiveTime","MFTime1","MFTime02","MFTime2","FVisit1RateH","MVisit1RateH","DiffVisit1Rate","MFVisit1RateH","FTime1RateH","MTime1RateH","DiffTime1Rate","AlternationValue","SynchronyFeedValue","SynchronyMvtValue","PropSynchroFemaleStart"
1,"2004\40001LM18.xlsx",1,29,2,1,0,0,16.1,0.599999999999994,3.49999999999999,"Shinichi",0,2,0,0,0,0,0.555172413793104,91.4999984741211,16.1,75.4,4.1,19,1,18,19.6721314755988,10.56,0,10.56,6.9,0,0,NA
5,"2004\40005.xlsx",11,5,4,3,0.4,40.6,20.2,4.30000000000001,7.59999999999999,"Shinichi",4.3,7,0,6,0,3.69090909090909,4.04,83.9000015258789,60.4,23.5,8,4,8,4,11.4421928789106,14.45,29.03,14.58,46.7,0,40,NA
9,"2004\40009.xlsx",15,8,0,0,3.4,20.9,69.2,2.5,0.999999999999999,"Shinichi",5.4,14,1,8,0,1.39333333333333,8.65,92.3999969482422,86.7,5.7,1.5,5,10,5,14.9350654283355,44.94,13.57,31.37,63.6,4.5,36.4,0
10,"2004\40010.xlsx",10,7,4,0,0,27.9,41.1,19.4,1.60000000000001,"Shinichi",2.8,11,0,6,0,2.79,5.87142857142857,90.7999969482422,69,21.8,18.2,5,7,2,11.233480553765,27.16,18.44,8.72,68.8,0,37.5,NA
11,"2004\40011.xlsx",7,5,0,1,0,23.3,58.9,4.9,1.50000000000001,"Shinichi",4.8,10,0,9,0,3.32857142857143,11.78,84.9999984741211,82.2,2.8,1.6,4,5,1,8.47058838735402,41.58,16.45,25.13,90.9,0,81.8,NA
14,"2004\40014.xlsx",6,7,1,1,0.1,37.1,44.2,1.79999999999999,1.00000000000002,"Shinichi",2,11,0,10,0,6.18333333333333,6.31428571428571,89.5999984741211,81.2,8.4,0.9,5,4,1,8.70535729110849,29.6,24.84,4.76,91.7,0,83.3,NA
19,"2004\40019.xlsx",4,0,18,4,0,5.00000000000001,0,35.4,4,"Shinichi",2.5,0,0,0,0,1.25,NA,89,5.00000000000001,84,36.9,0,3,3,2.69662921348315,0,3.37,3.37,0,0,0,NA
20,"2004\40020.xlsx",7,8,0,0,0.5,36.3,42.8,3.3,0.500000000000004,"Shinichi",3.6,10,0,7,0,5.18571428571429,5.35,90.4000030517578,78.6,11.8,0.7,5,5,0,9.9557518762993,28.41,24.09,4.32,71.4,0,50,NA
24,"2004\40024.xlsx",7,8,0,0,0.2,26.3,48.5,4,2.19999999999999,"Shinichi",3.4,12,0,9,0,3.75714285714286,6.0625,89.2000015258789,74.6,14.6,3,5,5,0,10.0896859260579,32.62,17.69,14.93,85.7,0,64.3,NA
25,"2004\40025.xlsx",10,6,1,8,0.1,48.6,1.7,24.7,13.2,"Shinichi",8,7,2,7,0,4.86,0.283333333333334,89.6000030517578,50.2,39.4,30,4,7,3,10.7142853493593,1.14,32.54,31.4,46.7,13.3,46.7,0
26,"2004\40026.xlsx",8,11,5,2,0.1,23,35.5,6.70000000000001,1.40000000000003,"Shinichi",5.4,10,1,6,0,2.875,3.22727272727273,89.4999969482422,58.4,31.1,2.8,7,5,2,12.7374306019168,23.8,15.42,8.38,55.6,5.6,33.3,0
27,"2004\40027.xlsx",8,8,0,0,3.7,39.7,50.7,5.29999999999999,1.09999999999999,"Shinichi",9.7,15,0,12,0,4.9625,6.3375,91.0999969482422,86.7,4.4,0.4,5,5,0,10.5378708250168,33.39,26.15,7.24,100,0,80,NA
30,"2004\40030.xlsx",13,8,1,0,2.1,32,56.5,4.10000000000001,0.499999999999995,"Shinichi",5,12,0,9,0,2.46153846153846,7.0625,91.3999969482422,86.4,5,1.7,5,9,4,13.7855584471574,37.09,21.01,16.08,60,0,45,NA
31,"2004\40031.xlsx",3,2,3,0,0,18.7,1.7,4.3,4.19999999999999,"Shinichi",1.8,2,0,0,0,6.23333333333334,0.850000000000001,67.4999969482422,20.4,47.1,6.7,2,3,1,4.44444464538324,1.51,16.62,15.11,50,0,0,NA
32,"2004\40032.xlsx",4,0,4,4,0,3.09999999999999,0,3.09999999999999,2.90000000000001,"Shinichi",0.1,0,0,0,0,0.774999999999999,NA,92.3000015258789,3.09999999999999,89.2,5.9,0,3,3,2.60021664173764,0,2.02,2.02,0,0,0,NA
33,"2004\40033.xlsx",6,7,7,2,0.1,24.4,35.1,9.69999999999999,5.3,"Shinichi",2,7,0,3,0,4.06666666666667,5.01428571428571,86.7999969482422,59.4,27.4,13.1,5,4,1,8.98617543114782,24.26,16.87,7.39,58.3,0,25,NA
34,"2004\40034.xlsx",1,1,1,2,0,8.4,32.8,0.200000000000003,1.9,"Shinichi",0,1,0,0,0,8.4,32.8,80.6000030517578,41.2,39.4,2.1,1,1,0,1.48883369052655,24.42,6.25,18.17,100,0,0,NA
36,"2004\40036D.xlsx",6,10,1,0,0.7,21.7,41.3,0.400000000000012,0.299999999999994,"Shinichi",1,10,1,4,1,3.61666666666667,4.13,87.1,62.3,24.8,0.4,7,4,3,11.0218140068886,28.45,14.95,13.5,66.7,6.7,26.7,100
37,"2004\40037.xlsx",9,11,0,0,0,24.2,47,1.8,1.60000000000001,"Shinichi",1.3,15,0,11,0,2.68888888888889,4.27272727272727,88.5999969482422,71.2,17.4,2.1,7,6,1,13.5440185252039,31.83,16.39,15.44,78.9,0,57.9,NA
38,"2004\40038.xlsx",6,3,4,0,0,13.2,12.6,15.7,2.1,"Shinichi",1.7,6,0,3,0,2.2,4.2,88.8000030517578,25.8,63,16.1,2,4,2,6.08108087209475,8.51,8.92,0.41,75,0,37.5,NA
39,"2004\40039D.xlsx",9,10,1,0,0.6,26.9,61.1,7.50000000000001,0.100000000000001,"Shinichi",6.8,18,1,17,0,2.98888888888889,6.11,92.8999969482422,87.4,5.5,1.4,6,6,0,12.2712598218398,39.46,17.37,22.09,100,5.6,94.4,0
44,"2004\40044.xlsx",8,14,4,0,0.2,16.6,60.8,5.40000000000002,3.79999999999999,"Shinichi",3.8,12,0,12,0,2.075,4.34285714285714,92.5999969482422,77.2,15.4,5.6,9,5,4,14.2548600810192,39.4,10.76,28.64,57.1,0,57.1,NA
45,"2004\40045.xlsx",12,13,3,0,0.6,23.7,48.9,7.60000000000001,1.1,"Shinichi",2.8,16,1,13,0,1.975,3.76153846153846,92.3999969482422,72,20.4,6.5,8,8,0,16.2337667699299,31.75,15.39,16.36,66.7,4.2,54.2,0
48,"2004\40048.xlsx",8,7,1,1,0.3,35.1,43.8,3.90000000000001,1.00000000000001,"Shinichi",4,12,0,9,0,4.3875,6.25714285714286,91.1999969482422,78.6,12.6,1.2,5,5,0,9.86842138285123,28.82,23.09,5.73,85.7,0,64.3,NA
50,"2004\40050.xlsx",11,16,0,0,0.6,20.3,47.2,2.40000000000002,0.299999999999992,"Shinichi",1.8,16,2,18,0,1.84545454545455,2.95,91.1999969482422,66.9,24.3,1.5,11,7,4,17.7631584891322,31.05,13.36,17.69,61.5,7.7,69.2,0
54,"2004\40054.xlsx",10,8,1,0,1.7,26.7,51.4,7.49999999999999,2.69999999999999,"Shinichi",9,14,1,10,0,2.67,6.425,90.0000030517578,76.4,13.6,2.9,5,7,2,11.999999593099,34.27,17.8,16.47,82.4,5.9,58.8,0
58,"2004\40058.xlsx",15,14,1,0,0.5,21.3,46.7,3.8,1.30000000000001,"Shinichi",2.5,25,2,21,0,1.42,3.33571428571429,85.8000030517578,67.5,18.3,3.1,10,10,0,20.2797195584057,32.66,14.9,17.76,89.3,7.1,75,0
59,"2004\40059.xlsx",7,9,0,1,1.1,22.5,66.8,1.30000000000001,1.69999999999997,"Shinichi",2.4,12,1,9,1,3.21428571428571,7.42222222222223,93.4999969482422,88.2,5.3,1.7,6,4,2,10.2673800142626,42.87,14.44,28.43,80,6.7,60,100
63,"2004\40063.xlsx",6,6,0,0,0.2,36.2,44.1,0,0,"Shinichi",0.2,11,0,9,0,6.03333333333333,7.35,87.6999969482422,80.1,7.6,0,4,4,0,8.20980644303695,30.17,24.77,5.4,100,0,81.8,NA
66,"2004\40066.xlsx",10,4,1,0,8.5,30.8,68.3,1.1,0,"Shinichi",9.6,7,0,6,0,3.08,17.075,90.8000030517578,90.6,0.2,0,3,7,4,9.25110101065948,45.13,20.35,24.78,53.8,0,46.2,NA
69,"2004\40069.xlsx",11,11,1,1,0.1,1.4,62.3,0,0.200000000000003,"Shinichi",0.1,20,2,7,0,0.127272727272727,5.66363636363636,92.1999969482422,63.6,28.6,0.2,7,7,0,14.3167032938298,40.54,0.91,39.63,95.2,9.5,33.3,0
70,"2004\40070.xlsx",9,9,1,0,0,24.4,39.5,0,0.1,"Shinichi",0.1,13,1,15,1,2.71111111111111,4.38888888888889,90.8000030517578,63.9,26.9,0,6,6,0,11.8942727279908,26.1,16.12,9.98,76.5,5.9,88.2,100
71,"2004\40071.xlsx",2,7,1,0,0.1,0.200000000000003,32.6,0.100000000000001,0,"Shinichi",0.2,2,0,1,0,0.100000000000001,4.65714285714286,88.3999969482422,32.7,55.7,0,5,1,4,6.10859749594977,22.13,0.14,21.99,25,0,12.5,NA
72,"2004\40072.xlsx",12,0,10,8,0,13.3,0,12.1,2.70000000000002,"Shinichi",1.9,0,0,0,0,1.10833333333333,NA,86.0000030517578,13.3,72.7,12.9,0,8,8,8.37209272616745,0,9.28,9.28,0,0,0,NA
73,"2004\40073.xlsx",4,9,0,1,0.2,34.4,42.7,0.799999999999997,0.199999999999999,"Shinichi",0.2,6,0,4,0,8.6,4.74444444444444,84.7999984741211,76.9,7.9,1,6,3,3,9.19811337305669,30.21,24.34,5.87,50,0,33.3,NA
74,"2004\40074.xlsx",4,21,1,0,0,5.50000000000001,62.5,0,0.699999999999999,"Shinichi",0,6,0,4,0,1.375,2.97619047619048,89.5,68,21.5,0.7,14,3,11,16.7597765363128,41.9,3.69,38.21,25,0,16.7,NA
75,"2004\40075.xlsx",0,23,2,0,0,0,37.7,0.100000000000001,0,"Shinichi",0,0,0,0,0,NA,1.63913043478261,81.5999984741211,37.7,43.9,0.1,17,0,17,16.9117650221238,27.72,0,27.72,0,0,0,NA
76,"2004\40076.xlsx",15,10,1,0,1.2,41.7,38.8,0,0.100000000000001,"Shinichi",1.2,17,1,17,1,2.78,3.88,90.8999969482422,79.3,11.6,0.1,7,10,3,16.5016507190214,25.61,27.52,1.91,70.8,4.2,70.8,100
77,"2004\40077.xlsx",7,10,0,0,0,10.6,43.6,7.7,0,"Shinichi",0,10,0,5,0,1.51428571428572,4.36,92.2000030517578,54.2,38,7.7,7,5,2,11.0629063583372,28.37,6.9,21.47,62.5,0,31.2,NA
78,"2004\40078.xlsx",13,12,1,0,0.1,22.7,59.5,0.0999999999999943,0,"Shinichi",0.2,15,0,17,0,1.74615384615385,4.95833333333333,90.8999969482422,82.1,8.8,0,8,9,1,16.5016507190214,39.27,14.98,24.29,62.5,0,70.8,NA
79,"2004\40079.xlsx",6,7,0,0,1.1,7.4,63.3,0,0,"Shinichi",1.1,9,1,4,0,1.23333333333333,9.04285714285714,89.8999969482422,69.6,20.3,0,5,4,1,8.67630730231355,42.25,4.94,37.31,75,8.3,33.3,0
80,"2004\40080.xlsx",9,11,1,0,0,39.8,42.5,0,0,"Shinichi",0,18,0,14,0,4.42222222222222,3.86363636363636,93.8000030517578,82.3,11.5,0,7,6,1,12.7931765560589,27.19,25.46,1.73,94.7,0,73.7,NA
