"Filename","Tstart","Tend","State","Sex","Protocol","DVDRef"
"2004\40001LM18.xlsx",1.1,1.6,"OF","0","Shinichi",1
"2004\40001LM18.xlsx",5,5.3,"OF","0","Shinichi",1
"2004\40001LM18.xlsx",9,9.3,"A","0","Shinichi",1
"2004\40001LM18.xlsx",9.3,10,"IN","0","Shinichi",1
"2004\40001LM18.xlsx",11.4,11.9,"A","0","Shinichi",1
"2004\40001LM18.xlsx",11.9,12.1,"IN","0","Shinichi",1
"2004\40001LM18.xlsx",19.7,20.1,"A","0","Shinichi",1
"2004\40001LM18.xlsx",20.1,20.8,"IN","0","Shinichi",1
"2004\40001LM18.xlsx",22,22.3,"A","0","Shinichi",1
"2004\40001LM18.xlsx",22.3,24.3,"IN","0","Shinichi",1
"2004\40001LM18.xlsx",26.1,26.5,"OF","0","Shinichi",1
"2004\40001LM18.xlsx",27.2,27.4,"OF","0","Shinichi",1
"2004\40001LM18.xlsx",29.5,30.1,"OF","0","Shinichi",1
"2004\40001LM18.xlsx",31.6,32.2,"OF","0","Shinichi",1
"2004\40001LM18.xlsx",59.3,59.6,"OF","0","Shinichi",1
"2004\40001LM18.xlsx",37.1,37.6,"OF","0","Shinichi",1
"2004\40001LM18.xlsx",40.4,40.8,"A","0","Shinichi",1
"2004\40001LM18.xlsx",40.8,42.2,"IN","0","Shinichi",1
"2004\40001LM18.xlsx",43.6,43.7,"OF","0","Shinichi",1
"2004\40001LM18.xlsx",49.5,49.7,"OF","0","Shinichi",1
"2004\40001LM18.xlsx",52,52.1,"A","0","Shinichi",1
"2004\40001LM18.xlsx",52.1,52.5,"IN","0","Shinichi",1
"2004\40001LM18.xlsx",53,53.4,"OF","0","Shinichi",1
"2004\40001LM18.xlsx",54.5,54.6,"OF","0","Shinichi",1
"2004\40001LM18.xlsx",55.7,55.9,"OF","0","Shinichi",1
"2004\40001LM18.xlsx",57.1,57.3,"OF","0","Shinichi",1
"2004\40001LM18.xlsx",58.1,58.5,"OF","0","Shinichi",1
"2004\40001LM18.xlsx",82.9,83.5,"IN","0","Shinichi",1
"2004\40001LM18.xlsx",60.6,62.2,"IN","0","Shinichi",1
"2004\40001LM18.xlsx",64.3,64.7,"OF","0","Shinichi",1
"2004\40001LM18.xlsx",66.5,66.8,"OF","0","Shinichi",1
"2004\40001LM18.xlsx",69.2,69.8,"A","0","Shinichi",1
"2004\40001LM18.xlsx",69.8,70.9,"IN","0","Shinichi",1
"2004\40001LM18.xlsx",77.4,77.8,"A","0","Shinichi",1
"2004\40001LM18.xlsx",77.8,78.8,"IN","0","Shinichi",1
"2004\40001LM18.xlsx",79.4,79.5,"A","0","Shinichi",1
"2004\40001LM18.xlsx",80.2,80.3,"A","1","Shinichi",1
"2004\40001LM18.xlsx",82.3,82.3,"IN","1","Shinichi",1
"2004\40001LM18.xlsx",82.3,82.8,"A","1","Shinichi",1
"2004\40001LM18.xlsx",82.8,82.9,"A","0","Shinichi",1
"2004\40001LM18.xlsx",89.5,89.9,"OF","0","Shinichi",1
"2004\40001LM18.xlsx",91.9,92.2,"A","0","Shinichi",1
"2004\40001LM18.xlsx",92.2,92.5,"IN","0","Shinichi",1
"2004\40001LM19.xlsx",15.8,16.6,"IN","0","Shinichi",5147
"2004\40001LM19.xlsx",88.8,90.3,"IN","0","Shinichi",5147
"2004\40001LM19.xlsx",90.3,91.1,"A","0","Shinichi",5147
"2004\40001LM19.xlsx",92.1,92.5,"OF","0","Shinichi",5147
"2004\40001LM19.xlsx",93.3,93.4,"A","0","Shinichi",5147
"2004\40001LM19.xlsx",93.4,93.7,"IN","0","Shinichi",5147
"2004\40001LM19.xlsx",9.7,9.8,"OF","0","Shinichi",5147
"2004\40001LM19.xlsx",10.3,10.7,"OF","0","Shinichi",5147
"2004\40001LM19.xlsx",11.3,11.5,"OF","0","Shinichi",5147
"2004\40001LM19.xlsx",12.1,12.9,"OF","0","Shinichi",5147
"2004\40001LM19.xlsx",14.1,14.4,"A","0","Shinichi",5147
"2004\40001LM19.xlsx",14.4,14.8,"IN","0","Shinichi",5147
"2004\40001LM19.xlsx",17.1,17.2,"IN","0","Shinichi",5147
"2004\40001LM19.xlsx",18.9,20.3,"IN","0","Shinichi",5147
"2004\40001LM19.xlsx",21.9,22.3,"IN","0","Shinichi",5147
"2004\40001LM19.xlsx",23.8,24.7,"IN","0","Shinichi",5147
"2004\40001LM19.xlsx",25,28.6,"IN","0","Shinichi",5147
"2004\40001LM19.xlsx",44.5,44.8,"A","0","Shinichi",5147
"2004\40001LM19.xlsx",46.2,46.3,"A","0","Shinichi",5147
"2004\40001LM19.xlsx",46.3,47,"IN","0","Shinichi",5147
"2004\40001LM19.xlsx",47.2,47.6,"IN","0","Shinichi",5147
"2004\40001LM19.xlsx",56.1,56.6,"A","0","Shinichi",5147
"2004\40001LM19.xlsx",56.6,57,"IN","0","Shinichi",5147
"2004\40001LM19.xlsx",57.2,57.3,"A","0","Shinichi",5147
"2004\40001LM19.xlsx",57.6,58,"IN","0","Shinichi",5147
"2004\40001LM19.xlsx",60.7,60.8,"A","0","Shinichi",5147
"2004\40001LM19.xlsx",60.8,61.3,"IN","0","Shinichi",5147
"2004\40001LM19.xlsx",62.8,63.3,"A","0","Shinichi",5147
"2004\40001LM19.xlsx",63.3,64.1,"IN","0","Shinichi",5147
"2004\40001LM19.xlsx",65.3,65.6,"A","0","Shinichi",5147
"2004\40001LM19.xlsx",65.6,67.2,"IN","0","Shinichi",5147
"2004\40001LM19.xlsx",67.2,67.4,"A","0","Shinichi",5147
"2004\40001LM19.xlsx",72.5,73.1,"OF","0","Shinichi",5147
"2004\40001LM19.xlsx",73.8,74.5,"A","0","Shinichi",5147
"2004\40001LM19.xlsx",74.5,74.7,"IN","0","Shinichi",5147
"2004\40001LM19.xlsx",75,79.4,"IN","0","Shinichi",5147
"2004\40001LM19.xlsx",80.7,82.9,"OF","0","Shinichi",5147
"2004\40001LM19.xlsx",84.5,84.8,"OF","0","Shinichi",5147
"2004\40001LM19.xlsx",85.6,85.8,"A","0","Shinichi",5147
"2004\40001LM19.xlsx",85.8,86.4,"IN","0","Shinichi",5147
"2004\40001LM19.xlsx",87.1,87.4,"OF","0","Shinichi",5147
"2004\40001LM19.xlsx",2.5,4.4,"OF","0","Shinichi",5147
"2004\40001LM19.xlsx",6.8,6.9,"OF","0","Shinichi",5147
"2004\40001LM19.xlsx",7.6,7.7,"OF","0","Shinichi",5147
"2004\40001LM19.xlsx",8.2,8.4,"OF","0","Shinichi",5147
"2004\40001LM19.xlsx",8.8,9,"OF","0","Shinichi",5147
"2004\40001LM19.xlsx",15.7,15.8,"A","0","Shinichi",5147
"2004\40005.xlsx",4,4.1,"A","1","Shinichi",5
"2004\40005.xlsx",4.1,9.2,"IN","1","Shinichi",5
"2004\40005.xlsx",11,11.3,"A","1","Shinichi",5
"2004\40005.xlsx",16.7,16.8,"A","1","Shinichi",5
"2004\40005.xlsx",16.8,27.5,"IN","1","Shinichi",5
"2004\40005.xlsx",10.3,11.1,"A","0","Shinichi",5
"2004\40005.xlsx",35.7,35.8,"A","1","Shinichi",5
"2004\40005.xlsx",35.8,38.3,"IN","1","Shinichi",5
"2004\40005.xlsx",37.5,38.3,"A","0","Shinichi",5
"2004\40005.xlsx",38.3,38.4,"A","1","Shinichi",5
"2004\40005.xlsx",38.4,38.6,"IN","1","Shinichi",5
"2004\40005.xlsx",38.6,38.7,"A","1","Shinichi",5
"2004\40005.xlsx",38.7,40.4,"IN","1","Shinichi",5
"2004\40005.xlsx",41,41.6,"A","1","Shinichi",5
"2004\40005.xlsx",41,43.3,"A","0","Shinichi",5
"2004\40005.xlsx",42,42.1,"A","1","Shinichi",5
"2004\40005.xlsx",44.2,45.8,"A","0","Shinichi",5
"2004\40005.xlsx",45.8,52.2,"IN","0","Shinichi",5
"2004\40005.xlsx",47.5,47.7,"A","1","Shinichi",5
"2004\40005.xlsx",51.7,51.9,"A","1","Shinichi",5
"2004\40005.xlsx",51.9,56.6,"IN","1","Shinichi",5
"2004\40005.xlsx",56.2,56.7,"A","0","Shinichi",5
"2004\40005.xlsx",56.6,56.9,"A","1","Shinichi",5
"2004\40005.xlsx",56.7,59.7,"IN","0","Shinichi",5
"2004\40005.xlsx",59.7,60.4,"A","0","Shinichi",5
"2004\40005.xlsx",60.4,61.3,"IN","0","Shinichi",5
"2004\40005.xlsx",61.2,61.4,"A","1","Shinichi",5
"2004\40005.xlsx",61.4,66.8,"IN","1","Shinichi",5
