"RearingBrood","ChickID","NatalBrood","CrossFosteredYN","AvgOfMass","AvgOfTarsus","AvgOfAge","nMeasures","dam","sire","NbRinged","MeanA","MeanAdev","MeanAsim","MeanTotalProRate","MeanS","MeanSdev","MeanSsim","SocialMumID","SocialDadID","PairID","BreedingYear","HatchingDayAfter0401","PairBroodNb","NbHatched","XPriorResidence","GenPairID","ResMassTarsus_perChick","MeanLogAdev","MeanLogSdev"
5,1954,1,1,21.5,17.3999996185303,13,1,419,4503,1,16,3.78,12.22,15.5756204992493,8,2.78,5.22,122,132,"132122",2004,120,5,4,TRUE,"4503419",0.289015072453369,0.260184822994559,0.396097358104564
6,1965,4,1,19.6000003814697,18.2000007629395,13,1,309,251,1,8.5,-0.379999999999999,8.88,10.8140067224723,2.5,-0.47,2.97,988,145,"145988",2004,121,4,3,FALSE,"251309",-3.46575728997902,-0.0774791901526205,-0.156591360431299
7,1972,6,1,19.6000003814697,17,12,1,988,145,2,8.5,-0.449999999999999,8.95,10.6342567274646,1.5,-0.695,2.195,857,4247,"4247857",2004,121,3,2,TRUE,"145988",-0.683600385184031,-0.0864204296177744,-0.312648256825885
7,1974,6,1,16,15.5,12,1,988,285,2,8.5,-0.449999999999999,8.95,10.6342567274646,1.5,-0.695,2.195,857,4247,"4247857",2004,121,3,2,TRUE,"285988",-0.805906846718358,-0.0864204296177744,-0.312648256825885
27,2053,27,0,20.6000003814697,17,12,1,533,417,1,11,0.390000000000001,10.61,15.7693454773007,5,0.425,4.575,533,417,"417533",2005,29,3,1,TRUE,"417533",0.316399614815969,0.0460275701704135,0.0760359651220776
39,2109,40,1,23.6000003814697,18.1000003814697,12,1,917,457,1,5,0.84,4.16,11.2313756565216,1.5,0.54,0.96,427,22,"22427",2005,41,8,5,TRUE,"457917",0.766089855773452,0.11010334582045,0.298554996181502
40,2090,36,1,20,17.2000007629395,13,1,521,1038,2,17.5,1.96,15.54,20.1665149494792,10,2.58,7.42,917,4463,"4463917",2005,41,3,3,TRUE,"1038521",-0.747295058158488,0.113224385753426,0.173441844631454
40,2103,39,1,20,16.2000007629395,12,1,427,145,2,17.5,1.96,15.54,20.1665149494792,10,2.58,7.42,917,4463,"4463917",2005,41,3,3,TRUE,"145427",1.57116755513176,0.113224385753426,0.173441844631454
44,2136,46,1,22.2000007629395,18.7999992370605,12,1,524,2018,2,15.5,1.59,13.91,20.3243845042045,8,1.335,6.665,342,421,"421342",2005,42,3,4,TRUE,"2018524",-2.25683093878998,0.0968272276305547,0.116583475751772
44,2137,46,1,15.1999998092651,16,12,1,524,2018,2,15.5,1.59,13.91,20.3243845042045,8,1.335,6.665,342,421,"421342",2005,42,3,4,TRUE,"2018524",-2.76513834409838,0.0968272276305547,0.116583475751772
47,2131,45,1,24.3999996185303,18.7999992370605,12,1,586,285,1,10,0.5,9.5,10.1837276258646,2,-0.12,2.12,4290,4275,"42754290",2005,42,10,4,TRUE,"285586",-0.0568320831991789,0.0309607311753675,-0.0467014537854882
