"BroodRef","BirdID","NatalBroodID","RingedYN","LastStage","DeathDate","CrossFosteredYN","LastLiveRecord","HatchDate","MixedBroodYN","WeightedAge5","AgeCaptureAge5","RingingDate","RingingAge","DaysBetweenWeightedAge5andRinging","AvgBroodRingingAge","DurationSurvivalCheck","NbRinged","MeanA","MeanAdev","MeanAsim","MeanTotalProRate","MeanS","MeanSdev","MeanSsim","SocialMumID","SocialDadID","PairID","BreedingYear","HatchingDayAfter0401","PairBroodNb","NbHatched","XPriorResidence","MeanLogAdev","MeanLogSdev","MeanLogAdevAgeCat6","MeanLogSdevAgeCat6","MeanLogAdevAgeCat10","MeanLogSdevAgeCat10","MeanTotalProRateAgeCat6","MeanTotalProRateAgeCat10","MeanBroodSizeAgeCat6","MeanBroodSizeAgeCat10","NbChickd5"
5,1943,638,0,2,"2004-08-05",1,"2004-08-04 00:00:00","2004-07-31",1,TRUE,4,NA,NA,NA,6,6,1,16,4.02,11.98,15.5756204992493,8,2.6,5.4,122,132,"132122",2004,120,5,4,TRUE,0.279233017965253,0.365113812584597,0.279233017965253,0.365113812584597,NA,NA,15.5756204992493,NA,2,NA,3
5,1944,638,0,2,"2004-08-05",1,"2004-08-04 00:00:00","2004-07-31",1,TRUE,4,NA,NA,NA,6,6,1,16,4.02,11.98,15.5756204992493,8,2.6,5.4,122,132,"132122",2004,120,5,4,TRUE,0.279233017965253,0.365113812584597,0.279233017965253,0.365113812584597,NA,NA,15.5756204992493,NA,2,NA,3
5,1954,1,1,3,NA,1,"2006-08-08 00:00:00","2004-07-31",1,TRUE,5,2004-08-11,11,6,6,6,1,16,4.02,11.98,15.5756204992493,8,2.6,5.4,122,132,"132122",2004,120,5,4,TRUE,0.279233017965253,0.365113812584597,0.279233017965253,0.365113812584597,NA,NA,15.5756204992493,NA,2,NA,3
5,1955,1,0,2,"2004-08-02",1,"2004-08-01 00:00:00","2004-07-31",1,FALSE,NA,NA,NA,NA,6,6,1,16,4.02,11.98,15.5756204992493,8,2.6,5.4,122,132,"132122",2004,120,5,4,TRUE,0.279233017965253,0.365113812584597,0.279233017965253,0.365113812584597,NA,NA,15.5756204992493,NA,2,NA,3
6,1965,4,1,3,NA,1,"2004-08-12 00:00:00","2004-08-01",1,TRUE,5,2004-08-12,11,6,6,6,1,8.5,-0.379999999999999,8.88,10.8140067224723,2.5,-0.385,2.885,988,145,"145988",2004,121,4,3,FALSE,-0.0798452928377688,-0.129297265289098,0.147794114072423,-0.192271887647123,-0.307484699747961,-0.0663226429310726,10.3448272233344,11.2831862216101,1,1,1
6,1977,7,0,2,"2004-08-03",1,"2004-08-02 00:00:00","2004-08-01",1,FALSE,NA,NA,NA,NA,6,6,1,8.5,-0.379999999999999,8.88,10.8140067224723,2.5,-0.385,2.885,988,145,"145988",2004,121,4,3,FALSE,-0.0798452928377688,-0.129297265289098,0.147794114072423,-0.192271887647123,-0.307484699747961,-0.0663226429310726,10.3448272233344,11.2831862216101,1,1,1
6,1973,6,0,2,"2004-08-03",0,"2004-08-02 00:00:00","2004-08-01",1,FALSE,NA,NA,NA,NA,6,6,1,8.5,-0.379999999999999,8.88,10.8140067224723,2.5,-0.385,2.885,988,145,"145988",2004,121,4,3,FALSE,-0.0798452928377688,-0.129297265289098,0.147794114072423,-0.192271887647123,-0.307484699747961,-0.0663226429310726,10.3448272233344,11.2831862216101,1,1,1
7,1972,6,1,3,NA,1,"2005-06-28 00:00:00","2004-08-01",1,TRUE,5,2004-08-12,11,6,6,6,2,8.5,-0.460000000000001,8.96,10.6342567274646,1.5,-0.755,2.255,857,4247,"4247857",2004,121,3,2,TRUE,-0.0862268152860938,-0.339916131246326,0.112146775342185,-0.436102077570054,-0.284600405914373,-0.243730184922598,9.75609790677408,11.5124155481552,2,2,2
7,1974,6,1,3,NA,1,"2004-08-12 00:00:00","2004-08-01",1,TRUE,5,2004-08-12,11,6,6,6,2,8.5,-0.460000000000001,8.96,10.6342567274646,1.5,-0.755,2.255,857,4247,"4247857",2004,121,3,2,TRUE,-0.0862268152860938,-0.339916131246326,0.112146775342185,-0.436102077570054,-0.284600405914373,-0.243730184922598,9.75609790677408,11.5124155481552,2,2,2
27,2053,27,1,3,NA,0,"2006-08-10 00:00:00","2005-05-01",0,TRUE,5,2005-05-12,11,6,6,6,1,11,0.0199999999999996,10.98,15.7693454773007,5,0.195,4.805,533,417,"417533",2005,29,3,1,TRUE,0.0112462981533202,0.0303597490559601,-0.0650383961792222,-0.302570684945532,0.0875309924858626,0.363290183057452,15.5580614146498,15.9806295399516,1,1,1
