"DVDRef","BroodRef","FVisit1","MVisit1","EffectiveTime","FVisit1RateH","MVisit1RateH","VisitRateDifference","TotalProRate","TapeLength","DVDInfoChickNb","DVDInfoAge","ChickAgeCat","RelTimeHrs","MFVisit1","BreedingYear","HatchingDayAfter0401","SocialMumID","SocialDadID","DadAge","MumAge","ParentsAge","MBroodNb","MPriorResidence","MnextNBsame","MwillDivorce","FBroodNb","FPriorResidence","FnextNBsame","FwillDivorce","PairID","PairBroodNb","PairIDYear","NbRinged","AvgMass","MinMass","AvgTarsus","sdMass","sdTarsus","MassRange","MixedBroodYN","meanDadAge","DeltaDadAge","FirstDadReproAge","LastDadReproAge","meanMumAge","DeltaMumAge","FirstMumReproAge","LastMumReproAge","AMax","A","S","Asorted","Aswitch","Agenerated","Sgenerated","MeanAsimWithin","MeanAsimAmong","MedAsimWithin","MedAsimAmong","MeanSsimWithin","MeanSsimAmong","MedSsimWithin","MedSsimAmong","Adev","Sdev","LogAdev","LogSdev"
1,"442",29,1,91.4999984741211,19,1,18,19.6721314755988,92.5999984741211,2,13,"Age10",2.78,30,"2004",10,"4290","4275",4,4,4,10,FALSE,FALSE,FALSE,9,FALSE,FALSE,FALSE,"42754290",7,"427542902004",2,NA,NA,NA,NA,NA,NA,NA,4.54545454545455,-0.545454545454546,4,5,4.54545454545455,-0.545454545454546,4,5,2,2,1,2,2,10,5,2,1.73,2,2,1.08,0.77,1,1,0,-0.0800000000000001,0,-0.0519597389307111
36,"457",10,6,87.1,7,4,3,11.0218140068886,91.5,2,6,"Age06",1.07,16,"2004",29,"419","4503",4,2,3,6,FALSE,TRUE,FALSE,4,FALSE,TRUE,FALSE,"4503419",2,"45034192004",1,25.3999996185303,25.3999996185303,18.6000003814697,NA,NA,0,FALSE,4,0,4,4,2,0,2,2,12,10,2,10,8,14,6,8.86,8.34,8,9,2.7,2.04,3,2,1.14,-0.7,0.114929966673977,-0.246860077931526
39,"456",10,9,92.8999969482422,6,6,0,12.2712598218398,93.6999969482422,2,7,"Age06",3.23,19,"2004",28,"1048","902",1,1,1,1,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"9021048",1,"90210482004",0,NA,NA,NA,NA,NA,NA,NA,1.8,-0.8,1,2,1.66666666666667,-0.666666666666667,1,2,18,18,4,14,12,12,5,12.74,10.14,12,10,3.43,3.06,4,3,5.26,0.57,0.334528181575417,0.135437970895104
45,"462",13,12,92.3999969482422,8,8,0,16.2337667699299,93.6999969482422,2,7,"Age06",0.93,25,"2004",30,"605","4423",3,2,2.5,1,FALSE,FALSE,TRUE,3,FALSE,TRUE,FALSE,"4423605",1,"44236052004",2,17.8000001907349,17,15,1.13137111963829,0.707106781186548,1.6000003814697,FALSE,3.44444444444444,-0.444444444444445,3,4,2.33333333333333,-0.333333333333333,2,3,24,16,5,18,18,7,1,15.62,13.64,16,13,6.01,5.07,6,5,0.380000000000001,-1.01,0.0232996438280529,-0.168591363982053
69,"472",11,11,92.1999969482422,7,7,0,14.3167032938298,93.6999969482422,2,7,"Age06",1.02,22,"2004",33,"1100","831",1,2,1.5,1,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"8311100",1,"83111002004",2,21.1000003814697,19.5,17.3999996185303,2.26274223927665,0.141421895717003,3.2000007629395,FALSE,1,0,1,1,3.28571428571429,-1.28571428571429,2,5,21,20,8,14,16,33,23,13.52,11.57,14,12,4.64,4.21,4,4,6.48,3.36,0.379940004537918,0.503013084029197
71,"457",7,2,88.3999969482422,5,1,4,6.10859749594978,93.6999969482422,1,11,"Age10",1.35,9,"2004",29,"419","4503",4,2,3,6,FALSE,TRUE,FALSE,4,FALSE,TRUE,FALSE,"4503419",2,"45034192004",1,25.3999996185303,25.3999996185303,18.6000003814697,NA,NA,0,FALSE,4,0,4,4,2,0,2,2,4,2,0,2,2,17,6,2.78,3.29,2,3,0.57,0.55,1,0,-0.78,-0.57,-0.271552690521897,-0.76080582903376
74,"475",21,4,89.5,14,3,11,16.7597765363128,92.5,2,7,"Age06",1.37,25,"2004",34,"571","4423",3,1,2,2,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,"4423571",1,"44235712004",2,16.8500003814697,15.6000003814697,14.9000000953674,1.76776695296637,0.141421221367368,2.5,FALSE,3.44444444444444,-0.444444444444445,3,4,2.33333333333333,-1.33333333333333,1,3,8,6,3,8,8,12,7,6.72,6.57,6,7,3.17,2.9,3,3,-0.72,-0.17,-0.105052776003143,-0.0474286935711109
79,"477",7,6,89.8999969482422,5,4,1,8.67630730231356,93.6999969482422,1,7,"Age06",4.57,13,"2004",34,"988","145",3,1,2,4,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"145988",1,"1459882004",1,16,16,16.1000003814697,NA,NA,0,FALSE,3.6,-0.6,3,4,1.83333333333333,-0.833333333333333,1,3,12,9,4,11,9,17,4,8.84,7.82,9,8,2.27,2.42,2,2,0.16,1.73,0.0169855463657438,0.485230076577027
81,"464",30,3,90.6999969482422,20,2,18,21.8302102163232,93.6999969482422,3,11,"Age10",3.4,33,"2004",31,"32","4229",4,3,3.5,6,FALSE,TRUE,FALSE,5,FALSE,TRUE,FALSE,"422932",4,"4229322004",3,24.6666666666667,23.7999992370605,18.4666665395101,0.757188484757405,1.28581996301776,1.400001525879,TRUE,4,0,4,4,3,0,3,3,6,6,5,6,6,18,16,5.68,5.58,6,6,3.51,3.04,4,3,0.32,1.49,0.0504839054319921,0.315956850919947
84,"484",10,7,93.6999969482422,6,4,2,10.8858061176184,93.6999969482422,3,7,"Age06",1.08,17,"2004",36,"723","24",3,3,3,5,FALSE,NA,NA,3,FALSE,FALSE,NA,"24723",1,"247232004",1,NA,NA,NA,NA,NA,NA,NA,3,0,3,3,3,0,3,3,14,11,1,11,11,15,7,10.92,8.84,11,9,2.4,2,2,2,0.0800000000000001,-1.4,0.00698083114134014,-0.659245628884264
89,"472",14,18,91.0999984741211,9,12,3,21.0757412970256,93.0999984741211,2,11,"Age10",1.12,32,"2004",33,"1100","831",1,2,1.5,1,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"8311100",1,"83111002004",2,21.1000003814697,19.5,17.3999996185303,2.26274223927665,0.141421895717003,3.2000007629395,FALSE,1,0,1,1,3.28571428571429,-1.28571428571429,2,5,28,23,9,19,21,5,3,19.02,16.81,19,17,9.88,8.01,10,8,3.98,-0.880000000000001,0.185560840165167,-0.0885890791312475
90,"486",4,4,84.0999969482422,3,3,0,5.70749128915435,93.6999969482422,1,7,"Age06",1.28,8,"2004",37,"929","46",3,1,2,6,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"46929",1,"469292004",0,NA,NA,NA,NA,NA,NA,NA,4.27272727272727,-1.27272727272727,3,6,1.6,-0.6,1,3,7,6,0,6,6,13,9,5.8,4.4,6,5,0.48,0.65,0,1,0.2,-0.48,0.0312525435041045,-0.672944473242426
103,"491",20,14,92.6999984741211,13,9,4,22.0064728541447,93.5999984741211,2,7,"Age06",1.33,34,"2004",39,"1074","4422",3,1,2,2,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,"44221074",1,"442210742004",2,23.25,21.5,17.9499998092651,2.47487373415292,0.63639583332808,3.5,FALSE,3,0,3,3,1,0,1,1,28,21,13,17,17,16,10,16.34,16.57,17,17,6.7,8.45,7,8,4.66,6.3,0.244295926319436,0.628608659422374
105,"489",10,7,93.6999969482422,6,4,2,10.8858061176184,93.6999969482422,1,7,"Age06",3.17,17,"2004",39,"416","4418",5,2,3.5,8,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,"4418416",3,"44184162004",1,24.5,24.5,18.5,NA,NA,0,FALSE,5.54545454545455,-0.545454545454546,5,6,2.54545454545455,-0.545454545454545,2,3,14,9,3,9,7,10,3,8.08,8.5,7,8,2.53,2.01,2,2,0.92,0.47,0.101857885106624,0.14420034897409
106,"488",12,16,91.5999969482422,8,10,2,18.3406119647501,93.6999969482422,2,7,"Age06",3.17,28,"2004",38,"371","4230",4,2,3,10,FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,"4230371",4,"42303712004",2,24.3500003814697,23.2000007629395,18.5,1.62634505724937,0.424262989752541,2.2999992370605,FALSE,4.5,-0.5,4,5,2,0,2,2,24,19,6,19,15,27,21,16.98,14.53,17,15,7.74,6.02,8,6,2.02,-1.74,0.109357095342312,-0.237198167019789
107,"477",11,2,92.3999969482422,7,1,6,8.44155872036356,93.6999969482422,1,11,"Age10",3.17,13,"2004",34,"988","145",3,1,2,4,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"145988",1,"1459882004",1,16,16,16.1000003814697,NA,NA,0,FALSE,3.6,-0.6,3,4,1.83333333333333,-0.833333333333333,1,3,4,4,1,4,4,17,12,4,3.82,4,4,0.81,0.9,1,1,0,0.19,0,0.135437970895104
