"","MedAsimWithin","MedSsimWithin"
1,2,1
36,8,3
39,12,3
45,16,6
69,14,4
71,2,1
74,6,3
79,9,2
81,6,3
84,11,2
89,19,9
90,6,0
103,17,6
105,9,3
106,17,8
107,4,1
108,22,14
109,23,15
110,22,11
113,17,10
114,2,0
115,12,4
119,13,7
122,14,8
123,14,10
126,19,15
127,16,11
130,37,30
133,3,1
141,15,5
146,16,6
148,21,12
157,22,12
172,14,4
173,15,7
175,19,10
183,12,4
186,11,3
188,22,14
191,18,10
194,15,5
197,19,8
200,14,6
205,7,1
208,6,2
210,13,5
211,12,2
213,18,7
220,14,5
221,12,8
224,24,15
225,27,19
226,34,23
228,20,9
229,25,13
230,7,2
231,10,3
233,15,6
235,24,15
236,21,12
237,16,5
238,12,5
239,18,8
240,24,15
246,12,4
247,25,14
250,17,6
252,10,4
256,35,28
257,29,22
259,15,8
260,28,20
262,25,16
263,20,11
264,31,22
265,14,8
268,24,13
269,33,25
270,10,4
274,34,27
276,6,4
277,16,8
278,14,6
281,14,5
290,9,1
293,16,8
297,12,6
303,16,6
304,3,0
306,3,0
307,27,19
308,6,2
311,19,12
313,8,3
319,9,2
320,17,9
321,13,7
323,2,2
329,8,5
330,7,2
333,31,22
334,5,2
338,8,4
344,11,5
345,12,6
346,8,5
348,15,8
355,20,13
356,13,3
358,12,4
359,12,5
360,4,0
361,14,5
362,3,1
363,2,0
367,12,3
368,31,21
369,11,6
372,8,3
375,16,8
379,11,8
381,2,1
382,13,6
383,15,7
388,25,20
390,20,13
391,16,8
394,11,6
396,28,17
403,19,9
413,24,18
415,10,5
424,21,12
427,27,21
433,14,5
434,26,19
440,9,3
446,17,11
447,14,5
449,10,3
450,25,17
451,6,1
452,32,25
453,9,2
454,28,19
456,13,6
458,14,8
459,6,2
462,4,1
464,3,1
465,10,6
470,12,4
471,6,2
476,4,0
477,6,2
478,14,6
481,12,3
492,16,8
495,9,4
496,13,6
499,13,4
500,12,6
509,22,14
515,19,14
517,22,15
524,39,34
525,14,6
528,12,3
533,20,8
534,7,1
536,11,4
537,18,10
538,11,3
539,12,6
541,17,8
542,20,11
543,14,6
545,9,3
546,9,2
547,19,14
548,15,6
550,10,4
551,9,3
552,7,2
555,2,0
556,8,3
557,8,3
579,12,6
619,8,4
694,13,4
696,6,1
702,4,0
703,18,7
704,13,5
705,10,2
706,12,4
712,11,2
715,16,6
716,15,6
717,16,6
718,23,15
719,13,5
720,16,5
721,7,3
722,15,6
723,11,4
724,17,7
725,15,7
726,18,11
727,2,0
728,19,9
732,16,6
733,20,12
734,18,11
735,10,3
736,10,2
737,17,9
738,12,4
740,17,7
741,11,4
743,11,3
745,16,7
746,13,7
747,23,13
748,10,4
749,16,10
750,8,2
751,19,9
753,12,5
755,19,9
756,15,8
757,15,5
758,4,1
759,23,13
760,18,11
762,17,9
764,16,6
765,14,4
766,4,1
767,5,2
769,4,0
779,19,10
780,22,13
782,6,4
789,18,10
790,20,11
792,7,1
798,16,8
799,16,7
803,38,32
811,17,6
812,15,8
813,16,10
815,9,1
817,15,5
844,35,25
845,16,6
852,24,16
854,26,18
921,25,16
924,17,8
933,16,9
934,13,6
936,14,5
937,10,4
938,30,24
951,17,8
959,2,1
972,26,19
973,20,12
985,8,1
990,25,15
992,12,7
993,18,11
1012,23,16
1013,12,5
1014,8,3
1019,17,10
1022,29,20
1029,31,20
1036,6,2
1040,21,14
1046,21,10
1051,17,12
1056,18,9
1061,31,22
1063,22,11
1064,31,25
1072,18,8
1076,10,5
1077,11,4
1082,20,13
1084,20,14
1090,23,10
1091,24,15
1093,14,6
1094,31,23
1095,2,1
1105,17,7
1112,14,7
1115,14,7
1116,36,31
1117,29,20
1125,20,12
1127,8,3
1128,15,8
1129,19,11
1136,13,5
1137,25,14
1138,26,15
1146,15,5
1147,15,7
1148,21,14
1155,9,2
1162,24,14
1163,15,7
1164,14,8
1165,24,18
1166,14,5
1177,32,22
1183,12,4
1185,16,9
1186,12,2
1187,6,2
1195,12,5
1210,19,8
1211,5,0
1221,2,1
1223,21,11
1224,12,3
1228,20,13
1230,25,16
1233,4,4
1243,8,5
1244,20,13
1246,17,8
1256,8,2
1257,28,21
1264,7,1
1267,23,15
1270,18,8
1291,20,14
1293,26,18
1299,18,11
1302,15,8
1308,15,7
1313,14,6
1326,16,7
1333,12,6
1344,13,5
1349,13,8
1350,19,7
1351,16,9
1352,9,2
1353,11,4
1356,4,2
1364,6,2
1372,22,9
1373,15,9
1383,12,4
1386,1,0
1397,10,3
1401,12,4
1403,19,12
1414,11,3
1415,12,4
1416,12,4
1418,19,13
1425,21,14
1426,19,11
1434,18,8
1440,15,8
1441,18,6
1442,20,11
1447,12,5
1449,18,14
1450,11,4
1452,23,14
1454,8,1
1457,14,8
1458,19,7
1459,28,21
1463,26,20
1464,16,12
1465,18,8
1466,39,33
1467,31,24
1469,11,4
1472,6,3
1473,11,6
1474,9,2
1475,6,2
1477,14,10
1481,26,15
1482,14,6
1490,15,11
1494,12,4
1495,19,10
1496,12,4
1497,16,6
1498,18,10
1499,10,4
1500,21,13
1501,12,5
1503,12,3
1504,15,9
1505,21,15
1506,20,12
1509,24,16
1515,13,5
1516,9,3
1519,23,13
1520,22,13
1521,12,5
1527,16,8
1528,18,12
1533,15,9
1535,11,5
1542,16,11
1544,22,18
1551,25,19
1557,20,11
1558,15,9
1560,19,14
1561,35,26
1562,14,6
1563,19,12
1564,10,5
1565,5,1
1567,11,3
1568,17,13
1569,24,16
1571,20,15
1575,16,8
1576,6,1
1585,2,0
1586,16,8
1588,2,0
1589,13,4
1599,15,11
1603,12,4
1606,14,7
1611,10,4
1614,4,1
1617,8,4
1624,6,0
1627,15,6
1631,1,0
1634,9,2
1635,6,1
1639,16,8
1641,22,17
1642,10,5
1643,10,6
1644,6,2
1645,22,14
1647,15,9
1648,25,15
1649,9,3
1650,20,8
1651,23,16
1653,12,4
1655,17,11
1657,10,7
1659,20,15
1660,18,10
1661,13,4
1662,18,8
1664,13,8
1665,19,8
1666,22,11
1667,11,3
1668,15,7
1669,18,10
1670,4,1
1671,24,20
1672,43,35
1673,11,2
1675,6,3
1676,16,8
1677,7,3
1686,14,5
1693,2,0
1694,20,13
1695,7,3
1696,15,8
1697,23,12
1698,24,15
1699,7,1
1700,11,3
1701,2,1
1702,15,7
1703,14,9
1704,14,6
1708,15,9
1709,16,7
1710,14,7
1713,15,7
1718,14,6
1727,13,6
1729,5,1
1731,22,10
1732,16,8
1733,25,17
1734,20,10
1735,10,4
1736,36,30
1737,45,39
1738,19,10
1739,26,18
1741,12,7
1742,10,2
1743,14,5
1745,10,4
1746,10,6
1747,13,5
1748,34,27
1749,23,14
1750,32,25
1752,9,3
1753,12,7
1754,16,9
1755,10,4
1758,9,4
1779,7,2
1784,6,1
1786,18,7
1791,4,1
1794,27,18
1803,29,24
1805,13,6
1813,33,28
1815,19,9
1822,10,2
1824,22,14
1829,31,27
1830,26,19
1834,9,5
1835,6,2
1836,32,24
1839,28,23
1842,4,1
1843,14,7
1845,17,11
1847,38,31
1848,12,5
1851,16,5
1854,19,11
1857,21,11
1861,21,10
1864,24,13
1866,11,3
1868,9,2
1871,20,11
1872,10,3
1876,2,1
1878,22,13
1880,7,2
1883,20,14
1886,14,6
1887,10,4
1892,12,5
1896,6,1
1906,10,4
1911,7,3
1915,14,7
1916,14,6
1917,23,18
1921,10,3
1926,41,37
1927,7,3
1928,9,1
1937,14,8
1946,24,14
1949,24,16
1953,45,41
1969,11,4
1973,13,4
1975,22,11
1977,22,16
1979,28,19
1981,45,41
1985,39,31
1986,34,30
1987,31,24
1995,24,17
1997,18,11
2000,20,14
2002,12,4
2004,10,3
2005,6,3
2012,14,5
2014,14,5
2015,17,10
2078,12,7
2106,19,10
2107,7,1
2111,10,4
2113,6,2
2114,10,3
2119,10,4
2122,14,6
2128,11,4
2134,14,5
2140,7,3
2155,14,5
2167,14,6
2173,12,4
2183,14,11
2185,17,7
2187,17,6
2188,19,10
2191,14,7
2192,18,10
2194,19,12
2196,20,13
2199,21,12
2201,14,6
2230,10,5
2231,12,5
2236,26,16
2239,21,7
2240,14,5
2241,26,17
2242,30,22
2244,20,11
2248,13,4
2250,24,17
2253,39,34
2254,28,16
2257,17,6
2258,28,20
2260,26,14
2261,27,19
2268,24,16
2269,23,11
2270,28,20
2271,33,22
2273,16,9
2275,26,17
2276,14,9
2279,21,12
2281,6,3
2282,16,7
2284,23,19
2288,11,5
2290,15,7
2292,17,11
2294,20,11
2296,14,7
2302,16,8
2310,5,1
2313,6,1
2316,10,4
2317,7,1
2318,17,7
2322,14,7
2325,19,11
2326,9,5
2330,10,5
2332,13,5
2334,13,7
2335,26,19
2337,22,19
2339,19,11
2345,1,0
2346,21,12
2351,20,14
2352,25,18
2353,21,12
2354,18,9
2356,20,14
2361,29,18
2362,12,5
2363,31,24
2364,18,9
2370,11,3
2375,27,17
2376,17,5
2382,5,3
