"DVDRef","Sex","Tstart","Interval"
1,0,1.1,0
1,0,5,3.9
1,0,9.3,4.3
1,0,11.9,2.6
1,0,20.1,8.2
1,0,22.3,2.2
1,0,26.1,3.8
1,0,27.2,1.1
1,0,29.5,2.3
1,0,31.6,2.1
1,0,37.1,5.5
1,0,40.8,3.7
1,0,43.6,2.8
1,0,49.5,5.9
1,0,52.1,2.6
1,0,53,0.899999999999999
1,0,54.5,1.5
1,0,55.7,1.2
1,0,57.1,1.4
1,0,58.1,1
1,0,59.3,1.2
1,0,60.6,1.3
1,0,64.3,3.7
1,0,66.5,2.2
1,0,69.8,3.3
1,0,77.8,8
1,1,82.3,0
1,0,82.9,5.10000000000001
1,0,89.5,6.59999999999999
1,0,92.2,2.7
36,1,4.4,0
36,0,7.7,0
36,0,13.9,6.2
36,0,20.3,6.4
36,1,24.3,19.9
36,0,32.5,12.2
36,1,33.2,8.9
36,0,37.3,4.8
36,1,42.2,9
36,0,45.1,7.8
36,0,51.3,6.2
36,0,65.1,13.8
36,0,75.1,10
36,1,85.1,42.9
36,0,89,13.9
36,1,89.2,4.10000000000001
39,0,3.2,0
39,1,10.9,0
39,0,13.3,10.1
39,1,19.8,8.9
39,0,23.6,10.3
39,1,30.2,10.4
39,0,35.6,12
39,1,39.4,9.2
39,0,40.7,5.1
39,1,44.2,4.8
39,0,48,7.3
39,1,51.8,7.59999999999999
39,0,53.7,5.7
39,1,63.2,11.4
39,0,66,12.3
39,1,67.9,4.7
39,0,68,2
39,1,86.9,19
39,0,92.1,24.1
45,1,3,0
45,0,6.5,0
45,1,11.5,8.5
45,1,15.6,4.1
45,1,22,6.4
45,0,23.6,17.1
45,1,34.4,12.4
45,0,36.5,12.9
45,0,38.4,1.9
45,0,45.5,7.1
45,1,50.2,15.8
45,0,53.5,8
45,1,57.1,6.9
45,0,59,5.5
45,1,61.5,4.4
45,0,67.7,8.7
45,0,68.6,0.899999999999991
45,1,69.6,8.09999999999999
45,0,69.7,1.10000000000001
45,0,71.2,1.5
45,0,82.2,11
45,1,87.1,17.5
45,1,88.9,1.80000000000001
45,0,91,8.8
45,1,92.7,3.8
69,0,1.5,0
69,1,15.4,0
69,0,20.7,19.2
69,1,23.9,8.5
69,0,25.1,4.4
69,1,32.2,8.3
69,0,33.5,8.4
69,1,38.8,6.59999999999999
69,0,40.2,6.7
69,1,53,14.2
69,0,53.2,13
69,1,54.4,1.4
69,0,55.3,2.09999999999999
69,1,61.9,7.5
69,0,66.3,11
69,1,72,10.1
69,0,73.5,7.2
69,1,77.3,5.3
69,0,77.6,4.09999999999999
69,1,80.4,3.10000000000001
69,1,80.9,0.5
69,0,85,7.40000000000001
71,0,5.3,0
71,0,10.8,5.5
71,0,26.4,15.6
71,0,33,6.6
71,1,36,0
71,1,40.5,4.5
71,0,44.5,11.5
71,0,75.7,31.2
71,0,82.7,7
74,0,3,0
74,0,5.7,2.7
74,0,9.5,3.8
74,0,11,1.5
74,0,19.7,8.7
74,0,20,0.300000000000001
74,0,25.9,5.9
74,0,30.3,4.4
74,1,33.1,0
74,0,33.7,3.4
74,0,39,5.3
74,0,46,7
74,0,53.2,7.2
74,0,55.5,2.3
74,0,60.2,4.7
74,0,60.9,0.699999999999996
74,0,62.7,1.8
74,0,66.6,3.89999999999999
74,1,67.5,34.4
74,1,68.7,1.2
74,0,70.5,3.90000000000001
74,0,72.3,1.8
74,0,77.3,5
74,1,85.6,16.9
74,0,88.9,11.6
79,1,3.8,0
79,0,4.1,0
