"BroodRef","MeanTotalProRate","MeanA","MeanAdev","MeanAsim","MeanVisitRateDifference","MeanS","MeanMFVisit1","MeanSdev","MeanSsim","MeanEffectiveTime","MeanMVisit1RateH","MeanFVisit1RateH","MeanDVDInfoChickNb","BreedingYear","HatchingDayAfter0401","SocialMumID","SocialDadID","DadAge","MumAge","ParentsAge","MBroodNb","MPriorResidence","MnextNBsame","MwillDivorce","FBroodNb","FPriorResidence","FnextNBsame","FwillDivorce","PairID","PairBroodNb","PairIDYear","NbHatched","NbRinged","AvgMass","MinMass","AvgTarsus","sdMass","sdTarsus","MixedBroodYN","ResMassTarsus","sdResMassTarsus"
"5",15.5756204992493,16,3.78,12.22,1,4,23,1.48,2.52,88.6000015258789,8,7,2,2004,120,122,132,3,3,3,7,TRUE,NA,NA,6,TRUE,TRUE,FALSE,"132122",5,"1321222004",4,1,21.5,21.5,17.3999996185303,NA,NA,FALSE,0.160196211227867,NA
"6",10.8140067224723,8.5,-0.34,8.84,1,1,16,-0.115,1.115,88.7,5.5,5.5,1,2004,121,988,145,3,1,2,7,FALSE,TRUE,FALSE,4,FALSE,TRUE,FALSE,"145988",4,"1459882004",3,1,19.6000003814697,19.6000003814697,18.2000007629395,NA,NA,FALSE,-3.58290351854705,NA
"7",10.6342567274646,8.5,-0.34,8.84,3.5,1,15.5,0.435,0.565,87.3499977111816,3.5,7,2,2004,121,857,4247,4,1,2.5,8,TRUE,NA,NA,3,TRUE,TRUE,FALSE,"4247857",3,"42478572004",2,2,17.8000001907349,16,16.25,2.54558468201138,1.06066017177982,FALSE,-0.890351857053075,0.0704004385545285
"27",15.7693454773007,11,-0.0299999999999994,11.03,4,2,22.5,0.75,1.25,85.6499984741211,6,10,1,2005,29,533,417,3,2,2.5,6,TRUE,TRUE,FALSE,3,TRUE,TRUE,FALSE,"417533",3,"4175332005",1,1,20.6000003814697,20.6000003814697,17,NA,NA,TRUE,0.181744451176364,NA
"39",11.2313756565216,5,0.98,4.02,7.5,0.5,17,0.16,0.34,91.5999984741211,2,9.5,1,2005,41,427,22,4,3,3.5,8,TRUE,FALSE,FALSE,8,TRUE,FALSE,FALSE,"22427",8,"224272005",5,1,23.6000003814697,23.6000003814697,18.1000003814697,NA,NA,FALSE,0.647484544644525,NA
"40",20.1665149494792,17.5,2.04,15.46,7,2.5,30.5,-0.275,2.775,90.9999984741211,6.5,13.5,2,2005,41,917,4463,6,2,4,8,TRUE,TRUE,FALSE,3,TRUE,TRUE,FALSE,"4463917",3,"44639172005",3,2,20,20,16.7000007629395,0,0.707106781186548,FALSE,0.272903864993977,1.65012282897124
"44",20.3243845042045,15.5,1.55,13.95,6.5,3,31.5,0.545,2.455,92.6999969482422,13.5,7,3,2005,42,342,421,3,3,3,5,TRUE,TRUE,FALSE,3,TRUE,TRUE,FALSE,"421342",3,"4213422005",4,2,18.7000002861023,15.1999998092651,17.3999996185303,4.94974814265547,1.97989844784264,FALSE,-2.63980350266993,0.329405480479889
"46",5.95369359519973,4,0,4,4,1,9,0.85,0.15,90.6999984741211,1,5,1,2005,42,524,2018,2,2,2,2,FALSE,FALSE,TRUE,2,FALSE,TRUE,FALSE,"2018524",1,"20185242005",4,0,NA,NA,NA,NA,NA,NA,NA,NA
"47",10.1837276258646,10,0.42,9.58,2.5,0.5,15.5,-0.05,0.55,91.4499969482422,5.5,5,1,2005,42,4290,4275,5,5,5,13,TRUE,TRUE,FALSE,12,TRUE,TRUE,FALSE,"42754290",10,"427542902005",4,1,24.3999996185303,24.3999996185303,18.7999992370605,NA,NA,FALSE,-0.165223872061084,NA
"48",13.8516904250897,11.5,0.27,11.23,2,0.5,20,-0.7,1.2,85.8499992370606,8,6,1,2005,42,442,457,3,3,3,5,TRUE,TRUE,FALSE,7,TRUE,TRUE,FALSE,"457442",4,"4574422005",2,1,9.19999980926514,9.19999980926514,14.3000001907349,NA,NA,FALSE,-4.99780258343765,NA
