"ChickID","RearingBrood","NatalBrood","CrossFosteredYN","AvgOfMass","AvgOfTarsus","AvgOfAge","nMeasures","dam","sire","NbRinged","MeanA","MeanAdev","MeanAsim","MeanTotalProRate","MeanS","MeanSdev","MeanSsim","SocialMumID","SocialDadID","PairID","BreedingYear","HatchingDayAfter0401","PairBroodNb","GenPairID","ResMassTarsus_perChick"
1210,457,456,1,25.3999996185303,18.6000003814697,13,1,646,500,1,6,0.17,5.83,8.56520575141919,0.5,-0.375,0.875,419,4503,"4503419",2004,29,2,"500646",1.38078790319794
1212,462,461,1,17,14.5,12,1,556,23,2,16,0.34,15.66,16.2337667699299,1,-0.51,1.51,605,4423,"4423605",2004,30,1,"23556",2.54865612055688
1214,462,461,1,18.6000003814697,15.5,12,1,556,23,2,16,0.34,15.66,16.2337667699299,1,-0.51,1.51,605,4423,"4423605",2004,30,1,"23556",1.815030417714
1226,464,464,0,25.2000007629395,19,12,1,32,4229,3,6,0.26,5.74,21.8302102163232,3,1.95,1.05,32,4229,"422932",2004,31,4,"422932",0.247339504089757
1227,464,464,0,23.7999992370605,17,12,1,32,4229,3,6,0.26,5.74,21.8302102163232,3,1.95,1.05,32,4229,"422932",2004,31,4,"422932",3.51459014683592
1228,464,464,0,25,19.3999996185303,12,1,32,4229,3,6,0.26,5.74,21.8302102163232,3,1.95,1.05,32,4229,"422932",2004,31,4,"422932",-0.886110802367129
1259,472,471,1,22.7000007629395,17.2999992370605,12,1,928,4229,2,21.5,5.55,15.95,17.6962222954277,3,1.165,1.835,1100,831,"8311100",2004,33,1,"4229928",1.71450562783666
1261,472,471,1,19.5,17.5,12,1,928,513,2,21.5,5.55,15.95,17.6962222954277,3,1.165,1.835,1100,831,"8311100",2004,33,1,"513928",-1.95222213238087
1280,475,476,1,16,16.1000003814697,13,1,431,356,1,6,-0.56,6.56,16.7597765363128,0,-0.91,0.91,571,4423,"4423571",2004,34,1,"356431",-2.1851465045509
1333,489,488,1,24.5,18.5,12,1,371,4230,1,9,0.68,8.32,10.8858061176184,0,-0.64,0.64,416,4418,"4418416",2004,39,3,"4230371",0.714151783306549
1338,488,489,1,23.2000007629395,18.7999992370605,12,1,416,4418,2,17.5,1.69,15.81,21.443033680709,2,-0.975,2.975,371,4230,"4230371",2004,38,4,"4418416",-1.28593349863221
1341,491,490,1,21.5,17.5,12,1,955,356,2,18,2.84,15.16,21.7745132413764,4,1.61,2.39,1074,4422,"44221074",2004,39,1,"356955",0.0477778676191321
