"DVDRef","NbAlternation","Aswitch","MeanAsimWithin","MeanAsimAmong"
1,2,2,2,1.74
36,10,8,8.88,8.55
39,18,12,12.6,11.05
45,16,18,15.98,13.51
69,20,16,13.78,11.86
71,2,2,2.78,3.25
74,6,8,6.64,6.16
79,9,9,8.96,7.44
81,6,6,5.6,5.34
84,11,11,11.08,8.48
89,23,21,18.92,16.81
90,6,6,5.84,4.58
103,21,17,16.42,17.42
105,9,7,8.1,8.66
106,19,15,16.94,14.5
107,4,4,4,3.66
108,22,24,22.08,19.19
109,25,27,22.74,23.23
110,20,20,21.02,17.67
113,15,17,16.02,15.95
114,2,2,2,1.62
115,12,12,12.24,10.56
119,15,15,13.08,14.71
122,16,14,14.38,16.32
123,18,12,15.14,15.05
126,27,23,19.34,22.05
127,22,22,16.58,14.31
130,43,41,36.94,31.97
133,3,3,3,2.91
141,17,19,15.42,13.15
146,16,12,16.24,12.37
148,17,19,20.42,18.74
157,26,22,21.54,18.22
172,14,14,12.86,9.96
173,13,17,15.94,15.71
175,19,19,18.5,17.31
183,10,12,11.58,10.21
186,11,9,10.22,9.25
188,26,24,22.26,19.85
191,22,16,18.5,16.72
194,17,17,15.2,12.23
197,23,19,18.38,14.98
200,18,14,14.14,12.22
205,7,7,6.98,6.26
208,6,6,5.16,6.69
210,13,13,13.1,11.29
211,12,12,11.12,9.22
213,22,18,18.34,14.33
220,16,16,14.52,12.34
221,14,14,11.62,12.2
224,24,26,24.62,19.83
225,35,31,27.1,23.86
226,36,36,33.42,25.22
228,24,20,19.64,15.67
229,31,27,24.66,19.42
230,9,7,7.8,6.9
231,12,12,11,9.56
233,19,17,14.72,13.51
235,28,28,23.92,21.36
236,25,23,20.72,18.66
237,18,16,15.34,12.55
238,12,12,11.34,10.99
239,20,20,17.5,15.1
240,30,28,23.62,19.04
246,12,14,12.14,10.06
247,29,23,25.02,18.54
250,19,17,17.14,14.02
252,8,8,9,8.18
256,41,39,34.98,29.11
257,37,41,29.7,26.09
259,15,15,14.98,13.86
260,34,26,28.56,24.61
262,21,21,24.34,21.01
263,22,20,20.58,15.08
264,33,35,31.52,24.4
265,16,16,14.26,14.93
268,24,24,23.02,18.14
269,35,33,31.82,25.78
270,10,10,10.2,9.83
274,30,36,34.84,26.1
276,6,6,6,5.52
277,18,20,15.32,15.19
278,16,14,14,12.62
281,18,14,13.72,10.88
290,9,9,8.44,7.52
293,18,18,16.04,15.03
297,14,14,11.98,12.14
303,18,16,16.1,13.46
304,3,3,3,2.8
306,3,3,3.58,4.05
307,29,25,27.7,25.49
308,6,6,6.78,9.3
311,19,19,19.96,17.42
313,8,10,8.66,7.63
319,9,9,8.84,7.28
320,21,21,16.8,13.59
321,11,11,12.02,11.42
323,2,2,2,2
329,8,8,7.42,7.02
330,7,7,6.8,5.97
333,39,31,30.76,25.17
334,7,5,5.16,5.28
338,8,8,7.92,7.09
344,15,15,11.82,11.04
345,10,14,12.44,13.71
346,10,6,8.8,6.48
348,21,19,15.86,16.36
355,20,20,20.18,17.95
356,15,15,12.3,9.57
358,12,12,11.54,9.91
359,14,12,11.66,11.95
360,2,2,3.24,3.3
361,14,14,14.42,12.14
362,3,3,3,2.95
363,2,2,2,2
367,14,14,12.06,10.81
368,29,31,31.58,23.58
369,17,15,12,14.4
372,8,6,7.24,6.52
375,20,22,16.66,15.56
379,11,11,11.62,11.77
381,2,2,2,2
382,15,15,13.26,12.14
383,17,15,15.5,13.04
388,29,25,25.94,21.01
390,24,22,20.14,19.86
391,16,16,15.94,16.11
394,11,11,11.6,11.08
396,28,28,27.5,22.02
403,21,19,19.66,16.49
413,28,24,23.74,27.36
415,12,12,10.04,12.86
424,21,21,21.4,18.28
427,36,36,26.94,27.45
433,14,14,13.1,12.1
434,26,26,25.4,27.09
440,9,9,8.36,7.73
446,19,19,16.5,16.18
447,14,16,13.34,12.25
449,18,16,10.42,12.4
450,27,27,24.7,23.32
451,6,6,6,5.87
452,34,34,32.16,29.28
453,9,9,9.68,8.57
454,34,32,27.26,23.82
456,13,13,13.52,13.49
458,12,14,14.12,13.48
459,6,8,6.6,6
462,4,4,4,3.7
464,3,3,3,2.9
465,14,12,10.72,13.61
470,14,12,12.82,10.32
471,6,6,6.82,7.37
476,4,4,4,3.42
477,4,4,5.7,5.92
478,20,16,14.42,15.17
481,14,14,12.12,9.9
492,20,20,15.36,17.4
495,9,9,10.28,13.9
496,13,13,12.34,11.11
499,17,17,13.24,9.89
500,12,12,11.4,11.23
509,30,28,23.06,20.24
515,27,23,20.06,19.12
517,22,20,21.48,21.16
524,37,39,38.88,30.8
525,18,18,14.22,12.95
528,8,10,11.22,11.11
533,20,22,19.46,14.3
534,7,9,7.12,6.78
536,9,13,11.22,9.95
537,26,24,17.84,17.73
538,11,11,11.24,10
539,16,14,12.16,12.93
541,21,21,16.7,15.73
542,20,20,19.9,18.66
543,16,18,14.12,11.67
545,11,13,9.5,8.72
546,11,11,9.7,8.14
547,25,19,19.7,19.79
548,15,13,14.54,13.48
550,8,8,9.96,10.03
551,9,9,8.1,7.45
552,9,7,7.46,6.22
555,2,2,2.82,3.72
556,6,8,8.22,7.87
557,6,8,8.02,6.78
579,12,10,12.4,12.39
619,10,10,9.16,9.8
694,15,13,13.66,10.48
696,8,6,6.06,5.54
702,4,4,4,3.66
703,18,14,17.12,14.37
704,13,11,12.7,13.27
705,12,10,9.74,8.43
706,12,10,11.34,12.21
712,11,11,10.9,9.54
715,20,20,16.78,13.59
716,19,19,14.78,15.57
717,20,18,15.36,13.91
718,19,19,22.64,21.97
719,15,13,13.78,13.07
720,18,18,15.76,12.98
721,7,7,7.94,7.17
722,17,13,14.46,13.35
723,13,11,10.16,10.05
724,19,17,17.6,14.72
725,19,17,15.32,14.95
726,20,16,17.68,17.39
727,2,2,2,1.67
728,23,19,18.48,15.51
732,14,18,17.14,15.28
733,26,24,20.08,19.24
734,18,18,18.52,16.05
