"DVDRef","NbS","Type","NbAMax","LineID"
"1",0,"1_Observed",2,"1"
"1",0,"4_Among",2,"2"
"1",0,"3_Within",2,"3"
"1012",5,"3_Within",40,"4"
"1012",5,"1_Observed",40,"5"
"1012",3,"4_Among",40,"6"
"1013",1,"3_Within",14,"7"
"1013",0,"1_Observed",14,"8"
"1013",0,"4_Among",14,"9"
"1014",0,"3_Within",8,"10"
"1014",1,"1_Observed",8,"11"
"1014",0,"4_Among",8,"12"
"1019",2,"4_Among",36,"13"
"1019",2,"3_Within",36,"14"
"1019",6,"1_Observed",36,"15"
"1022",5,"3_Within",44,"16"
"1022",7,"1_Observed",44,"17"
"1022",6,"4_Among",44,"18"
"1029",6,"3_Within",42,"19"
"1029",4,"1_Observed",42,"20"
"1029",5,"4_Among",42,"21"
"103",6,"1_Observed",28,"22"
"103",1,"4_Among",28,"23"
"103",2,"3_Within",28,"24"
"1036",0,"3_Within",10,"25"
"1036",2,"1_Observed",10,"26"
"1036",0,"4_Among",10,"27"
"1040",4,"4_Among",26,"28"
"1040",3,"3_Within",26,"29"
"1040",5,"1_Observed",26,"30"
"1046",1,"3_Within",29,"31"
"1046",2,"4_Among",29,"32"
"1046",1,"1_Observed",29,"33"
"105",1,"4_Among",14,"34"
"105",0,"3_Within",14,"35"
"105",0,"1_Observed",14,"36"
"1051",2,"3_Within",32,"37"
"1051",4,"1_Observed",32,"38"
"1051",3,"4_Among",32,"39"
"1056",3,"1_Observed",32,"40"
"1056",3,"3_Within",32,"41"
"1056",2,"4_Among",32,"42"
"106",1,"1_Observed",24,"43"
"106",1,"4_Among",24,"44"
"106",1,"3_Within",24,"45"
"1061",7,"1_Observed",48,"46"
"1061",6,"4_Among",48,"47"
"1061",6,"3_Within",48,"48"
"1063",2,"4_Among",30,"49"
"1063",5,"1_Observed",30,"50"
"1063",3,"3_Within",30,"51"
"1064",9,"4_Among",58,"52"
"1064",10,"3_Within",58,"53"
"1064",17,"1_Observed",58,"54"
"107",0,"1_Observed",4,"55"
"107",0,"4_Among",4,"56"
"107",0,"3_Within",4,"57"
"1072",5,"1_Observed",22,"58"
"1072",1,"4_Among",22,"59"
"1072",2,"3_Within",22,"60"
"1076",2,"1_Observed",12,"61"
"1076",0,"4_Among",12,"62"
"1076",0,"3_Within",12,"63"
"1077",1,"1_Observed",14,"64"
"1077",0,"4_Among",14,"65"
"1077",1,"3_Within",14,"66"
"108",3,"3_Within",30,"67"
"108",3,"1_Observed",30,"68"
"108",2,"4_Among",30,"69"
"1082",4,"4_Among",30,"70"
"1082",3,"3_Within",30,"71"
"1082",8,"1_Observed",30,"72"
"1084",4,"1_Observed",22,"73"
"1084",4,"4_Among",22,"74"
"1084",3,"3_Within",22,"75"
"109",5,"1_Observed",42,"76"
"109",5,"4_Among",42,"77"
"109",4,"3_Within",42,"78"
"1090",4,"1_Observed",31,"79"
"1090",2,"4_Among",31,"80"
"1090",2,"3_Within",31,"81"
"1091",6,"1_Observed",26,"82"
"1091",3,"4_Among",26,"83"
"1091",4,"3_Within",26,"84"
"1093",1,"4_Among",20,"85"
"1093",2,"3_Within",20,"86"
"1093",4,"1_Observed",20,"87"
"1094",7,"4_Among",44,"88"
"1094",7,"3_Within",44,"89"
"1094",4,"1_Observed",44,"90"
"1095",1,"4_Among",2,"91"
"1095",1,"1_Observed",2,"92"
"1095",0,"3_Within",2,"93"
"110",3,"3_Within",30,"94"
"110",5,"1_Observed",30,"95"
"110",2,"4_Among",30,"96"
"1105",2,"4_Among",24,"97"
"1105",3,"1_Observed",24,"98"
"1105",1,"3_Within",24,"99"
"1112",2,"4_Among",23,"100"
"1112",1,"3_Within",23,"101"
"1112",4,"1_Observed",23,"102"
"1115",2,"4_Among",22,"103"
"1115",0,"3_Within",22,"104"
"1115",0,"1_Observed",22,"105"
"1116",9,"1_Observed",46,"106"
"1116",9,"4_Among",46,"107"
"1116",10,"3_Within",46,"108"
"1117",5,"1_Observed",42,"109"
"1117",6,"4_Among",42,"110"
"1117",7,"3_Within",42,"111"
"1125",3,"1_Observed",22,"112"
"1125",2,"4_Among",22,"113"
"1125",2,"3_Within",22,"114"
"1127",0,"4_Among",12,"115"
"1127",0,"3_Within",12,"116"
"1127",2,"1_Observed",12,"117"
"1128",2,"1_Observed",18,"118"
"1128",3,"4_Among",18,"119"
"1128",2,"3_Within",18,"120"
"1129",6,"1_Observed",30,"121"
"1129",3,"4_Among",30,"122"
"1129",2,"3_Within",30,"123"
"113",3,"3_Within",24,"124"
"113",3,"4_Among",24,"125"
"113",4,"1_Observed",24,"126"
"1136",3,"1_Observed",18,"127"
"1136",0,"4_Among",18,"128"
"1136",1,"3_Within",18,"129"
"1137",3,"4_Among",32,"130"
"1137",2,"3_Within",32,"131"
"1137",6,"1_Observed",32,"132"
"1138",4,"4_Among",38,"133"
"1138",4,"3_Within",38,"134"
"1138",3,"1_Observed",38,"135"
"114",0,"4_Among",2,"136"
"114",0,"3_Within",2,"137"
"114",1,"1_Observed",2,"138"
"1146",1,"4_Among",20,"139"
"1146",2,"1_Observed",20,"140"
"1146",1,"3_Within",20,"141"
"1147",1,"4_Among",20,"142"
"1147",2,"1_Observed",20,"143"
"1147",3,"3_Within",20,"144"
"1148",4,"4_Among",38,"145"
"1148",5,"3_Within",38,"146"
"1148",7,"1_Observed",38,"147"
"115",0,"1_Observed",17,"148"
"115",0,"4_Among",17,"149"
"115",0,"3_Within",17,"150"
"1155",0,"4_Among",16,"151"
"1155",0,"3_Within",16,"152"
"1155",2,"1_Observed",16,"153"
"1162",5,"1_Observed",28,"154"
"1162",4,"4_Among",28,"155"
"1162",5,"3_Within",28,"156"
"1163",3,"1_Observed",20,"157"
"1163",1,"4_Among",20,"158"
"1163",1,"3_Within",20,"159"
"1164",2,"1_Observed",22,"160"
"1164",0,"4_Among",22,"161"
"1164",2,"3_Within",22,"162"
"1165",6,"4_Among",48,"163"
"1165",8,"3_Within",48,"164"
"1165",10,"1_Observed",48,"165"
"1166",1,"1_Observed",20,"166"
"1166",0,"4_Among",20,"167"
"1166",1,"3_Within",20,"168"
"1177",7,"1_Observed",42,"169"
"1177",6,"4_Among",42,"170"
"1177",7,"3_Within",42,"171"
"1183",0,"1_Observed",20,"172"
"1183",0,"4_Among",20,"173"
"1183",1,"3_Within",20,"174"
"1185",1,"4_Among",26,"175"
"1185",1,"3_Within",26,"176"
"1185",3,"1_Observed",26,"177"
"1186",1,"1_Observed",16,"178"
"1186",0,"4_Among",16,"179"
"1186",0,"3_Within",16,"180"
"1187",0,"4_Among",10,"181"
"1187",0,"3_Within",10,"182"
"1187",0,"1_Observed",10,"183"
"119",1,"3_Within",24,"184"
"119",2,"1_Observed",24,"185"
"119",2,"4_Among",24,"186"
"1195",1,"1_Observed",20,"187"
"1195",0,"3_Within",20,"188"
"1195",0,"4_Among",20,"189"
"1210",1,"3_Within",26,"190"
"1210",1,"4_Among",26,"191"
"1210",1,"1_Observed",26,"192"
"1211",0,"4_Among",8,"193"
"1211",0,"3_Within",8,"194"
"1211",0,"1_Observed",8,"195"
"122",3,"3_Within",24,"196"
"122",3,"4_Among",24,"197"
"122",3,"1_Observed",24,"198"
"1221",0,"3_Within",2,"199"
"1221",0,"4_Among",2,"200"
"1221",0,"1_Observed",2,"201"
"1223",3,"4_Among",28,"202"
"1223",5,"1_Observed",28,"203"
"1223",4,"3_Within",28,"204"
"1224",0,"1_Observed",16,"205"
"1224",0,"3_Within",16,"206"
"1224",0,"4_Among",16,"207"
"1228",6,"1_Observed",36,"208"
"1228",4,"3_Within",36,"209"
"1228",3,"4_Among",36,"210"
