"DVDRef","NbAlternation","Type"
"1","2","1_Observed"
"36","10","1_Observed"
"39","18","1_Observed"
"45","16","1_Observed"
"69","20","1_Observed"
"71","2","1_Observed"
"74","6","1_Observed"
"79","9","1_Observed"
"81","6","1_Observed"
"84","11","1_Observed"
"89","23","1_Observed"
"90","6","1_Observed"
"103","21","1_Observed"
"105","9","1_Observed"
"106","19","1_Observed"
"107","4","1_Observed"
"108","22","1_Observed"
"109","25","1_Observed"
"110","20","1_Observed"
"113","15","1_Observed"
"114","2","1_Observed"
"115","12","1_Observed"
"119","15","1_Observed"
"122","16","1_Observed"
"123","18","1_Observed"
"126","27","1_Observed"
"127","22","1_Observed"
"130","43","1_Observed"
"133","3","1_Observed"
"141","17","1_Observed"
"146","16","1_Observed"
"148","17","1_Observed"
"157","26","1_Observed"
"172","14","1_Observed"
"173","13","1_Observed"
"175","19","1_Observed"
"183","10","1_Observed"
"186","11","1_Observed"
"188","26","1_Observed"
"191","22","1_Observed"
"194","17","1_Observed"
"197","23","1_Observed"
"200","18","1_Observed"
"205","7","1_Observed"
"208","6","1_Observed"
"210","13","1_Observed"
"211","12","1_Observed"
"213","22","1_Observed"
"220","16","1_Observed"
"221","14","1_Observed"
"224","24","1_Observed"
"225","35","1_Observed"
"226","36","1_Observed"
"228","24","1_Observed"
"229","31","1_Observed"
"230","9","1_Observed"
"231","12","1_Observed"
"233","19","1_Observed"
"235","28","1_Observed"
"236","25","1_Observed"
"237","18","1_Observed"
"238","12","1_Observed"
"239","20","1_Observed"
"240","30","1_Observed"
"246","12","1_Observed"
"247","29","1_Observed"
"250","19","1_Observed"
"252","8","1_Observed"
"256","41","1_Observed"
"257","37","1_Observed"
"259","15","1_Observed"
"260","34","1_Observed"
"262","21","1_Observed"
"263","22","1_Observed"
"264","33","1_Observed"
"265","16","1_Observed"
"268","24","1_Observed"
"269","35","1_Observed"
"270","10","1_Observed"
"274","30","1_Observed"
"276","6","1_Observed"
"277","18","1_Observed"
"278","16","1_Observed"
"281","18","1_Observed"
"290","9","1_Observed"
"293","18","1_Observed"
"297","14","1_Observed"
"303","18","1_Observed"
"304","3","1_Observed"
"306","3","1_Observed"
"307","29","1_Observed"
"308","6","1_Observed"
"311","19","1_Observed"
"313","8","1_Observed"
"319","9","1_Observed"
"320","21","1_Observed"
"321","11","1_Observed"
"323","2","1_Observed"
"329","8","1_Observed"
"330","7","1_Observed"
