"DVDRef","NbAlternation","Type","NbAMax","LineID"
"1","2","1_Observed",2,"1"
"1","2","3_Within",2,"2"
"1","2","2_Switch",2,"3"
"1","2","4_Among",2,"4"
"1012","35","2_Switch",40,"5"
"1012","35","1_Observed",40,"6"
"1012","21","4_Among",40,"7"
"1012","22","3_Within",40,"8"
"1013","12","4_Among",14,"9"
"1013","12","2_Switch",14,"10"
"1013","12","3_Within",14,"11"
"1013","12","1_Observed",14,"12"
"1014","8","2_Switch",8,"13"
"1014","8","1_Observed",8,"14"
"1014","7","3_Within",8,"15"
"1014","6","4_Among",8,"16"
"1019","17","2_Switch",36,"17"
"1019","19","1_Observed",36,"18"
"1019","20","4_Among",36,"19"
"1019","17","3_Within",36,"20"
"1022","29","2_Switch",44,"21"
"1022","35","1_Observed",44,"22"
"1022","25","4_Among",44,"23"
"1022","28","3_Within",44,"24"
"1029","22","4_Among",42,"25"
"1029","33","2_Switch",42,"26"
"1029","35","1_Observed",42,"27"
"1029","30","3_Within",42,"28"
"103","17","3_Within",28,"29"
"103","17","2_Switch",28,"30"
"103","16","4_Among",28,"31"
"103","21","1_Observed",28,"32"
"1036","7","4_Among",10,"33"
"1036","6","3_Within",10,"34"
"1036","6","2_Switch",10,"35"
"1036","10","1_Observed",10,"36"
"1040","19","4_Among",26,"37"
"1040","21","2_Switch",26,"38"
"1040","21","3_Within",26,"39"
"1040","23","1_Observed",26,"40"
"1046","20","3_Within",29,"41"
"1046","21","1_Observed",29,"42"
"1046","19","2_Switch",29,"43"
"1046","17","4_Among",29,"44"
"105","9","1_Observed",14,"45"
"105","8","3_Within",14,"46"
"105","7","2_Switch",14,"47"
"105","8","4_Among",14,"48"
"1051","23","1_Observed",32,"49"
"1051","15","4_Among",32,"50"
"1051","16","3_Within",32,"51"
"1051","19","2_Switch",32,"52"
"1056","18","4_Among",32,"53"
"1056","20","2_Switch",32,"54"
"1056","17","3_Within",32,"55"
"1056","22","1_Observed",32,"56"
"106","15","4_Among",24,"57"
"106","19","1_Observed",24,"58"
"106","17","3_Within",24,"59"
"106","15","2_Switch",24,"60"
"1061","31","3_Within",48,"61"
"1061","33","2_Switch",48,"62"
"1061","35","1_Observed",48,"63"
"1061","26","4_Among",48,"64"
"1063","24","1_Observed",30,"65"
"1063","22","3_Within",30,"66"
"1063","16","4_Among",30,"67"
"1063","24","2_Switch",30,"68"
"1064","31","4_Among",58,"69"
"1064","35","2_Switch",58,"70"
"1064","30","3_Within",58,"71"
"1064","37","1_Observed",58,"72"
"107","4","4_Among",4,"73"
"107","4","2_Switch",4,"74"
"107","4","1_Observed",4,"75"
"107","4","3_Within",4,"76"
"1072","15","4_Among",22,"77"
"1072","18","3_Within",22,"78"
"1072","20","2_Switch",22,"79"
"1072","20","1_Observed",22,"80"
"1076","10","2_Switch",12,"81"
"1076","10","4_Among",12,"82"
"1076","10","3_Within",12,"83"
"1076","10","1_Observed",12,"84"
"1077","13","2_Switch",14,"85"
"1077","13","1_Observed",14,"86"
"1077","10","4_Among",14,"87"
"1077","11","3_Within",14,"88"
"108","19","4_Among",30,"89"
"108","22","3_Within",30,"90"
"108","24","2_Switch",30,"91"
"108","22","1_Observed",30,"92"
"1082","20","2_Switch",30,"93"
"1082","22","1_Observed",30,"94"
"1082","18","4_Among",30,"95"
"1082","20","3_Within",30,"96"
"1084","22","1_Observed",22,"97"
"1084","20","2_Switch",22,"98"
"1084","16","4_Among",22,"99"
"1084","19","3_Within",22,"100"
"109","27","2_Switch",42,"101"
"109","23","4_Among",42,"102"
"109","23","3_Within",42,"103"
"109","25","1_Observed",42,"104"
"1090","18","4_Among",31,"105"
"1090","23","2_Switch",31,"106"
"1090","22","3_Within",31,"107"
"1090","25","1_Observed",31,"108"
"1091","26","2_Switch",26,"109"
"1091","26","1_Observed",26,"110"
"1091","18","4_Among",26,"111"
"1091","23","3_Within",26,"112"
"1093","20","1_Observed",20,"113"
"1093","18","2_Switch",20,"114"
"1093","13","4_Among",20,"115"
"1093","14","3_Within",20,"116"
"1094","31","2_Switch",44,"117"
"1094","33","1_Observed",44,"118"
"1094","31","3_Within",44,"119"
"1094","27","4_Among",44,"120"
"1095","2","2_Switch",2,"121"
"1095","2","1_Observed",2,"122"
"1095","1","4_Among",2,"123"
"1095","1","3_Within",2,"124"
"110","21","3_Within",30,"125"
"110","20","2_Switch",30,"126"
"110","17","4_Among",30,"127"
"110","20","1_Observed",30,"128"
"1105","13","4_Among",24,"129"
"1105","17","2_Switch",24,"130"
"1105","17","3_Within",24,"131"
"1105","17","1_Observed",24,"132"
"1112","14","2_Switch",23,"133"
"1112","14","1_Observed",23,"134"
"1112","13","3_Within",23,"135"
"1112","12","4_Among",23,"136"
"1115","14","2_Switch",22,"137"
"1115","14","1_Observed",22,"138"
"1115","13","4_Among",22,"139"
"1115","14","3_Within",22,"140"
"1116","36","2_Switch",46,"141"
"1116","34","1_Observed",46,"142"
"1116","29","4_Among",46,"143"
"1116","35","3_Within",46,"144"
"1117","27","2_Switch",42,"145"
"1117","23","4_Among",42,"146"
"1117","27","1_Observed",42,"147"
"1117","28","3_Within",42,"148"
"1125","16","2_Switch",22,"149"
"1125","20","1_Observed",22,"150"
"1125","17","4_Among",22,"151"
"1125","20","3_Within",22,"152"
"1127","10","2_Switch",12,"153"
"1127","8","1_Observed",12,"154"
"1127","4","4_Among",12,"155"
"1127","8","3_Within",12,"156"
