BirdID	CaptureDate	Mass
1	15-May-01	4.1
1	25-May-01	23.4
2	15-May-01	5.3
2	25-May-01	23.3
3	15-May-01	4.6
3	25-May-01	21
4	25-May-01	21.8
4	15-May-01	4.4
4	24-Jul-02	23.6
6	16-May-01	2.4
7	16-May-01	3.9
11	25-May-04	26.6
11	27-May-01	23
11	12-Oct-01	27.5
11	17-Nov-05	26.4
11	07-Mar-04	26.5
11	17-May-01	6.2
11	14-Aug-03	27.75
11	22-May-04	27.7
11	24-May-02	28.1
11	05-Jul-04	26.6
11	21-Jul-05	26.6
11	09-Mar-04	26
12	28-May-01	23.6
12	17-May-01	5.8
13	27-May-01	21.9
13	17-May-01	5.8
13	11-Oct-01	25.6
13	11-Oct-01	25.1
15	18-May-01	5.5
15	29-May-01	28.2
16	28-May-02	29.9
16	18-May-01	5.2
16	28-May-01	25.5
20	19-May-01	5.6
20	29-May-01	23.1
21	29-May-01	24.5
21	19-May-01	5.3
22	29-May-01	24.2
22	19-May-01	5.4
22	27-May-04	25.7
22	08-Jun-04	26.4
22	29-Jun-05	27.1
22	16-Nov-05	28.5
22	16-Jun-03	29.25
22	24-Nov-04	27.8
22	22-May-05	27.5
22	29-Jun-02	27.5
22	11-Mar-04	26.7
23	29-May-01	25.5
23	30-May-06	26.7
23	18-Jun-04	27.2
23	19-May-01	6.1
23	18-Nov-05	26.5
23	20-Mar-02	29
24	14-May-04	28
24	30-May-01	23.6
24	20-Jun-03	26.5
24	20-May-01	6
25	20-May-01	6.1
25	31-May-01	21.5
26	20-May-01	3.5
26	30-May-01	10.6
27	20-May-01	6.9
27	31-May-01	24.6
28	21-May-01	7.9
28	31-May-01	23.4
28	22-Mar-02	26.2
29	03-Jun-02	28
29	21-May-01	6.6
29	31-May-01	25.3
30	01-Jun-01	26.1
30	21-May-01	5.4
31	01-Jun-01	27.3
31	21-May-01	7
32	31-May-01	25.4
32	11-Oct-01	28.1
32	09-May-04	25.6
32	21-May-01	5.9
32	13-Aug-03	25.5
33	01-Jun-01	24.9
33	21-May-01	5
34	31-May-01	24.6
34	21-Mar-02	26.4
34	21-May-01	6.4
34	25-Jun-02	26.9
35	01-Jun-01	28
35	21-May-01	5.4
37	21-May-01	6.9
37	01-Jun-01	20.7
38	31-May-01	21.6
38	21-May-01	6.1
38	31-May-02	28.1
39	21-May-01	7.7
39	01-Jun-01	21.6
40	01-Jun-01	22.5
40	21-May-01	7.5
41	09-Mar-04	28.5
41	23-Nov-04	28
41	22-May-01	6.5
41	03-Jun-03	27.75
41	01-Jun-01	24.2
41	12-Jun-03	34.5
41	25-May-02	30.6
42	02-Jun-01	25.2
42	22-May-01	6.5
43	22-May-01	5.7
44	01-Jun-01	26.7
44	20-Mar-02	30.1
44	22-May-01	6.7
45	24-May-05	27
45	28-Oct-02	28.1
45	22-May-01	5.4
45	03-Jun-04	27
45	27-Jul-02	25.9
45	12-Jun-03	29
45	26-May-03	27.5
45	14-Jul-04	26.5
45	01-Jun-01	25.1
45	22-Jun-03	26.75
46	23-Jul-06	25.3
46	01-Jun-01	23.5
46	22-May-01	7
46	16-Jun-04	25.4
46	01-Dec-07	25.2
46	19-Nov-05	27.2
46	31-May-02	25.6
46	26-Jun-05	26
46	26-Nov-04	28.6
47	02-Jun-01	23.7
47	22-May-01	7.7
48	22-May-01	6.4
48	02-Jun-01	24.9
49	23-May-01	5.1
49	03-Jun-01	19.6
50	23-May-01	5.5
51	23-May-01	5.9
51	02-Jun-01	19.3
51	31-May-02	26.4
52	23-May-01	6.6
52	03-Jun-01	21.5
53	23-May-01	6.1
54	23-May-01	6.5
55	23-May-01	5.9
55	29-Jul-02	26.9
55	02-Jun-01	26.4
56	03-Jun-01	26.4
56	23-May-01	5.1
57	03-Jun-01	25.6
57	23-May-01	4.6
58	04-Jun-01	25.4
58	24-May-01	6.4
59	24-May-01	7.2
59	04-Jun-01	24.5
60	03-Jun-01	22.4
60	24-May-01	5
60	28-Apr-03	26.5
60	19-May-02	24.8
60	24-Jun-03	24.25
61	24-May-01	6.8
61	04-Jun-01	25.7
62	04-Jun-01	25
62	24-May-01	6.8
63	26-May-01	4.7
64	26-May-01	4.8
64	06-Jun-01	22.2
65	06-Jun-01	21.7
65	26-May-01	5.7
66	06-Jun-01	23.1
66	26-May-01	6.2
67	27-May-01	7.5
67	07-Jun-01	25.6
68	07-Jun-01	25.4
68	27-May-01	7.6
69	07-Jun-01	24.6
69	27-May-01	5.9
70	27-May-01	7.5
70	07-Jun-01	23.9
71	27-May-01	7.2
71	07-Jun-01	23
72	07-Jun-01	27.5
72	27-May-01	7.5
73	07-Jun-01	23.2
73	27-May-01	6.1
75	28-May-01	4.9
76	29-May-02	27.4
76	08-Jun-01	25.2
76	29-May-01	5.8
76	24-Nov-04	30.8
76	23-May-05	28.9
76	09-Mar-04	27
76	16-May-04	27.8
77	09-Jun-01	23
77	29-May-01	6.2
78	09-Jun-01	22.8
78	29-May-01	6
80	09-Jun-01	22.6
80	29-May-01	4.9
81	29-May-01	6
81	09-Jun-01	25.4
82	29-May-01	6.3
82	09-Jun-01	23.5
83	29-May-01	5.8
83	11-Oct-01	25.9
83	20-Mar-02	25.2
83	08-Jun-01	19.1
83	12-Oct-01	25.6
84	29-May-01	4.4
84	09-Jun-01	12.4
85	29-May-01	5.5
85	09-Jun-01	21.9
86	09-Jun-01	18.8
86	29-May-01	5.3
87	29-May-01	5.2
87	09-Jun-01	17.9
88	09-Jun-01	21.1
88	29-May-01	5.9
89	10-Jun-01	24.1
89	31-May-01	5.9
90	31-May-01	3.6
91	26-Jun-03	27.75
91	10-Jun-01	24.2
91	31-May-01	6.2
92	11-Oct-01	27.7
92	10-Jun-01	24
92	31-May-01	6.7
94	01-Jun-01	8.3
94	11-Jun-01	27.5
95	11-Jun-01	28.9
95	01-Jun-01	7.4
96	11-Jun-01	24.4
96	01-Jun-01	8.6
98	12-Jun-01	26.1
98	01-Jun-01	8.5
99	01-Jun-01	7.2
99	12-Jun-01	25.3
100	12-Jun-01	23
100	01-Jun-01	7.4
101	12-Jun-01	19.6
101	06-Jun-01	4.2
102	12-Jun-01	22.6
102	06-Jun-01	6
103	12-Jun-01	23.8
103	06-Jun-01	6.5
104	25-Jun-02	30.4
104	06-Jun-01	6.3
104	16-Jun-01	25.7
104	20-Jun-03	28.75
105	06-Jun-01	4.7
106	12-Jun-01	22.8
106	06-Jun-01	5.1
107	06-Jun-01	3.9
108	17-Jul-01	24.4
108	20-Mar-02	30.5
108	22-Mar-02	30.2
108	07-Jul-01	6.4
108	22-Mar-02	30.5
109	07-Jul-01	4.8
110	25-Nov-04	31
110	17-Jul-01	27.2
110	07-Jul-01	6.9
110	10-Mar-04	28.9
111	18-Jul-01	27.4
111	07-Jul-01	6.3
112	07-Jul-01	8.6
112	18-Jul-01	21.4
113	07-Jul-01	7.7
113	17-Jul-01	19.5
114	09-Jun-04	26.8
114	07-Aug-05	26
114	17-Oct-03	26.5
114	17-Jul-01	19.9
114	26-Apr-05	26.7
114	14-Jul-03	25.5
114	07-Jul-01	8.3
114	23-Nov-04	27.2
114	24-May-06	26.3
114	01-Oct-02	25.5
114	17-Nov-05	27.2
115	21-Mar-02	27.6
115	13-Oct-01	27.6
115	17-Jul-01	20.3
115	23-Nov-04	26.5
115	19-May-06	27.5
115	07-Jul-01	9
115	06-Jun-04	27.8
116	18-Jul-01	21.6
116	07-Jul-01	9.2
117	12-Jun-01	8
118	13-Oct-01	26.9
118	11-Oct-01	27.4
118	12-Jun-01	8.6
118	23-Jun-01	23.3
119	23-Jun-01	22.4
119	12-Jun-01	7.5
120	23-Jun-01	23.4
120	12-Jun-01	8
121	29-Jun-01	21.4
121	18-Jun-01	7.4
121	13-Oct-01	27.5
121	11-Oct-01	27
122	19-Nov-05	26.8
122	03-Jun-04	28.9
122	14-Jun-02	28.5
122	28-Jun-01	22.5
122	05-Jun-03	27.75
122	07-Mar-04	27.2
122	18-Jun-01	7
122	24-Nov-04	25.8
123	28-Jun-01	23.8
123	28-May-03	31
123	18-Jun-01	7.6
123	23-May-02	28.1
123	22-Jun-03	29.75
124	18-Jun-01	4.4
125	18-Jun-01	3.6
126	22-Jun-01	4.8
126	22-Mar-02	27
126	22-Mar-02	29.4
126	02-Jul-01	25.5
126	20-Mar-02	29.3
127	22-Jun-01	5.6
127	03-Jul-01	26.2
128	03-Jul-01	25
128	22-Jun-01	5.4
129	06-Jul-01	23.9
129	26-Jun-01	6.9
129	05-Jun-03	27
129	27-May-02	27.7
130	26-Jun-01	5.3
130	07-Jul-01	21
131	26-Jun-01	6.7
131	06-Jul-01	23.4
132	11-Oct-01	25.3
132	26-Jun-01	4.8
132	08-Jun-03	26.5
132	19-May-04	26
132	20-Mar-02	26.1
132	24-Nov-04	23.8
132	06-Jul-01	20.8
133	26-Jun-01	4.7
133	07-Jul-01	21.8
134	28-Jun-01	4.1
135	08-Jul-01	22.9
135	28-Jun-01	4.1
136	28-Jun-01	5
136	08-Jul-01	23.1
137	28-Jun-01	3.4
138	29-Jun-01	2.9
139	29-Jun-01	3
140	29-Jun-01	4.2
143	10-Jul-01	25.5
143	30-Jun-01	6.7
144	10-Jul-01	25.9
