BirdID	CaptureDate	AgeatCapture	Mass	Tarsus	RearingBrood
1212	13.05.2004	11	17	14.5	462
1214	13.05.2004	11	18.6	15.5	462
1226	14.05.2004	11	25.2	19	464
1227	14.05.2004	11	23.8	17	464
1228	14.05.2004	11	25	19.4	464
1259	16.05.2004	11	22.7	17.3	472
1261	16.05.2004	11	19.5	17.5	472
1282	17.05.2004	11	18.1	15	476
1283	17.05.2004	11	15.6	14.8	476
1333	21.05.2004	11	24.5	18.5	489
1338	22.05.2004	11	23.2	18.8	488
1341	22.05.2004	11	21.5	17.5	491
1342	22.05.2004	11	25	18.4	491
1343	22.05.2004	11	25.5	18.2	488
1346	22.05.2004	11	23.6	17.8	490
1347	22.05.2004	11	19.7	17.3	490
1348	22.05.2004	11	16.6	16.6	490
1353	23.05.2004	11	25.2	18.1	496
1354	23.05.2004	11	22.8	16.3	496
1355	23.05.2004	11	22.9	16.5	496
1362	23.05.2004	11	22.8	18.1	494
1363	23.05.2004	11	25.4	18	494
1364	23.05.2004	11	24.8	18	494
1365	23.05.2004	11	14.1	15	493
1366	23.05.2004	11	22.8	17.2	493
1367	23.05.2004	11	20.6	17.5	493
1386	24.05.2004	11	25.5	17.7	497
1387	24.05.2004	11	27.8	18	497
1422	30.05.2004	11	20.5	17.4	510
1434	31.05.2004	11	24	18.4	513
1436	31.05.2004	11	20.6	16.5	513
1437	31.05.2004	11	25.5	18.7	512
1438	31.05.2004	11	24.7	19	512
1439	31.05.2004	11	21.8	19.2	512
1441	02.06.2004	11	25.4	18.3	514
1442	02.06.2004	11	17.3	16.5	514
1443	02.06.2004	11	24	18.3	514
1445	05.06.2004	11	20.8	18.3	516
1446	05.06.2004	11	18.2	17.7	516
1447	05.06.2004	11	21.8	17.2	516
1448	05.06.2004	11	18	18.2	516
1449	06.06.2004	11	20.2	18.9	517
1450	06.06.2004	11	20.7	19.7	517
1451	06.06.2004	11	22.5	18.7	517
1452	06.06.2004	11	24.8	19.3	515
1454	06.06.2004	11	25.5	18.8	515
1455	06.06.2004	11	22.8	18.2	515
1463	07.06.2004	11	27.2	19.6	518
1464	07.06.2004	11	27.5	19.2	518
1475	08.06.2004	11	21.8	16.9	523
1476	08.06.2004	11	22	17.5	523
1477	08.06.2004	11	23	17.9	523
1478	08.06.2004	11	12.2	14.5	523
1480	08.06.2004	11	27	19	522
1483	08.06.2004	11	24.6	19	526
1485	08.06.2004	11	27	18.5	525
1486	08.06.2004	11	30.3	19.5	525
1488	09.06.2004	11	27.8	18.9	524
1489	09.06.2004	11	19.8	16.6	526
1499	10.06.2004	11	26.4	18.4	527
1500	10.06.2004	11	19.6	17	527
1502	10.06.2004	11	19.5	17	527
1503	10.06.2004	11	25	18.3	530
1504	10.06.2004	11	25	18.7	530
1505	10.06.2004	11	25.8	18.3	530
1506	10.06.2004	11	18.5	17	530
1507	10.06.2004	11	21.3	17.5	531
1509	10.06.2004	11	21.9	17	531
1512	11.06.2004	11	22.5	18.5	529
1513	11.06.2004	11	25.8	18.9	529
1514	11.06.2004	11	18.1	16.8	529
1517	11.06.2004	11	20.5	17.8	536
1518	11.06.2004	11	23.7	18.4	536
1519	11.06.2004	11	17.7	17.4	536
1520	11.06.2004	11	14	16.9	536
1528	11.06.2004	11	22	18.5	539
1529	11.06.2004	11	19	17.4	539
1530	11.06.2004	11	19.6	17.6	539
1532	11.06.2004	11	18.8	17	532
1533	11.06.2004	11	18.7	17.1	532
1534	11.06.2004	11	16.8	17	532
1535	11.06.2004	11	14.8	15.9	532
1537	12.06.2004	11	27.1	19.5	543
1539	12.06.2004	11	26.5	17.8	543
1540	12.06.2004	11	25.1	19	543
1541	12.06.2004	11	22.1	17.1	542
1542	12.06.2004	11	22	18.3	542
1543	12.06.2004	11	20.2	17	542
1544	11.06.2004	11	24.4	18	535
1546	11.06.2004	11	22.2	18.4	535
1557	12.06.2004	11	21.2	18.3	538
1558	12.06.2004	11	19.6	17.3	538
1559	12.06.2004	11	18	17.4	538
1561	12.06.2004	11	25.8	19	537
1563	12.06.2004	11	24.4	17.5	537
1566	13.06.2004	11	24.1	18.3	546
1567	13.06.2004	11	24.6	18	545
1568	13.06.2004	11	23.3	18.2	545
1569	13.06.2004	11	24	19	544
1570	13.06.2004	11	22.4	18.7	544
1572	13.06.2004	11	19	18.2	544
1580	17.06.2004	11	18	16.8	549
1586	17.06.2004	11	23.2	18.8	550
1587	17.06.2004	11	22.2	18.8	548
1589	18.06.2004	11	22.2	18.4	549
1590	18.06.2004	11	21.8	18.5	549
1591	18.06.2004	11	19.2	17.5	549
1593	19.06.2004	11	23.9	18.8	553
1598	20.06.2004	11	24	19.4	553
1599	20.06.2004	11	25.5	19.2	553
1601	20.06.2004	11	21.3	17.2	552
1602	20.06.2004	11	21	16.9	552
1616	22.06.2004	11	25.4	19.4	554
1617	22.06.2004	11	25	19.2	554
1620	22.06.2004	11	22	18	555
1622	22.06.2004	11	14.4	16	554
1626	23.06.2004	11	24.2	18	560
1627	23.06.2004	11	23.4	18	560
1637	23.06.2004	11	20	16.5	560
1642	24.06.2004	11	22.2	18.3	565
1643	24.06.2004	11	16	16.5	565
1644	24.06.2004	11	18.9	17.2	565
1646	24.06.2004	11	14.3	16.1	562
1648	24.06.2004	11	21.4	17.5	562
1649	24.06.2004	11	23.8	18.5	562
1666	28.06.2004	11	21.4	17.5	570
1667	28.06.2004	11	23.8	18.5	570
1693	02.07.2004	11	14.4	16.8	576
1694	02.07.2004	11	19	17.7	576
1697	02.07.2004	11	25.3	18.6	574
1698	02.07.2004	11	19.7	17	574
1702	03.07.2004	11	24.2	18.5	578
1703	03.07.2004	11	20.8	18	578
1708	03.07.2004	11	7.6	14	579
1716	04.07.2004	11	22.7	18.6	583
1717	04.07.2004	11	25	19.5	583
1718	04.07.2004	11	22.5	18.6	583
