"ChickID" "NatalBrood" "RearingBrood" "CrossFosteredYN" "AvgOfMass" "AvgOfTarsus" "AvgOfAge" "nMeasures" "dam" "sire"
1 154 155 1 23.3999996185303 17.2999992370605 12 1 4497 4470
2 154 155 1 23.2999992370605 16.7000007629395 12 1 4497 4470
3 154 155 1 21 15.8999996185303 12 1 4497 4470
4 154 155 1 21.7999992370605 17.2000007629395 12 1 4497 4470
11 156 156 0 23 17.6000003814697 12 1 4447 4403
12 156 156 0 23.6000003814697 17.2999992370605 13 1 NA NA
13 156 156 0 21.8999996185303 16.7999992370605 12 1 4447 4403
15 157 157 0 28.2000007629395 18.7999992370605 13 1 4496 4467
16 157 157 0 25.5 18.7999992370605 12 1 4496 4467
20 158 159 1 23.1000003814697 17.3999996185303 12 1 4495 4429
21 158 159 1 24.5 17.5 12 1 4495 4429
22 158 159 1 24.2000007629395 18.2000007629395 12 1 4495 4429
23 158 159 1 25.5 17.5 12 1 4495 4435
24 159 158 1 23.6000003814697 18.6000003814697 12 1 4494 4418
25 159 158 1 21.5 18.6000003814697 13 1 4494 4463
26 159 158 1 10.6000003814697 14.6999998092651 12 1 NA NA
27 159 158 1 24.6000003814697 19 13 1 4494 4412
28 160 161 1 23.3999996185303 18.7999992370605 12 1 4489 4275
29 160 161 1 25.2999992370605 18.3999996185303 12 1 4489 4275
30 160 161 1 26.1000003814697 18.6000003814697 13 1 NA NA
31 160 161 1 27.2999992370605 18.2999992370605 13 1 4489 4275
32 161 160 1 25.3999996185303 18.5 12 1 4290 4412
33 161 160 1 24.8999996185303 18.7000007629395 13 1 4290 4412
34 161 160 1 24.6000003814697 18.2999992370605 12 1 4290 4412
35 161 160 1 28 18.5 13 1 4290 4412
37 162 162 0 20.7000007629395 18.8999996185303 13 1 4500 4499
38 162 162 0 21.6000003814697 18.5 12 1 4500 4499
39 162 162 0 21.6000003814697 18.5 13 1 4500 4499
40 162 162 0 22.5 18.1000003814697 13 1 4500 4499
41 163 164 1 24.2000007629395 19.2999992370605 12 1 4437 4415
42 163 164 1 25.2000007629395 18.3999996185303 13 1 4437 4415
44 163 164 1 26.7000007629395 18.6000003814697 12 1 4437 4415
45 164 163 1 25.1000003814697 17.5 12 1 4438 4432
46 164 163 1 23.5 17.2999992370605 12 1 4438 4403
47 164 163 1 23.7000007629395 17.2999992370605 13 1 4438 4403
48 164 163 1 24.8999996185303 18.2000007629395 13 1 4438 4403
49 165 166 1 19.6000003814697 16.2000007629395 13 1 4436 4230
51 165 166 1 19.2999992370605 16.3999996185303 12 1 4436 4230
52 165 166 1 21.5 17 13 1 4436 4230
55 166 165 1 26.3999996185303 17.5 12 1 4177 4153
56 166 165 1 26.3999996185303 18 13 1 4177 4153
57 166 165 1 25.6000003814697 17.7999992370605 13 1 4177 4153
58 167 167 0 25.3999996185303 18.1000003814697 13 1 4498 4409
59 167 167 0 24.5 16.7000007629395 13 1 4498 4409
60 167 167 0 22.3999996185303 15.8000001907349 12 1 4498 4409
61 167 167 0 25.7000007629395 18.2000007629395 13 1 4498 4409
62 167 167 0 25 17.2999992370605 13 1 4498 4409
64 168 168 0 22.2000007629395 17.7999992370605 13 1 4178 4265
65 168 168 0 21.7000007629395 16.1000003814697 13 1 4178 4265
66 168 168 0 23.1000003814697 18.5 13 1 4178 4265
67 169 170 1 25.6000003814697 17.2000007629395 13 1 4434 4229
68 169 170 1 25.3999996185303 17.6000003814697 13 1 4434 4229
69 169 170 1 24.6000003814697 16.8999996185303 13 1 4434 4229
70 169 170 1 23.8999996185303 17.7000007629395 13 1 4434 4229
71 170 169 1 23 17 13 1 4408 4417
72 170 169 1 27.5 18.6000003814697 13 1 4408 4417
