"BroodRef"	"BirdID"	"NatalBroodID"	"RingedYN"	"LastStage"	"DeathDate"	"CrossFosteredYN"	"LastLiveRecord"	"HatchDate"
1	1952	640	0	2	2004-08-06	1	2004-08-05 00:00:00	2004-07-31
1	1951	640	1	3	NA	1	2004-08-11 00:00:00	2004-07-31
1	1956	1	1	3	NA	0	2006-07-25 00:00:00	2004-07-31
3	1964	3	0	2	NA	0	NA	2004-08-01
3	1962	3	0	1	2004-08-02	0	2004-08-01 23:59:59	2004-08-01
3	1963	3	0	2	NA	0	NA	2004-08-01
3	1961	3	0	1	2004-08-02	0	2004-08-01 23:59:59	2004-08-01
4	1966	4	0	2	2004-08-02	0	2004-08-01 00:00:00	2004-07-31
4	1976	7	0	2	2004-08-07	1	2004-08-06 00:00:00	2004-07-31
4	1975	7	0	2	2004-08-07	1	2004-08-06 00:00:00	2004-07-31
4	1967	4	0	2	2004-08-02	0	2004-08-01 00:00:00	2004-07-31
5	1954	1	1	3	NA	1	2006-08-08 00:00:00	2004-07-31
5	1955	1	0	2	2004-08-02	1	2004-08-01 00:00:00	2004-07-31
5	1943	638	0	2	2004-08-05	1	2004-08-04 00:00:00	2004-07-31
5	1944	638	0	2	2004-08-05	1	2004-08-04 00:00:00	2004-07-31
6	1973	6	0	2	2004-08-03	0	2004-08-02 00:00:00	2004-08-01
6	1977	7	0	2	2004-08-03	1	2004-08-02 00:00:00	2004-08-01
6	1965	4	1	3	NA	1	2004-08-12 00:00:00	2004-08-01
7	1974	6	1	3	NA	1	2004-08-12 00:00:00	2004-08-01
7	1972	6	1	3	NA	1	2005-06-28 00:00:00	2004-08-01
8	1981	8	0	2	NA	0	NA	2004-08-02
8	1979	8	0	2	NA	0	NA	2004-08-02
8	1980	8	0	2	NA	0	NA	2004-08-02
9	1989	11	0	2	2004-08-04	1	2004-08-03 00:00:00	2004-08-02
9	1985	9	0	2	2004-08-04	0	2004-08-03 00:00:00	2004-08-02
9	1990	11	0	2	2004-08-04	1	2004-08-03 00:00:00	2004-08-02
10	1986	10	0	2	2004-08-04	0	2004-08-03 00:00:00	2004-08-02
10	1988	10	0	2	NA	0	NA	2004-08-02
10	1987	10	0	2	NA	0	NA	2004-08-02
11	1993	12	0	2	2004-08-04	1	2004-08-03 00:00:00	2004-08-02
11	1994	12	0	2	2004-08-08	1	2004-08-07 00:00:00	2004-08-02
11	1991	11	0	2	2004-08-04	0	2004-08-03 00:00:00	2004-08-02
12	1995	12	0	1	2004-08-03	0	2004-08-02 23:59:59	2004-08-02
12	1983	9	0	2	2004-08-08	1	2004-08-07 00:00:00	2004-08-02
12	1984	9	0	2	2004-08-08	1	2004-08-07 00:00:00	2004-08-02
15	2023	15	0	2	2005-04-27	0	2005-04-26 00:00:00	2005-04-24
15	2024	15	0	2	NA	0	NA	2005-04-24
16	2026	16	0	2	2005-04-25	0	2005-04-24 00:00:00	2005-04-23
16	2028	16	0	2	2005-04-25	0	2005-04-24 00:00:00	2005-04-23
16	2025	16	0	2	2005-04-25	0	2005-04-24 00:00:00	2005-04-23
16	2027	16	0	2	2005-04-25	0	2005-04-24 00:00:00	2005-04-23
17	2029	17	0	2	2005-04-25	0	2005-04-24 00:00:00	2005-04-23
17	2031	17	0	2	NA	0	NA	2005-04-23
17	2030	17	0	2	2005-04-25	0	2005-04-24 00:00:00	2005-04-23
18	2035	18	0	2	NA	0	NA	2005-04-24
18	2036	18	0	2	NA	0	NA	2005-04-24
18	2034	18	0	2	NA	0	NA	2005-04-24
19	2037	19	0	2	2005-04-26	0	2005-04-25 00:00:00	2005-04-24
19	2038	19	0	2	2005-04-26	0	2005-04-25 00:00:00	2005-04-24
20	2042	20	0	2	2005-04-26	0	2005-04-25 00:00:00	2005-04-24
20	2040	20	0	2	2005-04-26	0	2005-04-25 00:00:00	2005-04-24
20	2043	20	0	2	NA	0	NA	2005-04-24
20	2041	20	0	2	2005-04-26	0	2005-04-25 00:00:00	2005-04-24
26	2051	26	0	2	2005-05-03	0	2005-05-02 00:00:00	2005-05-01
26	2052	26	0	2	NA	0	NA	2005-05-01
26	2049	26	0	2	2005-05-03	0	2005-05-02 00:00:00	2005-05-01
26	2050	26	0	2	2005-05-03	0	2005-05-02 00:00:00	2005-05-01
27	2053	27	1	3	NA	0	2006-08-10 00:00:00	2005-05-01
29	2058	29	0	2	2005-05-16	0	2005-05-15 00:00:00	2005-05-09
30	2062	30	0	2	2005-05-11	0	2005-05-10 00:00:00	2005-05-09
31	2068	31	0	2	2005-05-12	0	2005-05-11 00:00:00	2005-05-10
31	2067	31	0	3	NA	0	2005-05-11 00:00:00	2005-05-10
31	2069	31	0	2	2005-05-12	0	2005-05-11 00:00:00	2005-05-10
32	2080	34	0	2	2005-05-13	1	2005-05-12 00:00:00	2005-05-10
32	2081	34	0	2	2005-05-13	1	2005-05-12 00:00:00	2005-05-10
33	2073	32	0	2	2005-05-12	1	2005-05-11 00:00:00	2005-05-11
33	2072	32	0	2	2005-05-12	1	2005-05-11 00:00:00	2005-05-11
33	2077	33	0	2	NA	0	NA	2005-05-11
34	2076	33	0	2	2005-05-13	1	2005-05-12 00:00:00	2005-05-11
34	2082	34	0	2	2005-05-13	0	2005-05-12 00:00:00	2005-05-11
34	2075	33	0	2	2005-05-13	1	2005-05-12 00:00:00	2005-05-11
35	2088	35	0	1	2005-05-13	0	2005-05-12 23:59:59	2005-05-12
35	2086	35	0	2	2005-05-14	0	2005-05-13 00:00:00	2005-05-12
35	2085	35	0	2	2005-05-14	0	2005-05-13 00:00:00	2005-05-12
35	2087	35	0	2	2005-05-14	0	2005-05-13 00:00:00	2005-05-12
35	2084	35	0	2	2005-05-14	0	2005-05-13 00:00:00	2005-05-12
36	2091	36	0	1	2005-05-13	0	2005-05-12 23:59:59	2005-05-12
36	2104	39	0	2	2005-05-15	1	2005-05-14 00:00:00	2005-05-12
36	2089	36	0	2	2005-05-14	0	2005-05-13 00:00:00	2005-05-12
38	2098	38	0	2	2005-05-14	0	2005-05-13 00:00:00	2005-05-12
38	2099	38	0	2	2005-05-14	0	2005-05-13 00:00:00	2005-05-12
38	2100	38	0	2	2005-05-14	0	2005-05-13 00:00:00	2005-05-12
39	2106	39	0	2	2005-05-15	0	2005-05-14 00:00:00	2005-05-13
39	2107	39	0	2	2005-05-15	0	2005-05-14 00:00:00	2005-05-13
39	2110	40	0	2	2005-05-15	1	2005-05-14 00:00:00	2005-05-13
39	2105	39	0	2	2005-05-15	0	2005-05-14 00:00:00	2005-05-13
39	2109	40	1	3	NA	1	2005-07-06 00:00:00	2005-05-13
40	2103	39	1	3	2005-06-04	1	2005-05-24 00:00:00	2005-05-13
40	2090	36	1	3	NA	1	2005-06-28 00:00:00	2005-05-13
40	2111	40	0	2	2005-05-15	0	2005-05-14 00:00:00	2005-05-13
41	2113	41	0	2	2005-05-16	0	2005-05-15 00:00:00	2005-05-14
41	2148	49	0	2	2005-05-16	1	2005-05-15 00:00:00	2005-05-14
41	2117	41	0	1	2005-05-15	0	2005-05-14 23:59:59	2005-05-14
41	2150	49	0	2	2005-05-16	1	2005-05-15 00:00:00	2005-05-14
41	2149	49	0	2	2005-05-16	1	2005-05-15 00:00:00	2005-05-14
42	2119	42	0	2	NA	0	NA	2005-05-13
42	2120	42	0	2	NA	0	NA	2005-05-13
42	2121	42	0	2	NA	0	NA	2005-05-13
42	2118	42	0	2	NA	0	NA	2005-05-13
43	2123	43	0	2	NA	0	NA	2005-05-14
43	2122	43	0	2	NA	0	NA	2005-05-14
43	2125	43	0	2	NA	0	NA	2005-05-14
43	2124	43	0	2	NA	0	NA	2005-05-14
44	2139	46	0	2	2005-05-16	1	2005-05-15 00:00:00	2005-05-14
44	2137	46	1	3	NA	1	2005-05-25 00:00:00	2005-05-14
44	2138	46	0	2	2005-05-20	1	2005-05-19 00:00:00	2005-05-14
44	2136	46	1	3	NA	1	2006-05-29 00:00:00	2005-05-14
45	2142	47	0	2	2005-05-16	1	2005-05-15 00:00:00	2005-05-14
45	2141	47	0	2	2005-05-16	1	2005-05-15 00:00:00	2005-05-14
45	2134	45	0	2	2005-05-16	0	2005-05-15 00:00:00	2005-05-14
45	2140	47	0	2	2005-05-16	1	2005-05-15 00:00:00	2005-05-14
45	2135	45	0	2	NA	0	NA	2005-05-14
46	2129	44	0	2	2005-05-20	1	2005-05-19 00:00:00	2005-05-14
46	2128	44	0	2	2005-05-20	1	2005-05-19 00:00:00	2005-05-14
46	2127	44	0	2	2005-05-20	1	2005-05-19 00:00:00	2005-05-14
46	2152	49	0	2	2005-05-16	1	2005-05-15 00:00:00	2005-05-14
47	2131	45	1	3	NA	1	2005-10-22 00:00:00	2005-05-14
47	2143	47	0	2	2005-05-16	0	2005-05-15 00:00:00	2005-05-14
47	2132	45	0	2	2005-05-20	1	2005-05-19 00:00:00	2005-05-14
47	2133	45	0	2	2005-05-16	1	2005-05-15 00:00:00	2005-05-14
48	2145	48	0	2	2005-05-16	0	2005-05-15 00:00:00	2005-05-14
48	2126	44	1	2	2005-05-26	1	2005-05-25 00:00:00	2005-05-14
49	2114	41	1	3	NA	1	2005-06-28 00:00:00	2005-05-14
49	2144	48	0	2	2005-05-16	1	2005-05-15 00:00:00	2005-05-14
49	2116	41	1	3	NA	1	2005-11-15 00:00:00	2005-05-14
49	2115	41	0	2	2005-05-16	1	2005-05-15 00:00:00	2005-05-14
49	2151	49	0	2	2005-05-16	0	2005-05-15 00:00:00	2005-05-14
50	2158	51	1	3	NA	1	2005-06-28 00:00:00	2005-05-15
50	2155	50	0	1	2005-05-16	0	2005-05-15 23:59:59	2005-05-15
50	2157	51	1	3	NA	1	2005-07-06 00:00:00	2005-05-15
51	2153	50	1	3	NA	1	2007-02-07 00:00:00	2005-05-15
51	2166	53	1	3	NA	1	2007-12-05 00:00:00	2005-05-15
51	2154	50	1	3	2005-11-15	1	2005-10-22 00:00:00	2005-05-15
52	2168	53	1	3	NA	1	2005-06-16 00:00:00	2005-05-15
52	2167	53	1	3	NA	1	2006-07-19 00:00:00	2005-05-15
52	2169	53	0	2	2005-05-21	1	2005-05-20 00:00:00	2005-05-15
53	2163	52	1	2	2005-05-27	1	2005-05-26 00:00:00	2005-05-15
53	2159	51	0	2	2005-05-17	1	2005-05-16 00:00:00	2005-05-15
53	2162	52	1	3	NA	1	2005-05-26 00:00:00	2005-05-15
53	2164	52	1	3	NA	1	2005-05-26 00:00:00	2005-05-15
54	2180	56	0	2	2005-05-22	1	2005-05-21 00:00:00	2005-05-16
54	2197	59	0	2	2005-05-22	1	2005-05-21 00:00:00	2005-05-16
54	2196	59	0	2	2005-05-18	1	2005-05-17 00:00:00	2005-05-16
54	2195	59	0	2	2005-05-22	1	2005-05-21 00:00:00	2005-05-16
54	2193	58	0	2	2005-05-18	1	2005-05-17 00:00:00	2005-05-16
55	2189	57	0	2	2005-05-18	1	2005-05-17 00:00:00	2005-05-16
55	2188	57	1	3	NA	1	2005-05-27 00:00:00	2005-05-16
55	2185	57	1	3	NA	1	2005-07-01 00:00:00	2005-05-16
55	2187	57	1	3	NA	1	2006-07-28 00:00:00	2005-05-16
