ChickID	NatalBrood	RearingBrood	CrossFosteredYN	AvgOfMass	AvgOfTarsus	AvgOfAge	nMeasures
481	373	373	0	12		6	1
482	373	373	0	7.25		6	1
493	376	376	0	8.25		6	1
494	376	376	0	10.25		6	1
495	376	376	0	14.5		6	1
498	377	377	0	13		6	1
499	377	377	0	16.5		6	1
500	377	377	0	15.25		6	1
502	378	378	0	14.25		6	1
503	378	378	0	9.25		6	1
504	378	378	0	11.5		6	1
505	378	378	0	9		6	1
507	379	380	1	13		6	1
508	379	380	1	9.75		6	1
509	379	380	1	10.25		6	1
511	380	379	1	12		6	1
512	380	379	1	11.25		6	1
513	380	379	1	12.25		6	1
514	380	379	1	8		6	1
517	381	382	1	16		6	1
518	381	382	1	11.5		6	1
521	382	381	1	10.5		6	1
522	382	381	1	13.75		6	1
524	383	383	0	13		6	1
525	383	383	0	14.25		6	1
529	384	384	0	14.25		6	1
530	384	384	0	15.25		6	1
533	385	385	0	9.25		6	1
534	386	386	0	17.5		6	1
535	386	386	0	14.75		6	1
536	386	386	0	13.75		6	1
537	387	387	0	16.25		6	1
538	387	387	0	14.25		6	1
540	388	388	0	10.25		6	1
541	388	388	0	11.25		6	1
542	388	388	0	11.25		6	1
543	388	388	0	6.5		6	1
546	389	389	0	10.5		6	1
547	389	389	0	10.75		6	1
548	390	390	0	13.75		6	1
549	390	390	0	12.75		6	1
551	391	393	1	13		6	1
555	392	394	1	9.5		6	1
556	392	394	1	10.5		6	1
557	392	394	1	11.25		6	1
558	392	394	1	8.5		6	1
559	392	394	1	5.25		6	1
564	394	392	1	15		6	1
565	394	392	1	14.5		6	1
566	394	392	1	11.75		6	1
567	394	392	1	12.25		6	1
569	395	395	0	9.5		6	1
570	395	395	0	11.25		6	1
571	395	395	0	10		6	1
573	396	396	0	12.75		6	1
897	363	363	0	9		6	1
898	363	363	0	13		6	1
899	363	363	0	9.25		6	1
904	365	365	0	12.5		6	1
906	365	365	0	14.75		6	1
915	367	367	0	12.25		6	1
916	367	367	0	14		6	1
917	367	367	0	13.75		6	1
921	368	368	0	16.5		6	1
922	368	368	0	11		6	1
925	370	370	0	10.75		6	1
926	370	370	0	14		6	1
927	370	370	0	14.75		6	1
928	370	370	0	13.5		6	1
929	370	370	0	13.25		6	1
933	396	396	0	10.75		6	1
934	396	396	0	10.5		6	1
935	396	396	0	8.75		6	1
936	397	398	1	13.75		6	1
937	397	398	1	13.75		6	1
939	397	398	1	5.5		6	1
940	397	398	1	12.5		6	1
941	398	397	1	13.75		6	1
942	398	397	1	10.25		6	1
944	399	400	1	13.5		6	1
945	399	400	1	10		6	1
946	399	400	1	7.5		6	1
947	399	400	1	12		6	1
948	399	400	1	11.5		6	1
949	400	399	1	12		6	1
950	400	399	1	13		6	1
951	400	399	1	8		6	1
952	400	399	1	7.75		6	1
955	401	401	0	15		6	1
956	401	401	0	14.75		6	1
957	401	401	0	13.25		6	1
958	402	403	1	11		6	1
959	402	403	1	13		6	1
960	402	403	1	13		6	1
961	403	402	1	15		6	1
962	403	402	1	11		6	1
963	403	402	1	13.75		6	1
964	404	404	0	12.5		6	1
965	404	404	0	12.25		6	1
966	404	404	0	11.25		6	1
967	404	404	0	5		6	1
970	405	406	1	14.5		6	1
971	405	406	1	9		6	1
974	406	405	1	15.5		6	1
976	407	407	0	14.5		6	1
977	407	407	0	12.5		6	1
979	408	408	0	12.75		6	1
980	408	408	0	15		6	1
982	408	408	0	14.25		6	1
984	409	409	0	13.25		6	1
985	409	409	0	13.25		6	1
986	409	409	0	10		6	1
988	410	410	0	13.25		6	1
989	410	410	0	11.75		6	1
990	410	410	0	11		6	1
991	410	410	0	8.5		6	1
992	411	411	0	10.75		6	1
993	411	411	0	14		6	1
994	411	411	0	11.25		6	1
1005	414	414	0	13.5		6	1
1006	414	414	0	11.25		6	1
1007	414	414	0	8		6	1
1014	416	416	0	12.5		6	1
1015	416	416	0	12.25		6	1
1016	416	416	0	10.5		6	1
1027	419	419	0	10.25		6	1
1029	420	420	0	10		6	1
1030	420	420	0	9		6	1
1032	421	421	0	12.5		6	1
1033	421	421	0	11.75		6	1
1034	421	421	0	12.25		6	1
1038	422	423	1	11.5		6	1
1039	422	423	1	13		6	1
1040	422	423	1	9		6	1
1041	423	422	1	12		6	1
1042	423	422	1	11.5		6	1
1043	423	422	1	10.5		6	1
1049	427	427	0	12.25		6	1
1050	427	427	0	11.75		6	1
1051	427	427	0	5.75		6	1
1052	428	428	0	13.25		6	1
1053	428	428	0	15.25		6	1
1054	428	428	0	16.25		6	1
1055	428	428	0	16.25		6	1
1056	428	428	0	7		6	1
1062	430	430	0	11.25		6	1
1063	430	430	0	14		6	1
1079	434	434	0	11.75		6	1
1080	434	434	0	11		6	1
1081	434	434	0	6.5		6	1
1082	435	435	0	11.75		6	1
1083	435	435	0	12		6	1
1084	435	435	0	8.25		6	1
1092	437	437	0	12.5		6	1
1093	437	437	0	7.5		6	1
1095	438	438	0	13		6	1
1096	438	438	0	11		6	1
1170	452	452	0	11.6000003814697		6	1
1188	455	455	0	9.30000019073486		6	1
1189	455	455	0	8.30000019073486		6	1
1192	460	460	0	7.40000009536743		6	1
1195	457	456	1	6.80000019073486		6	1
1197	457	456	1	9.10000038146973		6	1
1212	461	462	1	8.10000038146973		6	1
1214	461	462	1	8.5		6	1
1226	464	464	0	12.3999996185303		6	1
1227	464	464	0	10.6000003814697		6	1
1228	464	464	0	12.6999998092651		6	1
1259	471	472	1	8.19999980926514		6	1
1261	471	472	1	8.39999961853027		6	1
1266	472	471	1	7.09999990463257		6	1
1282	477	475	1	8.39999961853027		6	1
1283	477	475	1	6.90000009536743		6	1
1289	479	481	1	8.30000019073486		6	1
1290	479	481	1	11.8999996185303		6	1
1294	480	481	1	7.40000009536743		6	1
1314	484	486	1	6.5		6	1
1317	485	484	1	11.1999998092651		6	1
1318	485	484	1	11.6999998092651		6	1
1320	485	484	1	5.80000019073486		6	1
1333	488	489	1	11.6999998092651		6	1
1334	488	489	1	7.5		6	1
1338	489	488	1	13.3999996185303		6	1
1341	490	491	1	10.6000003814697		6	1
1342	490	491	1	11.5		6	1
1343	490	488	1	11.3999996185303		6	1
1346	491	490	1	12		6	1
1347	491	490	1	9.69999980926514		6	1
1348	491	490	1	10.3000001907349		6	1
1353	493	496	1	9.39999961853027		6	1
1354	493	496	1	8.10000038146973		6	1
1355	493	496	1	9		6	1
1356	493	495	1	5.40000009536743		6	1
1358	494	495	1	8.5		6	1
1360	494	495	1	6.80000019073486		6	1
1362	495	494	1	11.6000003814697		6	1
1363	495	494	1	9.89999961853027		6	1
1364	495	494	1	9.10000038146973		6	1
1365	495	493	1	7.19999980926514		6	1
1366	496	493	1	14.6000003814697		6	1
1367	496	493	1	11.8000001907349		6	1
1368	496	493	1	7.09999990463257		6	1
1375	497	501	1	5.30000019073486		6	1
1376	497	498	1	9.80000019073486		6	1
1386	500	497	1	10.6000003814697		6	1
1387	500	497	1	11.3999996185303		6	1
1395	502	497	1	3.59999990463257		5	1
1396	502	497	1	5.90000009536743		5	1
1406	505	502	1	4.80000019073486		6	1
1421	509	510	1	9.80000019073486		6	1
1422	509	510	1	11.3999996185303		6	1
1425	510	511	1	8.10000038146973		6	1
1434	512	513	1	11.3999996185303		6	1
1436	512	513	1	8.89999961853027		6	1
1437	513	512	1	12.3999996185303		6	1
1438	513	512	1	14.1999998092651		6	1
1439	513	512	1	12.1000003814697		6	1
1441	514	514	0	14.3999996185303		6	1
1442	514	514	0	9.10000038146973		6	1
1443	514	514	0	13.8000001907349		6	1
1445	515	516	1	15.8000001907349		6	1
1446	515	516	1	13.6000003814697		6	1
1447	515	516	1	13		6	1
1448	515	516	1	11.8999996185303		6	1
