BirdID	FirstOfCaptureDate
1	26-May-01
2	26-May-01
3	26-May-01
4	26-May-01
11	27-May-01
12	28-May-01
13	27-May-01
15	29-May-01
16	28-May-01
20	30-May-01
21	30-May-01
22	30-May-01
23	30-May-01
24	29-May-01
25	29-May-01
27	29-May-01
28	31-May-01
29	31-May-01
30	01-Jun-01
31	01-Jun-01
32	31-May-01
33	01-Jun-01
34	31-May-01
35	01-Jun-01
37	01-Jun-01
38	31-May-01
39	01-Jun-01
40	01-Jun-01
41	01-Jun-01
42	02-Jun-01
44	01-Jun-01
45	01-Jun-01
46	01-Jun-01
47	02-Jun-01
48	02-Jun-01
49	03-Jun-01
51	02-Jun-01
52	03-Jun-01
55	02-Jun-01
56	03-Jun-01
57	03-Jun-01
58	04-Jun-01
59	04-Jun-01
60	03-Jun-01
61	04-Jun-01
62	04-Jun-01
64	06-Jun-01
65	06-Jun-01
66	06-Jun-01
67	07-Jun-01
68	07-Jun-01
69	07-Jun-01
70	07-Jun-01
71	07-Jun-01
72	07-Jun-01
73	07-Jun-01
76	08-Jun-01
77	09-Jun-01
78	09-Jun-01
80	09-Jun-01
81	09-Jun-01
82	09-Jun-01
83	08-Jun-01
84	09-Jun-01
85	09-Jun-01
86	09-Jun-01
87	09-Jun-01
88	09-Jun-01
89	11-Jun-01
91	11-Jun-01
92	11-Jun-01
94	12-Jun-01
95	12-Jun-01
96	12-Jun-01
98	12-Jun-01
99	12-Jun-01
100	12-Jun-01
101	12-Jun-01
102	12-Jun-01
103	12-Jun-01
104	16-Jun-01
106	12-Jun-01
108	17-Jul-01
110	17-Jul-01
111	18-Jul-01
112	18-Jul-01
113	17-Jul-01
114	17-Jul-01
115	17-Jul-01
116	18-Jul-01
118	23-Jun-01
119	23-Jun-01
120	23-Jun-01
121	29-Jun-01
122	28-Jun-01
123	28-Jun-01
126	02-Jul-01
127	03-Jul-01
128	03-Jul-01
129	06-Jul-01
130	07-Jul-01
131	06-Jul-01
132	06-Jul-01
133	07-Jul-01
135	09-Jul-01
136	09-Jul-01
143	11-Jul-01
144	11-Jul-01
145	11-Jul-01
146	11-Jul-01
150	11-Jul-01
151	11-Jul-01
152	11-Jul-01
153	11-Jul-01
154	11-Jul-01
155	11-Jul-01
156	11-Jul-01
158	11-Jul-01
159	12-Jul-01
161	13-Jul-01
163	13-Jul-01
164	13-Jul-01
165	13-Jul-01
166	12-Jul-01
169	13-Jul-01
170	15-Jul-01
173	14-Jul-01
174	14-Jul-01
175	15-Jul-01
176	15-Jul-01
177	15-Jul-01
178	14-Jul-01
179	17-Jul-01
180	17-Jul-01
181	17-Jul-01
182	17-Jul-01
183	17-Jul-01
184	17-Jul-01
188	17-Jul-01
189	17-Jul-01
190	17-Jul-01
191	17-Jul-01
192	17-Jul-01
194	17-Jul-01
195	17-Jul-01
196	17-Jul-01
197	17-Jul-01
198	22-Jul-01
202	22-Jul-01
203	22-Jul-01
204	22-Jul-01
206	29-Jul-01
207	30-Jul-01
212	31-Jul-01
213	01-Aug-01
215	02-Aug-01
216	02-Aug-01
218	02-Aug-01
219	02-Aug-01
222	06-Aug-01
223	06-Aug-01
225	06-Aug-01
249	19-Jul-01
250	19-Jul-01
251	19-Jul-01
253	15-May-02
254	15-May-02
255	15-May-02
256	15-May-02
258	18-May-02
259	18-May-02
260	18-May-02
261	18-May-02
262	18-May-02
263	18-May-02
264	18-May-02
265	17-May-02
266	17-May-02
267	17-May-02
268	17-May-02
269	17-May-02
283	22-May-02
284	22-May-02
285	22-May-02
286	22-May-02
