BirdID	LastLiveRecord	Source
1	26.05.2001	C
2	26.05.2001	C
3	26.05.2001	C
4	24.07.2002	C
6	16.05.2001	C
7	16.05.2001	C
11	17.11.2005	C
12	28.05.2001	C
13	30.08.2002	C
15	05.06.2002	SP
16	30.08.2002	C
20	01.07.2002	SP
21	30.05.2001	C
22	16.11.2005	C
23	14.05.2007	EP
24	30.08.2004	C
25	31.05.2001	C
26	30.05.2001	C
27	31.05.2001	C
28	30.08.2003	S
29	19.07.2002	SP
30	01.06.2001	C
31	01.06.2001	C
32	29.11.2004	C
33	01.06.2001	C
34	30.08.2002	C
35	01.06.2001	C
37	01.06.2001	C
38	30.08.2003	S
39	01.06.2001	C
40	01.06.2001	C
41	30.01.2005	C
42	02.06.2001	C
43	22.05.2001	C
44	30.08.2004	S
45	11.08.2006	SP
46	01.12.2007	C
47	02.06.2001	C
48	10.07.2002	SP
49	03.06.2001	C
50	23.05.2001	C
51	30.08.2002	C
52	03.06.2001	C
53	23.05.2001	C
54	23.05.2001	C
55	24.04.2003	EP
56	03.06.2001	C
57	03.06.2001	C
58	04.06.2001	C
59	04.06.2001	C
60	30.08.2004	C
61	04.06.2001	C
62	04.06.2001	C
63	05.06.2001	C
64	06.06.2001	C
65	06.06.2001	C
66	06.06.2001	C
67	07.06.2001	C
68	07.06.2001	C
69	07.06.2001	C
70	07.06.2001	C
71	27.04.2002	EP
72	07.06.2001	C
73	07.06.2001	C
75	28.05.2001	C
76	27.06.2005	SP
77	09.06.2001	C
78	09.06.2001	C
80	09.06.2001	C
81	09.06.2001	C
82	09.06.2001	C
83	30.08.2002	C
84	09.06.2001	C
85	09.06.2001	C
86	09.06.2001	C
87	09.06.2001	C
88	09.06.2001	C
89	11.06.2001	C
90	31.05.2001	C
91	30.08.2004	C
92	30.08.2002	C
94	12.06.2001	C
95	12.06.2001	C
96	12.06.2001	C
98	12.06.2001	C
99	12.06.2001	C
100	12.06.2001	C
101	12.06.2001	C
102	12.06.2001	C
103	12.06.2001	C
104	30.08.2004	C
105	06.06.2001	C
106	12.06.2001	C
107	06.06.2001	C
108	30.08.2002	C
109	07.07.2001	C
110	30.01.2005	C
111	18.07.2001	C
112	18.07.2001	C
113	17.07.2001	C
114	14.08.2006	SP
115	18.07.2006	EP
116	18.07.2001	C
117	12.06.2001	C
118	30.08.2002	C
119	23.06.2001	C
120	23.06.2001	C
121	30.08.2002	C
122	19.11.2005	C
123	30.08.2004	C
124	18.06.2001	C
125	18.06.2001	C
126	30.08.2002	C
127	03.07.2001	C
128	03.07.2001	C
129	30.08.2004	C
130	07.07.2001	C
131	06.07.2001	C
132	30.01.2005	C
133	07.07.2001	C
134	28.06.2001	C
135	09.07.2001	C
136	09.07.2001	C
137	28.06.2001	C
138	29.06.2001	C
139	29.06.2001	C
140	29.06.2001	C
142	29.06.2001	C
143	11.07.2001	C
144	30.08.2002	C
145	15.11.2005	C
146	11.07.2001	C
147	30.06.2001	C
148	30.06.2001	C
149	30.06.2001	C
150	30.08.2002	C
151	11.07.2001	C
152	11.07.2001	C
153	11.07.2001	C
154	11.07.2001	C
155	11.07.2001	C
156	11.07.2001	C
157	01.07.2001	C
158	11.07.2001	C
159	12.07.2001	C
160	01.07.2001	C
161	30.08.2002	C
162	11.07.2001	C
163	13.07.2001	C
164	13.07.2001	C
165	13.07.2001	C
166	22.05.2007	EP
167	03.07.2001	C
168	03.07.2001	C
169	13.07.2001	C
170	30.08.2002	C
171	04.07.2001	C
172	04.07.2001	C
173	14.07.2001	C
174	14.07.2001	C
175	15.07.2001	C
176	15.07.2001	C
177	15.07.2001	C
178	30.08.2004	C
179	17.07.2001	C
180	17.07.2001	C
181	17.07.2001	C
182	17.07.2001	C
183	17.07.2001	C
184	17.07.2001	C
185	07.07.2001	C
186	07.07.2001	C
187	07.07.2001	C
188	17.07.2001	C
189	17.07.2001	C
190	17.07.2001	C
191	17.07.2001	C
192	17.07.2001	C
194	17.07.2001	C
195	17.07.2001	C
196	17.07.2001	C
197	17.07.2001	C
198	22.07.2001	C
199	11.07.2001	C
202	22.07.2001	C
203	03.05.2002	EP
204	22.07.2001	C
206	09.02.2007	C
207	30.07.2001	C
208	19.07.2001	C
211	21.07.2001	C
212	30.08.2002	C
213	01.08.2001	C
215	02.08.2001	C
216	02.08.2001	C
217	22.07.2001	C
218	02.08.2001	C
219	02.08.2001	C
221	22.07.2001	C
222	06.08.2001	C
223	06.08.2001	C
225	06.08.2001	C
233	04.07.2001	C
249	19.07.2001	C
250	19.07.2001	C
251	16.11.2005	C
253	30.08.2004	C
254	15.05.2002	C
255	15.05.2002	C
256	05.08.2006	SP
258	18.05.2002	C
259	18.05.2002	C
260	19.08.2002	C
261	18.05.2002	C
262	18.05.2002	C
263	18.05.2002	C
264	18.05.2002	C
265	18.05.2002	C
266	18.05.2002	C
267	18.05.2002	C
268	18.05.2002	C
269	18.05.2002	C
270	08.05.2002	C
272	09.05.2002	C
273	09.05.2002	C
276	10.05.2002	C
277	10.05.2002	C
279	10.05.2002	C
280	10.05.2002	C
281	10.05.2002	C
282	10.05.2002	C
283	22.05.2002	C
284	30.08.2004	C
285	05.06.2006	SP
286	22.05.2002	C
287	04.05.2006	EP
289	15.05.2002	C
290	25.05.2002	C
291	15.05.2002	C
292	15.05.2002	C
293	15.05.2002	C
296	15.05.2002	C
297	15.05.2002	C
298	30.08.2004	C
300	26.05.2002	C
301	30.08.2004	C
302	16.05.2002	C
304	28.05.2002	C
305	27.06.2003	EP
306	28.05.2002	C
307	17.05.2002	C
308	17.05.2002	C
309	20.08.2005	SP
310	18.05.2002	C
311	28.05.2002	C
312	18.05.2002	C
313	28.05.2002	C
314	18.05.2002	C
315	18.05.2002	C
316	18.05.2002	C
317	18.05.2002	C
318	18.05.2002	C
319	18.05.2002	C
320	29.05.2002	C
321	18.05.2002	C
322	29.05.2002	C
323	18.05.2002	C
324	19.05.2002	C
325	19.05.2002	C
326	19.05.2002	C
327	19.05.2002	C
328	20.05.2002	C
329	20.05.2002	C
330	20.05.2002	C
331	20.05.2002	C
332	20.05.2002	C
333	21.05.2002	C
334	21.05.2002	C
335	05.06.2002	C
338	07.05.2007	SP
339	21.05.2002	C
340	21.05.2002	C
341	01.06.2002	C
342	30.08.2005	S
346	27.05.2005	SP
347	21.05.2002	C
348	31.05.2002	C
351	31.05.2002	C
352	31.05.2002	C
353	08.05.2007	SP
354	20.11.2005	C
355	31.05.2002	C
356	30.05.2006	C
357	03.06.2002	C
358	03.06.2002	C
359	24.05.2002	C
360	24.05.2002	C
361	24.05.2002	C
362	03.06.2002	C
363	30.08.2004	C
364	24.05.2002	C
365	03.06.2002	C
366	03.06.2002	C
367	24.05.2002	C
369	26.05.2002	C
370	30.08.2004	C
371	30.08.2004	C
372	26.05.2002	C
373	26.05.2002	C
374	09.06.2002	C
378	31.05.2002	C
383	30.08.2004	C
384	03.06.2002	C
385	13.06.2002	C
388	07.06.2002	C
390	07.06.2002	C
392	07.06.2002	C
393	20.11.2005	C
394	07.06.2002	C
397	23.06.2002	C
398	23.06.2002	C
399	23.06.2002	C
400	13.06.2002	C
401	23.06.2002	C
402	01.05.2003	C
403	23.06.2002	C
404	23.06.2002	C
406	25.06.2002	C
407	25.06.2002	C
408	15.06.2002	C
409	30.08.2005	S
411	25.06.2002	C
412	21.05.2003	EP
413	25.06.2002	C
414	15.06.2002	C
416	15.11.2005	C
417	07.08.2007	SP
418	06.02.2007	C
419	14.11.2005	C
421	15.11.2005	C
422	30.08.2004	C
423	28.06.2002	C
424	28.06.2002	C
425	27.06.2002	C
426	27.06.2002	C
427	09.07.2006	SP
428	30.01.2005	C
430	18.06.2002	C
431	16.11.2005	C
432	28.06.2002	C
433	28.06.2002	C
434	30.06.2002	C
435	30.06.2002	C
436	30.06.2002	C
437	30.06.2002	C
438	30.08.2005	S
439	20.06.2002	C
440	30.06.2002	C
441	30.06.2002	C
442	16.11.2005	C
443	01.07.2002	C
444	30.08.2004	C
445	21.06.2002	C
447	01.07.2002	C
448	04.06.2005	EP
449	01.07.2002	C
450	21.06.2002	C
451	02.07.2002	C
452	02.07.2002	C
453	02.07.2002	C
454	02.07.2002	C
455	22.06.2002	C
456	30.01.2005	C
457	29.06.2006	SP
458	28.10.2002	C
459	03.07.2002	C
460	19.11.2005	C
461	03.07.2002	C
462	23.06.2002	C
463	03.07.2002	C
464	23.06.2002	C
465	05.07.2002	C
466	10.07.2006	SP
467	05.07.2002	C
468	24.06.2002	C
469	30.08.2004	C
470	06.07.2002	C
471	18.11.2005	C
473	06.07.2002	C
474	06.07.2002	C
475	06.07.2002	C
476	26.06.2002	C
477	14.06.2003	C
481	25.06.2003	C
482	19.06.2003	C
483	15.06.2003	C
484	15.06.2003	C
485	15.06.2003	C
489	15.06.2003	C
490	16.06.2003	C
491	16.06.2003	C
493	26.06.2003	C
494	17.08.2006	C
495	17.10.2003	C
496	16.06.2003	C
497	16.06.2003	C
498	26.06.2003	C
499	09.06.2006	EP
500	23.07.2006	EP
501	16.06.2003	C
502	21.06.2003	C
503	14.07.2003	C
504	17.11.2005	C
505	30.07.2005	SP
506	17.06.2003	C
507	21.06.2003	C
508	21.06.2003	C
509	21.06.2003	C
510	17.06.2003	C
511	27.06.2003	C
512	16.11.2005	C
513	30.01.2005	C
514	27.06.2003	C
515	17.06.2003	C
517	30.01.2005	C
518	27.06.2003	C
519	17.06.2003	C
521	05.06.2005	SP
522	30.11.2003	S
523	17.06.2003	C
524	21.05.2006	SP
525	14.07.2003	C
526	18.06.2003	C
527	18.06.2003	C
529	30.08.2004	C
530	18.08.2003	C
533	01.08.2005	SP
534	02.07.2003	C
535	02.07.2003	C
536	02.07.2003	C
537	30.08.2005	S
538	03.07.2003	C
539	23.06.2003	C
540	12.08.2005	S
541	25.07.2003	C
542	07.07.2007	SP
543	03.07.2003	C
544	24.06.2003	C
545	24.06.2003	C
546	28.06.2003	C
547	28.06.2003	C
548	10.07.2003	C
549	10.07.2003	C
550	30.06.2003	C
551	17.06.2004	SP
552	01.07.2003	C
553	01.07.2003	C
554	11.07.2003	C
555	18.04.2004	SP
556	30.08.2005	S
557	12.07.2003	C
558	12.07.2003	C
559	12.07.2003	C
560	16.11.2005	C
561	12.07.2003	C
562	30.08.2004	C
563	25.07.2003	C
564	12.07.2003	C
565	25.05.2004	EP
566	12.07.2003	C
567	12.07.2003	C
568	02.07.2003	C
569	26.06.2005	SP
570	13.07.2003	C
571	20.07.2006	S
572	14.07.2003	C
573	14.07.2003	C
574	14.05.2003	EP
575	06.07.2002	C
576	06.07.2002	C
577	06.07.2002	C
578	26.06.2002	C
579	26.06.2002	C
580	07.07.2002	C
581	07.07.2002	C
582	07.07.2002	C
583	27.06.2002	C
584	07.07.2002	C
585	07.07.2002	C
586	01.12.2007	C
589	27.06.2002	C
590	14.07.2005	EP
591	17.11.2005	C
592	23.07.2007	SP
593	27.06.2002	C
594	29.06.2002	C
595	30.08.2004	C
599	09.07.2002	C
600	29.06.2002	C
601	30.01.2005	C
602	17.11.2005	C
603	31.10.2002	C
604	09.06.2006	SP
605	30.08.2005	S
606	30.06.2002	C
607	30.06.2002	C
608	10.07.2002	C
609	10.07.2002	C
610	10.07.2002	C
611	30.06.2002	C
612	26.07.2002	C
613	26.07.2002	C
614	30.07.2002	C
615	30.08.2004	C
616	30.07.2002	C
617	30.07.2002	C
618	20.07.2002	C
619	20.07.2002	C
620	20.07.2002	C
621	20.07.2002	C
622	06.02.2007	C
623	02.08.2002	C
624	02.08.2002	C
625	30.08.2003	S
626	30.08.2004	C
627	05.08.2002	C
628	05.08.2002	C
629	06.08.2002	C
630	29.09.2002	C
631	06.08.2002	C
633	28.07.2002	C
634	28.07.2002	C
637	29.07.2002	C
641	10.08.2002	C
642	10.08.2002	C
643	10.08.2002	C
644	10.08.2002	C
645	25.05.2005	EP
646	16.11.2005	C
647	13.08.2002	C
649	17.11.2005	C
650	13.06.2007	EP
651	03.08.2002	C
653	13.08.2002	C
654	13.08.2002	C
655	13.08.2002	C
656	03.08.2002	C
658	15.08.2002	C
659	14.08.2002	C
660	30.01.2005	C
661	01.12.2007	C
662	15.08.2002	C
663	30.08.2004	C
664	05.08.2002	C
665	05.08.2002	C
666	05.08.2002	C
667	05.08.2002	C
670	30.08.2004	C
671	30.08.2004	C
691	02.07.2002	C
692	02.07.2002	C
693	02.07.2002	C
694	02.07.2002	C
695	02.07.2002	C
697	02.07.2002	C
698	02.07.2002	C
699	02.07.2002	C
700	02.07.2002	C
701	02.07.2002	C
703	15.07.2002	C
704	16.11.2005	C
712	11.08.2002	C
713	11.08.2002	C
714	11.08.2002	C
715	11.08.2002	C
722	11.05.2002	C
723	17.11.2005	C
724	14.05.2002	C
725	26.10.2006	C
729	02.07.2002	C
730	02.07.2002	C
731	21.07.2002	C
734	14.05.2003	C
735	12.06.2003	C
736	14.05.2003	C
737	14.05.2003	C
738	16.05.2003	C
739	16.05.2003	C
740	16.05.2003	C
741	16.05.2003	C
742	16.05.2003	C
744	16.05.2003	C
745	16.05.2003	C
746	16.05.2003	C
747	16.05.2003	C
748	16.05.2003	C
749	16.05.2003	C
750	08.07.2007	SP
751	17.05.2003	C
752	17.05.2003	C
753	30.01.2005	C
754	17.05.2003	C
755	17.05.2003	C
756	17.05.2003	C
759	29.05.2003	C
760	17.05.2003	C
762	06.05.2003	C
763	17.05.2003	C
764	17.05.2003	C
765	20.05.2006	C
766	17.05.2003	C
767	17.05.2003	C
768	18.05.2003	C
769	18.05.2003	C
770	11.06.2003	C
771	16.05.2003	C
772	16.05.2003	C
773	16.05.2003	C
774	16.05.2003	C
775	18.05.2003	C
776	16.05.2003	C
777	16.05.2003	C
778	19.05.2003	C
779	18.05.2003	C
783	20.05.2003	C
784	11.05.2007	SP
785	19.05.2003	C
786	19.05.2003	C
787	19.05.2003	C
788	19.05.2003	C
789	19.05.2003	C
791	21.05.2003	C
792	21.05.2003	C
793	22.05.2003	C
794	22.05.2003	C
795	22.05.2003	C
796	30.05.2003	C
799	19.05.2003	C
800	19.05.2003	C
802	30.05.2003	C
803	30.05.2003	C
806	20.05.2003	C
807	21.05.2003	C
808	21.05.2003	C
809	21.05.2003	C
810	21.05.2003	C
811	24.05.2003	C
815	05.06.2003	C
816	05.06.2003	C
817	05.06.2003	C
818	17.11.2005	C
819	15.11.2005	C
822	27.05.2005	EP
823	16.08.2006	SP
824	06.06.2003	C
825	27.05.2003	C
826	06.06.2003	C
827	06.06.2003	C
828	06.06.2003	C
829	27.05.2003	C
830	07.06.2003	C
831	30.01.2005	C
832	30.08.2005	S
833	24.06.2003	C
834	07.06.2003	C
835	07.06.2003	C
836	28.05.2003	C
837	28.05.2003	C
838	07.06.2003	C
839	07.06.2003	C
841	08.06.2003	C
842	08.06.2003	C
843	06.02.2007	C
844	29.05.2003	C
845	29.05.2003	C
846	29.05.2003	C
849	29.05.2003	C
850	29.05.2003	C
851	29.05.2003	C
853	29.05.2003	C
854	29.05.2003	C
857	12.08.2006	SP
860	04.12.2007	C
866	24.06.2003	C
