Filename,TstartFeedVisit,TendFeedVisit,Sex,Interval,DVDRef
2004\40001LM18.xlsx,1.1,1.6,0,0,1
2004\40001LM18.xlsx,5,5.3,0,3.9,1
2004\40001LM18.xlsx,9.3,10,0,4.3,1
2004\40001LM18.xlsx,11.9,12.1,0,2.6,1
2004\40001LM18.xlsx,20.1,20.8,0,8.2,1
2004\40001LM18.xlsx,22.3,24.3,0,2.2,1
2004\40001LM18.xlsx,26.1,26.5,0,3.8,1
2004\40001LM18.xlsx,27.2,27.4,0,1.1,1
2004\40001LM18.xlsx,29.5,30.1,0,2.3,1
2004\40001LM18.xlsx,31.6,32.2,0,2.1,1
2004\40001LM18.xlsx,37.1,37.6,0,5.5,1
2004\40001LM18.xlsx,40.8,42.2,0,3.7,1
2004\40001LM18.xlsx,43.6,43.7,0,2.8,1
2004\40001LM18.xlsx,49.5,49.7,0,5.9,1
2004\40001LM18.xlsx,52.1,52.5,0,2.6,1
2004\40001LM18.xlsx,53,53.4,0,0.9,1
2004\40001LM18.xlsx,54.5,54.6,0,1.5,1
2004\40001LM18.xlsx,55.7,55.9,0,1.2,1
2004\40001LM18.xlsx,57.1,57.3,0,1.4,1
2004\40001LM18.xlsx,58.1,58.5,0,1,1
2004\40001LM18.xlsx,59.3,59.6,0,1.2,1
2004\40001LM18.xlsx,60.6,62.2,0,1.3,1
2004\40001LM18.xlsx,64.3,64.7,0,3.7,1
2004\40001LM18.xlsx,66.5,66.8,0,2.2,1
2004\40001LM18.xlsx,69.8,70.9,0,3.3,1
2004\40001LM18.xlsx,77.8,78.8,0,8,1
2004\40001LM18.xlsx,82.3,82.3,1,0,1
2004\40001LM18.xlsx,82.9,83.5,0,5.1,1
2004\40001LM18.xlsx,89.5,89.9,0,6.6,1
2004\40001LM18.xlsx,92.2,92.5,0,2.7,1
2004\40005.xlsx,4.1,9.2,1,0,5
2004\40005.xlsx,16.8,27.5,1,12.7,5
2004\40005.xlsx,34,35.4,1,17.2,5
2004\40005.xlsx,35.8,38.3,1,1.8,5
2004\40005.xlsx,38.4,38.6,1,2.6,5
2004\40005.xlsx,38.7,40.4,1,0.3,5
2004\40005.xlsx,45.8,52.2,0,0,5
2004\40005.xlsx,51.9,56.6,1,13.2,5
2004\40005.xlsx,56.7,59.7,0,10.9,5
2004\40005.xlsx,60.4,61.3,0,3.7,5
2004\40005.xlsx,61.4,66.8,1,9.5,5
2004\40005.xlsx,67,72.9,0,6.6,5
2004\40005.xlsx,73,74.1,1,11.6,5
2004\40005.xlsx,75.2,81.4,1,2.2,5
2004\40005.xlsx,82.4,84,1,7.2,5
2004\40005.xlsx,83.9,87.9,0,16.9,5
2004\40009.xlsx,1.5,2.2,1,0,9
2004\40009.xlsx,2.3,20.1,0,0,9
2004\40009.xlsx,3.6,3.7,1,2.1,9
2004\40009.xlsx,11.3,11.4,1,7.7,9
2004\40009.xlsx,20.2,26.1,1,8.9,9
2004\40009.xlsx,29.7,39.3,0,27.4,9
2004\40009.xlsx,31,31.3,1,10.8,9
2004\40009.xlsx,34.7,35,1,3.7,9
2004\40009.xlsx,36.8,37,1,2.1,9
2004\40009.xlsx,39.5,46.5,0,9.8,9
2004\40009.xlsx,43.5,43.8,1,6.7,9
2004\40009.xlsx,46.6,52.1,0,7.1,9
2004\40009.xlsx,50,50.3,1,6.5,9
2004\40009.xlsx,52.2,61.1,1,2.2,9
2004\40009.xlsx,61,64.9,0,14.4,9
2004\40009.xlsx,65.5,76.2,0,4.5,9
2004\40009.xlsx,67.2,68.3,1,15,9
2004\40009.xlsx,76.2,76.2,1,9,9
2004\40009.xlsx,76.4,90.5,0,10.9,9
2004\40009.xlsx,80.4,80.8,1,4.2,9
2004\40009.xlsx,83.6,83.8,1,3.2,9
2004\40009.xlsx,90.9,91.5,0,14.5,9
2004\40009.xlsx,91.6,93.7,1,8,9
2004\40010.xlsx,3.1,5,1,0,10
2004\40010.xlsx,6.8,7.4,1,3.7,10
2004\40010.xlsx,7.5,13.7,0,0,10
2004\40010.xlsx,16,17.9,0,8.5,10
2004\40010.xlsx,18,19.1,1,11.2,10
2004\40010.xlsx,20.6,24.3,1,2.6,10
2004\40010.xlsx,25.1,34.8,0,9.1,10
2004\40010.xlsx,34.8,38.4,1,14.2,10
2004\40010.xlsx,38.7,43.6,0,13.6,10
2004\40010.xlsx,44.3,48.7,1,9.5,10
2004\40010.xlsx,53.4,66.2,0,14.7,10
2004\40010.xlsx,66.3,69.1,1,22,10
2004\40010.xlsx,70,73.9,1,3.7,10
2004\40010.xlsx,75.4,80.2,0,22,10
2004\40010.xlsx,80.3,82,1,10.3,10
2004\40010.xlsx,86.1,90.3,1,5.8,10
2004\40010.xlsx,92.9,93.7,0,17.5,10
2004\40011.xlsx,7.8,9.1,1,0,11
2004\40011.xlsx,9.1,19.5,0,0,11
2004\40011.xlsx,19.6,30.5,1,11.8,11
2004\40011.xlsx,30.7,31.2,1,11.1,11
2004\40011.xlsx,31.3,52,0,22.2,11
2004\40011.xlsx,52.5,54.8,1,21.8,11
2004\40011.xlsx,54.9,60.7,0,23.6,11
2004\40011.xlsx,60.7,63.5,1,8.2,11
2004\40011.xlsx,63.6,76.1,0,8.7,11
2004\40011.xlsx,77.4,82.9,1,16.7,11
2004\40011.xlsx,83,92.5,0,19.4,11
2004\40011.xlsx,92.6,92.6,1,15.2,11
2004\40014.xlsx,4.2,5.3,1,0,14
2004\40014.xlsx,5.2,15.2,0,0,14
2004\40014.xlsx,15.2,18.5,1,11,14
2004\40014.xlsx,18.5,23.2,0,13.3,14
2004\40014.xlsx,23.3,29.7,1,8.1,14
2004\40014.xlsx,29.7,34,0,11.2,14
2004\40014.xlsx,34.1,51.5,1,10.8,14
2004\40014.xlsx,54.1,63.5,0,24.4,14
2004\40014.xlsx,68.5,72.7,0,14.4,14
2004\40014.xlsx,72.8,75.4,1,38.7,14
2004\40014.xlsx,75.5,80.3,0,7,14
2004\40014.xlsx,80.5,86.8,1,7.7,14
2004\40014.xlsx,86.8,93.6,0,11.3,14
2004\40019.xlsx,69.1,71.3,1,0,19
2004\40019.xlsx,74.1,75.3,1,5,19
2004\40019.xlsx,75.6,76.3,1,1.5,19
2004\40019.xlsx,78.6,79.5,1,3,19
2004\40020.xlsx,3.6,7.4,0,0,20
2004\40020.xlsx,7.9,12.2,0,4.3,20
2004\40020.xlsx,11.4,11.6,1,0,20
2004\40020.xlsx,13.4,17.2,0,5.5,20
2004\40020.xlsx,17,22.5,1,5.6,20
2004\40020.xlsx,23.2,25,1,6.2,20
2004\40020.xlsx,29.5,35.9,1,6.3,20
2004\40020.xlsx,35.9,51.8,0,22.5,20
2004\40020.xlsx,54.7,57.3,1,25.2,20
2004\40020.xlsx,57.3,61,0,21.4,20
2004\40020.xlsx,61.1,75.5,1,6.4,20
2004\40020.xlsx,75.4,78.1,0,18.1,20
2004\40020.xlsx,79.5,85.5,0,4.1,20
2004\40020.xlsx,85.8,91.2,1,24.7,20
