"BroodRef","SocialMumID","SocialDadID","BroodName","NestboxRef","SocialDadCertain","SocialdadIsGenetic","SocialMumCertain","SocialMumIsGenetic","Notes","HatchingDate","BreedingYear","HatchingDayAfter0401","NbHatched","Nb3","NbRinged","LastLiveRecordSocialDad","LastLiveRecordSocialDadSource","LastLiveRecordSocialMum","LastLiveRecordSocialMumSource","CohortDad","CohortMum","DadAge","MumAge","ParentsAge","MPrevNbRinged","MBroodNb","MPriorResidence","MPrevFemaleLastSeenAlive","MwithsameF","MDivorce","MDivorceforEx","FPrevNbRinged","FBroodNb","FPriorResidence","FPrevMaleLastSeenAlive","FwithsameM","FDivorce","FDivorceforEx","PairID","PairIDYear","PairBroodNb","AvgMass","MinMass","MaxMass","CVMass","nMass","AvgTarsus","nTarsus","nDiff","AvgClassAge"
1,419,4503,"D204",101,1,0,1,0,NA,2004-07-31,2004,120,3,2,2,"30.01.2005","C","14.11.2005","C",2000,2002,4,2,3,1,7,FALSE,"14.11.2005",TRUE,FALSE,NA,1,6,FALSE,"30.01.2005",FALSE,TRUE,TRUE,"4503419","45034192004",4,23.8500003814697,21.5,26.2000007629395,0.139346159044489,2,19.0999994277954,2,0,12
2,723,NA,"D205",96,0,0,1,0,NA,NA,NA,NA,0,0,0,NA,NA,"17.11.2005","C",NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,FALSE,"30.08.2004",FALSE,NA,NA,"NA723","NA723NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,371,456,"D206",56,1,0,1,0,NA,2004-08-01,2004,121,2,0,0,"30.01.2005","C","30.08.2004","C",2002,2002,2,2,2,2,5,TRUE,"30.08.2004",FALSE,TRUE,FALSE,2,7,FALSE,"02.07.2006",FALSE,TRUE,FALSE,"456371","4563712004",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,309,4422,"D207",127,1,0,1,0,"Dad:all cuckolded",2004-07-31,2004,120,4,0,0,"30.01.2005","C","20.08.2005","SP",2001,2002,3,2,2.5,2,7,FALSE,"30.08.2004",FALSE,TRUE,TRUE,0,8,TRUE,"30.01.2005",FALSE,TRUE,TRUE,"4422309","44223092004",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,122,132,"D208",16,1,0,1,0,NA,2004-07-31,2004,120,4,1,1,"30.01.2005","C","19.11.2005","C",2001,2001,3,3,3,0,7,TRUE,"19.11.2005",TRUE,FALSE,NA,0,6,TRUE,"30.01.2005",FALSE,TRUE,TRUE,"132122","1321222004",5,21.5,21.5,21.5,NA,1,17.3999996185303,1,0,13
6,988,145,"D209",69,1,0,1,0,NA,2004-08-01,2004,121,3,1,1,"15.11.2005","C","14.07.2006","SP",2001,2003,3,1,2,0,6,FALSE,"14.07.2006",TRUE,FALSE,NA,0,4,FALSE,"15.11.2005",FALSE,TRUE,TRUE,"145988","1459882004",4,19.6000003814697,19.6000003814697,19.6000003814697,NA,1,18.2000007629395,1,0,13
7,857,4247,"D210",95,1,0,1,0,"Dad:FROM GENETICS",2004-08-01,2004,121,2,2,2,"24.11.2004","C","12.08.2006","SP",2000,2003,4,1,2.5,3,8,TRUE,"12.08.2006",TRUE,FALSE,NA,3,3,TRUE,"24.11.2004",FALSE,TRUE,TRUE,"4247857","42478572004",3,17.8000001907349,16,19.6000003814697,0.143010249262515,2,16.25,2,0,12
8,929,46,"D211",82,1,0,0,0,"Mum:Female not sure TB09097",2004-08-02,2004,122,3,0,0,"01.12.2007","C","23.08.2007","SP",2001,2003,3,1,2,3,8,TRUE,"23.08.2007",TRUE,FALSE,NA,3,3,TRUE,"01.12.2007",FALSE,TRUE,TRUE,"46929","469292004",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,32,513,"D212",84,1,0,1,0,NA,2004-08-02,2004,122,3,0,0,"30.01.2005","C","29.11.2004","C",2003,2001,1,3,2,2,4,FALSE,"30.08.2005",FALSE,TRUE,FALSE,3,7,FALSE,"05.07.2005",FALSE,TRUE,FALSE,"51332","513322004",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,4497,4265,"D213",143,1,0,1,0,NA,2004-08-02,2004,122,3,0,0,"30.08.2005","SP","30.08.2004","C",2000,1999,4,5,4.5,0,13,TRUE,"30.08.2004",TRUE,FALSE,NA,0,16,TRUE,"30.08.2005",FALSE,TRUE,TRUE,"42654497","426544972004",9,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,960,650,"D214",128,1,0,1,0,NA,2004-08-02,2004,122,3,0,0,"13.06.2007","EP","30.08.2005","S",2002,2003,2,1,1.5,2,4,TRUE,"30.08.2005",TRUE,FALSE,NA,2,4,TRUE,"13.06.2007",FALSE,TRUE,TRUE,"650960","6509602004",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,955,591,"D215",27,1,0,1,0,NA,2004-08-02,2004,122,2,0,0,"17.11.2005","C","30.01.2005","C",2002,2003,2,1,1.5,0,3,TRUE,"30.01.2005",TRUE,FALSE,NA,0,3,TRUE,"17.11.2005",FALSE,TRUE,TRUE,"591955","5919552004",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,980,971,"D216",130,1,0,1,0,NA,NA,NA,NA,0,0,0,"30.08.2004","C","25.07.2006","SP",2003,2003,NA,NA,NA,1,2,TRUE,"25.07.2006",TRUE,FALSE,NA,2,6,FALSE,"14.05.2007",FALSE,NA,NA,"971980","971980NA",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,962,"D217",150,1,0,0,0,"Mum:TB09226, ???Female not sure TB09226",NA,NA,NA,NA,NA,NA,"12.02.2007","C",NA,NA,2003,NA,NA,NA,NA,1,5,FALSE,"16.07.2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"962NA","962NANA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
