sort	BroodRef	SocialMumID	SocialDadID	BroodName	NestboxRef	SocialDadCertain	SocialdadIsGenetic	SocialMumCertain	SocialMumIsGenetic	Notes	HatchingDate	NbHatched	Nb3	NbRinged	LastLiveRecordSocialDad	LastLiveRecordSocialDadSource	LastLiveRecordSocialMum	LastLiveRecordSocialMumSource	CohortDad	CohortMum	BreedingYear	DadAge	MumAge	ParentsAge	MPrevNbRinged	MBroodNb	MPriorResidence	MPrevFemaleLastSeenAlive	MwithsameF	MDivorce	MDivorceforEx	FPrevNbRinged	FBroodNb	FPriorResidence	FPrevMaleLastSeenAlive	FwithsameM	FDivorce	FDivorceforEx	PairID
1	1	419	4503	D204	101	1	0	1	0	NA	31.07.2004	3	2	2	30.01.2005	C	14.11.2005	C	2000	2002	2004	4	2	3	1	7	FALSE	14.11.2005	TRUE	FALSE	NA	1	6	FALSE	30.01.2005	FALSE	TRUE	TRUE	4503419
2	2	723	NA	D205	96	0	0	1	0	NA	01.08.2004	0	0	0	NA	NA	17.11.2005	C	NA	2001	2004	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	1	3	FALSE	30.08.2004	FALSE	TRUE	FALSE	NA723
3	3	371	456	D206	56	1	0	1	0	NA	01.08.2004	2	0	0	30.01.2005	C	30.08.2004	C	2002	2002	2004	2	2	2	2	5	TRUE	30.08.2004	FALSE	TRUE	FALSE	2	7	FALSE	02.07.2006	FALSE	TRUE	FALSE	456371
4	4	309	4422	D207	127	1	0	1	0	Dad:all cuckolded	31.07.2004	4	0	0	30.01.2005	C	20.08.2005	SP	2001	2002	2004	3	2	2.5	2	6	FALSE	30.08.2004	FALSE	TRUE	TRUE	0	7	TRUE	30.01.2005	FALSE	TRUE	TRUE	4422309
5	5	122	132	D208	16	1	0	1	0	NA	31.07.2004	4	1	1	30.01.2005	C	19.11.2005	C	2001	2001	2004	3	3	3	0	7	TRUE	19.11.2005	TRUE	FALSE	NA	0	6	TRUE	30.01.2005	FALSE	TRUE	TRUE	132122
6	6	988	145	D209	69	1	0	1	0	NA	01.08.2004	3	1	1	15.11.2005	C	14.07.2006	SP	2001	2003	2004	3	1	2	0	6	FALSE	14.07.2006	TRUE	FALSE	NA	0	4	FALSE	15.11.2005	FALSE	TRUE	TRUE	145988
7	7	857	4247	D210	95	1	0	1	0	Dad:FROM GENETICS	01.08.2004	2	2	2	24.11.2004	C	12.08.2006	SP	2000	2003	2004	4	1	2.5	3	8	TRUE	12.08.2006	TRUE	FALSE	NA	3	3	TRUE	24.11.2004	FALSE	TRUE	TRUE	4247857
8	8	929	46	D211	82	1	0	0	0	Mum:Female not sure TB09097	02.08.2004	3	0	0	01.12.2007	C	23.08.2007	SP	2001	2003	2004	3	1	2	3	7	TRUE	23.08.2007	TRUE	FALSE	NA	3	3	TRUE	01.12.2007	FALSE	TRUE	TRUE	46929
9	9	32	513	D212	84	1	0	1	0	NA	02.08.2004	3	0	0	30.01.2005	C	29.11.2004	C	2003	2001	2004	1	3	2	2	4	FALSE	30.08.2005	FALSE	TRUE	FALSE	3	6	FALSE	05.07.2005	FALSE	TRUE	FALSE	51332
10	10	4497	4265	D213	143	1	0	1	0	NA	02.08.2004	3	0	0	30.08.2005	SP	30.08.2004	C	2000	1999	2004	4	5	4.5	0	12	TRUE	30.08.2004	TRUE	FALSE	NA	0	16	TRUE	30.08.2005	FALSE	TRUE	TRUE	42654497
