sort	DVDRef	DVDdate	BroodRef	Filename	DVDInfoChickNb	DVDInfoAge	DVDtime	DVDInfoNotes	TapeLength	EffectTime	HatchingDate	ChickAge	Sunrise	RelTimeMins	LogRelTimeMins	Protocol
1	1	25.04.2004	442	2004\40001LM18.xlsx	2	13	28.04.2016 08:45	plus LM19	92.59999847	91.5	12.04.2004	13	28.04.2016 05:58	167	2.247973266	Shinichi
2	5	26.04.2004	448	2004\40005.xlsx	1	3	28.04.2016 06:50	NA	87.90000153	83.90000153	25.04.2004	1	28.04.2016 05:56	54	1.806179974	Shinichi
3	9	29.04.2004	452	2004\40009.xlsx	3	3	28.04.2016 07:00	NA	93.69999695	92.40000153	27.04.2004	2	28.04.2016 05:51	69	1.897627091	Shinichi
4	10	29.04.2004	451	2004\40010.xlsx	3	3	28.04.2016 07:00	NA	93.69999695	90.80000305	27.04.2004	2	28.04.2016 05:51	69	1.897627091	Shinichi
5	11	01.05.2004	454	2004\40011.xlsx	2	3	28.04.2016 07:10	NA	92.59999847	85	29.04.2004	2	28.04.2016 05:47	83	1.968482949	Shinichi
6	14	02.05.2004	456	2004\40014.xlsx	3	3	28.04.2016 07:00	NA	93.59999847	89.59999847	30.04.2004	2	28.04.2016 05:45	75	1.929418926	Shinichi
7	19	03.05.2004	452	2004\40019.xlsx	1	7	28.04.2016 06:50	NA	93.5	89	27.04.2004	6	28.04.2016 05:43	67	1.886490725	Shinichi
8	20	03.05.2004	457	2004\40020.xlsx	2	3	28.04.2016 07:00	NA	93.80000305	90.40000153	01.05.2004	2	28.04.2016 05:43	77	1.939519253	Shinichi
9	24	03.05.2004	459	2004\40024.xlsx	2	3	28.04.2016 09:20	NA	92.40000153	89.19999695	01.05.2004	2	28.04.2016 05:43	217	2.356025857	Shinichi
10	25	04.05.2004	461	2004\40025.xlsx	3	3	28.04.2016 08:00	NA	93.30000305	89.59999847	02.05.2004	2	28.04.2016 05:41	139	2.173186268	Shinichi
11	26	04.05.2004	462	2004\40026.xlsx	2	3	28.04.2016 08:00	NA	93.69999695	89.5	02.05.2004	2	28.04.2016 05:41	139	2.173186268	Shinichi
12	27	04.05.2004	460	2004\40027.xlsx	4	3	28.04.2016 08:30	CHI 4->3C3D	93.69999695	91.09999847	01.05.2004	3	28.04.2016 05:41	169	2.252853031	Shinichi
13	30	06.05.2004	464	2004\40030.xlsx	4	4	28.04.2016 07:10	CHI 5->3C4D	93.69999695	91.40000153	03.05.2004	3	28.04.2016 05:38	92	2.008600172	Shinichi
14	31	06.05.2004	463	2004\40031.xlsx	1	3	28.04.2016 07:00	NA	93.69999695	67.5	03.05.2004	3	28.04.2016 05:38	82	1.963787827	Shinichi
15	32	06.05.2004	455	2004\40032.xlsx	3	7	28.04.2016 06:50	Feamle seemed afraid (Abandanment???)	93.40000153	92.30000305	30.04.2004	6	28.04.2016 05:38	72	1.913813852	Shinichi
16	33	06.05.2004	466	2004\40033.xlsx	0	3	28.04.2016 09:50	CHI 1->0C3D	93.69999695	86.80000305	04.05.2004	2	28.04.2016 05:38	252	2.418301291	Shinichi
17	34	06.05.2004	467	2004\40034.xlsx	2	3	28.04.2016 09:30	CHI 2->1C3D	86.80000305	80.59999847	04.05.2004	2	28.04.2016 05:38	232	2.383815366	Shinichi
18	36	07.05.2004	457	2004\40036D.xlsx	3	3	28.04.2016 06:40	DUNCAN'S VERSION	91.5	87.09999847	01.05.2004	6	28.04.2016 05:36	64	1.86923172	Shinichi
19	37	07.05.2004	472	2004\40037.xlsx	4	3	28.04.2016 06:30	NA	91.19999695	88.59999847	05.05.2004	2	28.04.2016 05:36	54	1.806179974	Shinichi
20	38	07.05.2004	474	2004\40038.xlsx	1	3	28.04.2016 08:40	NA	93.80000305	88.80000305	05.05.2004	2	28.04.2016 05:36	184	2.28780173	Shinichi
21	39	07.05.2004	456	2004\40039D.xlsx	2	7	28.04.2016 08:50	NA	93.69999695	92.90000153	30.04.2004	7	28.04.2016 05:36	194	2.309630167	Shinichi
22	44	08.05.2004	475	2004\40044.xlsx	3	3	28.04.2016 06:30	NA	93.69999695	92.59999847	06.05.2004	2	28.04.2016 05:34	56	1.819543936	Shinichi
23	45	08.05.2004	462	2004\40045.xlsx	2	7	28.04.2016 06:30	NA	93.69999695	92.40000153	02.05.2004	6	28.04.2016 05:34	56	1.819543936	Shinichi
