sort	DVDRef	Filename	MVisit1	FVisit1	MVisit2	FVisit2	ShareTime1	MTime1	FTime1	MTime2	FTime2	Protocol	ShareTime12	NbAlternation	EffectiveTime	MFTime1	MFTime02	MFTime2	FVisit1RateH	MVisit1RateH	DiffVisit1Rate	FTime1RateH	MTime1RateH	DiffTime1Rate	AlternationValue
1	1	2004\40001LM18.xlsx	1	29	2	1	0	0	16.1	0.6	3.5	Shinichi	0	2	91.49999847	16.1	75.4	4.1	19	1	18	10.56	0	10.56	6.9
2	5	2004\40005.xlsx	11	5	4	3	0.4	40.6	20.2	4.3	7.6	Shinichi	4.3	7	83.90000153	60.4	23.5	8	4	8	4	14.45	29.03	14.58	46.7
3	9	2004\40009.xlsx	15	8	0	0	3.4	20.9	69.2	2.5	1	Shinichi	5.4	14	92.39999695	86.7	5.7	1.5	5	10	5	44.94	13.57	31.37	63.6
4	10	2004\40010.xlsx	10	7	4	0	0	27.9	41.1	19.4	1.6	Shinichi	2.8	11	90.79999695	69	21.8	18.2	5	7	2	27.16	18.44	8.72	68.8
5	11	2004\40011.xlsx	7	5	0	1	0	23.3	58.9	4.9	1.5	Shinichi	4.8	10	84.99999847	82.2	2.8	1.6	4	5	1	41.58	16.45	25.13	90.9
6	14	2004\40014.xlsx	6	7	1	1	0.1	37.1	44.2	1.8	1	Shinichi	2	11	89.59999847	81.2	8.4	0.9	5	4	1	29.6	24.84	4.76	91.7
7	19	2004\40019.xlsx	4	0	18	4	0	5	0	35.4	4	Shinichi	2.5	0	89	5	84	36.9	0	3	3	0	3.37	3.37	0
8	20	2004\40020.xlsx	7	8	0	0	0.5	36.3	42.8	3.3	0.5	Shinichi	3.6	10	90.40000305	78.6	11.8	0.7	5	5	0	28.41	24.09	4.32	71.4
9	24	2004\40024.xlsx	7	8	0	0	0.2	26.3	48.5	4	2.2	Shinichi	3.4	12	89.20000153	74.6	14.6	3	5	5	0	32.62	17.69	14.93	85.7
10	25	2004\40025.xlsx	10	6	1	8	0.1	48.6	1.7	24.7	13.2	Shinichi	8	7	89.60000305	50.2	39.4	30	4	7	3	1.14	32.54	31.4	46.7
11	26	2004\40026.xlsx	8	11	5	2	0.1	23	35.5	6.7	1.4	Shinichi	5.4	10	89.49999695	58.4	31.1	2.8	7	5	2	23.8	15.42	8.38	55.6
12	27	2004\40027.xlsx	8	8	0	0	3.7	39.7	50.7	5.3	1.1	Shinichi	9.7	15	91.09999695	86.7	4.4	0.4	5	5	0	33.39	26.15	7.24	100
13	30	2004\40030.xlsx	13	8	1	0	2.1	32	56.5	4.1	0.5	Shinichi	5	12	91.39999695	86.4	5	1.7	5	9	4	37.09	21.01	16.08	60
14	31	2004\40031.xlsx	3	2	3	0	0	18.7	1.7	4.3	4.2	Shinichi	1.8	2	67.49999695	20.4	47.1	6.7	2	3	1	1.51	16.62	15.11	50
15	32	2004\40032.xlsx	4	0	4	4	0	3.1	0	3.1	2.9	Shinichi	0.1	0	92.30000153	3.1	89.2	5.9	0	3	3	0	2.02	2.02	0
16	33	2004\40033.xlsx	6	7	7	2	0.1	24.4	35.1	9.7	5.3	Shinichi	2	7	86.79999695	59.4	27.4	13.1	5	4	1	24.26	16.87	7.39	58.3
17	34	2004\40034.xlsx	1	1	1	2	0	8.4	32.8	0.2	1.9	Shinichi	0	1	80.60000305	41.2	39.4	2.1	1	1	0	24.42	6.25	18.17	100
18	36	2004\40036D.xlsx	6	10	1	0	0.7	21.7	41.3	0.4	0.3	Shinichi	1	10	87.1	62.3	24.8	0.4	7	4	3	28.45	14.95	13.5	66.7
19	37	2004\40037.xlsx	9	11	0	0	0	24.2	47	1.8	1.6	Shinichi	1.3	15	88.59999695	71.2	17.4	2.1	7	6	1	31.83	16.39	15.44	78.9
20	38	2004\40038.xlsx	6	3	4	0	0	13.2	12.6	15.7	2.1	Shinichi	1.7	6	88.80000305	25.8	63	16.1	2	4	2	8.51	8.92	0.41	75
