"DVDRef","Tstart","Tend","State","Sex","Protocol"
1,1.1,1.6,"OF","0","Shinichi"
1,5,5.3,"OF","0","Shinichi"
1,9,9.3,"A","0","Shinichi"
1,9.3,10,"IN","0","Shinichi"
1,11.4,11.9,"A","0","Shinichi"
1,11.9,12.1,"IN","0","Shinichi"
1,19.7,20.1,"A","0","Shinichi"
1,20.1,20.8,"IN","0","Shinichi"
1,22,22.3,"A","0","Shinichi"
1,22.3,24.3,"IN","0","Shinichi"
1,26.1,26.5,"OF","0","Shinichi"
1,27.2,27.4,"OF","0","Shinichi"
1,29.5,30.1,"OF","0","Shinichi"
1,31.6,32.2,"OF","0","Shinichi"
1,59.3,59.6,"OF","0","Shinichi"
1,37.1,37.6,"OF","0","Shinichi"
1,40.4,40.8,"A","0","Shinichi"
1,40.8,42.2,"IN","0","Shinichi"
1,43.6,43.7,"OF","0","Shinichi"
1,49.5,49.7,"OF","0","Shinichi"
1,52,52.1,"A","0","Shinichi"
1,52.1,52.5,"IN","0","Shinichi"
1,53,53.4,"OF","0","Shinichi"
1,54.5,54.6,"OF","0","Shinichi"
1,55.7,55.9,"OF","0","Shinichi"
1,57.1,57.3,"OF","0","Shinichi"
1,58.1,58.5,"OF","0","Shinichi"
1,82.9,83.5,"IN","0","Shinichi"
1,60.6,62.2,"IN","0","Shinichi"
1,64.3,64.7,"OF","0","Shinichi"
1,66.5,66.8,"OF","0","Shinichi"
1,69.2,69.8,"A","0","Shinichi"
1,69.8,70.9,"IN","0","Shinichi"
1,77.4,77.8,"A","0","Shinichi"
1,77.8,78.8,"IN","0","Shinichi"
1,79.4,79.5,"A","0","Shinichi"
1,80.2,80.3,"A","1","Shinichi"
1,82.3,82.3,"IN","1","Shinichi"
1,82.3,82.8,"A","1","Shinichi"
1,82.8,82.9,"A","0","Shinichi"
1,89.5,89.9,"OF","0","Shinichi"
1,91.9,92.2,"A","0","Shinichi"
1,92.2,92.5,"IN","0","Shinichi"
5147,15.8,16.6,"IN","0","Shinichi"
5147,88.8,90.3,"IN","0","Shinichi"
5147,90.3,91.1,"A","0","Shinichi"
5147,92.1,92.5,"OF","0","Shinichi"
5147,93.3,93.4,"A","0","Shinichi"
5147,93.4,93.7,"IN","0","Shinichi"
5147,9.7,9.8,"OF","0","Shinichi"
5147,10.3,10.7,"OF","0","Shinichi"
5147,11.3,11.5,"OF","0","Shinichi"
5147,12.1,12.9,"OF","0","Shinichi"
5147,14.1,14.4,"A","0","Shinichi"
5147,14.4,14.8,"IN","0","Shinichi"
5147,17.1,17.2,"IN","0","Shinichi"
5147,18.9,20.3,"IN","0","Shinichi"
5147,21.9,22.3,"IN","0","Shinichi"
5147,23.8,24.7,"IN","0","Shinichi"
5147,25,28.6,"IN","0","Shinichi"
5147,44.5,44.8,"A","0","Shinichi"
5147,46.2,46.3,"A","0","Shinichi"
5147,46.3,47,"IN","0","Shinichi"
5147,47.2,47.6,"IN","0","Shinichi"
5147,56.1,56.6,"A","0","Shinichi"
5147,56.6,57,"IN","0","Shinichi"
5147,57.2,57.3,"A","0","Shinichi"
5147,57.6,58,"IN","0","Shinichi"
5147,60.7,60.8,"A","0","Shinichi"
5147,60.8,61.3,"IN","0","Shinichi"
5147,62.8,63.3,"A","0","Shinichi"
5147,63.3,64.1,"IN","0","Shinichi"
5147,65.3,65.6,"A","0","Shinichi"
5147,65.6,67.2,"IN","0","Shinichi"
5147,67.2,67.4,"A","0","Shinichi"
5147,72.5,73.1,"OF","0","Shinichi"
5147,73.8,74.5,"A","0","Shinichi"
5147,74.5,74.7,"IN","0","Shinichi"
5147,75,79.4,"IN","0","Shinichi"
5147,80.7,82.9,"OF","0","Shinichi"
5147,84.5,84.8,"OF","0","Shinichi"
5147,85.6,85.8,"A","0","Shinichi"
5147,85.8,86.4,"IN","0","Shinichi"
5147,87.1,87.4,"OF","0","Shinichi"
5147,2.5,4.4,"OF","0","Shinichi"
5147,6.8,6.9,"OF","0","Shinichi"
5147,7.6,7.7,"OF","0","Shinichi"
5147,8.2,8.4,"OF","0","Shinichi"
5147,8.8,9,"OF","0","Shinichi"
5147,15.7,15.8,"A","0","Shinichi"
5,4,4.1,"A","1","Shinichi"
5,4.1,9.2,"IN","1","Shinichi"
5,11,11.3,"A","1","Shinichi"
5,16.7,16.8,"A","1","Shinichi"
5,16.8,27.5,"IN","1","Shinichi"
5,10.3,11.1,"A","0","Shinichi"
