DVDRef	TstartFeedVisit	TendFeedVisit	Sex
1	1.1	1.6	0
1	5	5.3	0
1	9.3	10	0
1	11.9	12.1	0
1	20.1	20.8	0
1	22.3	24.3	0
1	26.1	26.5	0
1	27.2	27.4	0
1	29.5	30.1	0
1	31.6	32.2	0
1	37.1	37.6	0
1	40.8	42.2	0
1	43.6	43.7	0
1	49.5	49.7	0
1	52.1	52.5	0
1	53	53.4	0
1	54.5	54.6	0
1	55.7	55.9	0
1	57.1	57.3	0
1	58.1	58.5	0
1	59.3	59.6	0
1	60.6	62.2	0
1	64.3	64.7	0
1	66.5	66.8	0
1	69.8	70.9	0
1	77.8	78.8	0
1	82.3	82.3	1
1	82.9	83.5	0
1	89.5	89.9	0
1	92.2	92.5	0
5	4.1	9.2	1
5	16.8	27.5	1
5	34	35.4	1
5	35.8	38.3	1
5	38.4	38.6	1
5	38.7	40.4	1
5	45.8	52.2	0
5	51.9	56.6	1
5	56.7	59.7	0
5	60.4	61.3	0
5	61.4	66.8	1
5	67	72.9	0
5	73	74.1	1
5	75.2	81.4	1
5	82.4	84	1
5	83.9	87.9	0
9	1.5	2.2	1
9	2.3	20.1	0
9	3.6	3.7	1
9	11.3	11.4	1
9	20.2	26.1	1
9	29.7	39.3	0
9	31	31.3	1
9	34.7	35	1
9	36.8	37	1
9	39.5	46.5	0
9	43.5	43.8	1
9	46.6	52.1	0
9	50	50.3	1
9	52.2	61.1	1
9	61	64.9	0
9	65.5	76.2	0
9	67.2	68.3	1
9	76.2	76.2	1
9	76.4	90.5	0
9	80.4	80.8	1
9	83.6	83.8	1
9	90.9	91.5	0
9	91.6	93.7	1
10	3.1	5	1
10	6.8	7.4	1
10	7.5	13.7	0
10	16	17.9	0
10	18	19.1	1
10	20.6	24.3	1
10	25.1	34.8	0
10	34.8	38.4	1
10	38.7	43.6	0
10	44.3	48.7	1
10	53.4	66.2	0
10	66.3	69.1	1
10	70	73.9	1
10	75.4	80.2	0
10	80.3	82	1
10	86.1	90.3	1
10	92.9	93.7	0
11	7.8	9.1	1
11	9.1	19.5	0
11	19.6	30.5	1
11	30.7	31.2	1
11	31.3	52	0
11	52.5	54.8	1
11	54.9	60.7	0
11	60.7	63.5	1
11	63.6	76.1	0
11	77.4	82.9	1
11	83	92.5	0
11	92.6	92.6	1
14	4.2	5.3	1
14	5.2	15.2	0
14	15.2	18.5	1
14	18.5	23.2	0
14	23.3	29.7	1
14	29.7	34	0
14	34.1	51.5	1
14	54.1	63.5	0
14	68.5	72.7	0
14	72.8	75.4	1
14	75.5	80.3	0
14	80.5	86.8	1
14	86.8	93.6	0
19	69.1	71.3	1
19	74.1	75.3	1
19	75.6	76.3	1
19	78.6	79.5	1
20	3.6	7.4	0
20	7.9	12.2	0
20	11.4	11.6	1
20	13.4	17.2	0
20	17	22.5	1
20	23.2	25	1
20	29.5	35.9	1
20	35.9	51.8	0
20	54.7	57.3	1
20	57.3	61	0
20	61.1	75.5	1
20	75.4	78.1	0
20	79.5	85.5	0
20	85.8	91.2	1
20	91.2	93.8	0
24	3.2	13.8	0
24	18	21.5	1
24	23.7	27.7	0
24	27.8	36.1	1
24	36.1	40.7	0
24	40.7	42.1	1
24	42.2	50.1	0
24	50.4	52.9	1
24	53	62.7	0
24	65.5	67	0
24	67.1	72.5	1
24	75.4	80.2	0
24	80	80.2	1
24	80.9	85.9	1
24	87	92.4	0
25	14.5	14.9	1
25	15.5	16.1	1
25	21.4	26.5	1
25	28.9	43.6	1
25	48.1	50.9	1
25	53.3	68.6	1
25	75.7	76	1
25	75.9	76.3	0
25	78.1	78.1	1
25	78.5	78.6	0
25	79.1	79.5	0
25	79.8	80.2	0
25	82.5	84.1	1
25	84.1	84.5	0
25	85.1	92.9	1
25	93.3	93.3	0
26	4.2	6.5	0
26	6.7	6.8	1
26	9.1	10.2	1
26	10.1	12.2	0
26	14.1	14.4	1
26	17.6	18.2	0
26	19.1	19.3	0
26	20.5	24.8	0
26	26.2	32	0
26	42.4	44.6	0
26	44.8	54	1
26	54.1	61.6	1
26	63.6	73.6	0
26	73.7	76.4	1
26	77.2	79.1	0
26	83	88.8	0
26	89	90.7	1
26	90.9	91.3	1
26	91.4	91.7	0
27	2.8	4.8	0
27	4.7	13.6	1
27	13.5	23.9	0
27	23.7	32.2	1
27	31.2	33.8	0
27	32.5	33.8	1
27	35.9	41.5	0
27	41.4	44.7	1
27	46.7	51.6	0
27	51.5	60	1
27	59.8	69.7	0
27	69.6	73.5	1
27	73.2	79.3	0
27	79.4	83.9	1
27	83.8	93	0
27	92.9	93.7	1
30	2.7	16.1	0
30	3.5	3.7	1
30	9.1	9.2	1
30	9.8	9.8	1
30	13.5	13.7	1
30	16.1	29.3	1
30	29	33.3	0
30	33.5	42.1	0
30	35.2	35.4	1
30	42	43.9	1
30	43.7	52.3	0
30	52.4	52.9	1
30	55.8	63	1
30	62.8	69	0
30	68.1	68.2	1
30	69.3	77.7	0
30	77.8	82.1	1
30	81.6	87.1	0
30	87.3	87.6	1
30	87.8	91.6	1
30	92.2	93.7	0
31	26.7	35.2	1
31	46.8	52.8	1
31	66.7	67.2	0
31	70.5	71.7	0
31	89.5	93.7	1
32	33.1	33.9	1
32	35.7	36.3	1
32	37	37.7	1
32	38.3	39.3	1
33	7	9.1	1
33	9.5	10.6	1
33	10.5	13.2	0
33	13.7	23.5	0
33	23.6	27.1	1
33	32.4	33.9	1
33	35.6	36.9	0
33	37.2	46.8	0
33	49.9	52	1
33	52	57.5	0
33	58.3	72.4	1
33	83.8	90	0
33	93.7	93.7	0
34	39.1	47.5	1
34	54	86.8	0
36	4.4	4.7	1
36	7.7	13.3	0
36	13.9	19.2	0
36	20.3	23.7	0
36	24.3	26.2	1
36	32.5	33.1	0
36	33.2	42	1
36	37.3	37.5	0
36	42.2	51.4	1
36	45.1	45.5	0
36	51.3	61.4	0
36	65.1	71.7	0
36	75.1	84	0
36	85.1	85.2	1
36	89	89.2	0
36	89.2	90.6	1
37	2.7	4	0
37	4.2	10.6	1
37	11.1	17.6	0
37	18	21.2	0
37	21.4	24.6	1
37	26	33.5	0
37	33.6	37.4	1
37	39.9	40.3	1
37	41.4	51.2	0
37	51.3	53.2	1
37	53.2	54	0
37	57.5	63.4	0
37	63.5	64.9	1
37	65.5	67.8	0
37	67.9	71.3	1
37	71.8	76	0
37	76.1	76.5	1
37	81.5	86.2	0
37	87	87.8	0
37	87.9	91.2	1
38	6.8	10.5	1
38	15.7	17	0
38	17.1	17.8	1
38	25.2	28.6	0
38	28.7	32.5	1
38	65.4	65.7	1
38	66	68.6	1
38	69.4	77.3	0
38	77.4	79.5	1
39	3.2	10.8	0
39	10.9	13.6	1
39	13.3	19.7	0
39	19.8	23.7	1
39	23.6	30	0
39	30.2	35.6	1
39	35.6	39.3	0
39	39.4	40.7	1
39	40.7	44.1	0
39	44.2	48.1	1
39	48	51.7	0
39	51.8	53.7	1
39	53.7	63.2	0
39	63.2	65.7	1
39	66	66.6	0
39	67.9	68.1	1
39	68	86.2	0
39	86.9	92	1
39	92.1	93.7	0
44	1.1	6.8	0
44	7.1	8.3	1
44	8.2	9.2	0
44	10.6	19.5	0
44	19.7	20.8	1
44	20.8	20.9	0
44	22.3	24	0
44	24.1	24.8	1
44	25	30.6	1
44	30.5	35.6	0
44	36	37.9	0
44	38	41.1	1
44	41.7	54	0
44	56.6	57.6	0
44	58.1	60.6	1
44	60.8	65.1	0
44	65.5	70.3	0
44	70.5	71.9	1
44	74.6	75.6	1
44	75.6	84.9	0
44	88.8	92.4	0
44	92.6	93.7	0
45	3	6.6	1
45	6.5	9.1	0
45	11.5	15.2	1
45	15.6	18.8	1
45	22	23.7	1
45	23.6	34	0
45	34.4	35.4	1
45	36.5	37.4	0
45	38.4	45.1	0
45	45.5	50.1	0
45	50.2	53.3	1
45	53.5	57.1	0
45	57.1	57.3	1
45	59	61.4	0
45	61.5	64.9	1
45	67.7	67.9	0
45	68.6	69.5	0
45	69.6	69.8	1
45	69.7	71.1	0
45	71.2	81.8	0
45	82.2	84.8	0
45	87.1	87.7	1
45	88.9	90.9	1
45	91	93	0
45	92.7	93.7	1
48	0.3	3.3	0
48	3.1	6.9	1
48	7	17.7	0
48	17.8	21.2	1
48	23.3	28.9	0
48	28.9	42.5	1
48	46	56.6	0
48	47.5	47.6	1
48	56.7	62.2	1
48	62.2	68.4	0
48	68.5	72.6	1
48	73.9	74.3	1
48	76.6	80.7	0
48	80.8	85	1
48	85	88.6	0
50	2.5	11.8	0
50	12	12.7	1
50	15.1	15.4	1
50	15.4	15.5	0
50	16.6	23.6	0
50	23.6	27.7	1
50	30.2	31.6	1
50	31.7	37.1	0
50	37.3	40.5	0
50	41.3	42.7	0
50	42.8	45	0
50	46.3	49.4	1
50	46.3	46.8	0
50	49.5	54.5	0
50	56.7	57.6	0
50	57.6	60	1
50	61.4	63.1	0
50	63.2	63.5	1
50	66.3	66.7	1
50	67	71.6	0
50	71.6	71.9	1
50	72.6	74.3	0
50	74.4	77.1	1
50	77.1	77.3	0
50	84.3	85.3	0
50	85.4	90	1
50	89.9	92.9	0
54	4.1	5.7	0
54	5.9	6.4	1
54	7.7	18.9	0
54	10.3	11.7	1
54	19	19.3	1
54	19.5	21	0
54	21.1	27.3	1
54	27.3	32.5	0
54	32.6	37.3	1
54	37.4	39.5	0
54	40.5	46	1
54	54.3	73.8	0
54	59.5	59.8	1
54	73.9	75.2	1
54	76.1	79.5	1
54	80.2	88.5	0
54	88.5	91.6	1
54	91.8	93.8	0
58	1.5	1.7	1
58	5.6	9.8	0
58	9.9	15.3	1
58	16.6	24.6	0
58	25.2	25.7	1
58	25.6	28.6	0
58	28.6	34.5	1
58	34.6	37.3	0
58	37.3	37.7	1
58	39.7	40.6	1
58	40.7	45.5	0
58	45.6	46.5	1
58	46.3	49.8	0
58	50	50.2	1
58	50.3	53.1	0
58	53.5	54.5	0
58	54.5	55.6	1
58	55.5	58.8	0
58	58.8	60.1	1
58	60.2	60.7	0
58	64	64.8	1
58	64.7	68.3	0
58	68.3	69.3	1
58	72.6	75.8	0
58	75.9	76.7	1
58	78.1	82	0
58	82	82.9	1
58	83.5	84.5	1
58	84.6	86.8	0
59	2	16.4	0
59	4.7	5.1	1
59	5.3	6	1
59	16.9	27.2	0
59	27.2	33.6	1
59	33.6	53.7	0
59	53.7	61.8	1
59	61.8	68.4	0
59	68.7	76.4	0
59	76.8	78.9	0
59	80.8	81.4	1
59	81.5	81.9	0
59	82	86.8	1
59	86.8	91.1	0
59	91.2	92.7	1
59	92.8	93.7	0
63	6	6.5	1
63	12.5	24	0
63	24.1	38	1
63	39.5	43.3	0
63	43.3	50.5	1
63	50.5	61.2	0
63	61.1	63.8	1
63	63.8	68	0
63	68	74.8	1
63	74.8	78.9	0
63	78.9	84	1
63	83.9	93.7	0
66	3	16.7	0
66	10.7	11.3	1
66	16.8	22.2	1
66	22.2	35.7	0
66	29.5	30.3	1
66	30.7	31.9	1
66	35.8	43	1
66	43	69.5	0
66	53	53.9	1
66	61	63.1	1
66	69.5	76.6	1
66	75.4	90	0
66	82.7	84.4	1
66	90	93.8	1
69	1.5	15	0
69	15.4	15.5	1
69	20.7	23.3	0
69	23.9	24	1
69	25.1	30.8	0
69	32.2	32.5	1
69	33.5	38	0
69	38.8	38.9	1
69	40.2	51.7	0
69	53	53.1	1
69	53.2	54.2	0
69	54.4	54.6	1
69	55.3	61.5	0
69	61.9	62	1
69	66.3	71.1	0
69	72	72	1
69	73.5	74	0
69	77.3	77.5	1
69	77.6	80.9	0
69	80.4	80.5	1
69	80.9	81	1
69	85	93.7	0
70	3.1	5.9	0
70	6.2	6.3	1
70	15.9	24.9	0
70	27	27.2	0
70	27.2	27.4	1
70	28.2	30.7	0
70	30.7	30.9	1
70	31.4	42.9	0
70	42.9	43	1
70	46.6	47.9	1
70	47.9	48.9	0
70	54.5	62.7	0
70	62.9	63	1
70	67	68	1
70	68	68.6	0
70	68.7	71	1
70	71	74.7	0
70	74.7	93.8	1
71	5.3	8.3	0
71	10.8	11	0
71	26.4	27.8	0
71	33	40.4	0
71	36	36.1	1
71	40.5	40.6	1
71	44.5	57.4	0
71	75.7	80.4	0
71	82.7	85.7	0
72	7.8	8.1	1
72	11.5	11.7	1
72	12.7	13.2	1
72	20.6	20.8	1
72	21.6	22.4	1
72	25.1	25.3	1
72	47.4	52.6	1
72	53.6	53.8	1
72	62	64.3	1
72	77.9	79.3	1
72	91.7	93.2	1
72	93.3	93.8	1
73	8.8	16.6	0
73	16.7	18.9	0
73	19.1	20.2	0
73	21.3	24	1
73	24	35	0
73	36	36.9	0
73	38.5	44.3	0
73	44.5	49.9	1
73	49.7	51.4	0
73	51.9	52.5	1
73	52.8	78.5	1
73	79.9	86	0
73	87.5	93.6	0
74	3	5	0
74	5.7	9.5	0
74	9.5	10.5	0
74	11	18	0
74	19.7	19.8	0
74	20	25	0
74	25.9	29	0
74	30.3	32.4	0
74	33.1	33.5	1
74	33.7	36.7	0
74	39	43.1	0
74	46	52.4	0
74	53.2	54.7	0
74	55.5	58	0
74	60.2	60.3	0
74	60.9	61.4	0
74	62.7	63.9	0
74	66.6	68.7	0
74	67.5	67.5	1
74	68.7	70.5	1
74	70.5	72.1	0
74	72.3	77	0
74	77.3	84.9	0
74	85.6	88.9	1
74	88.9	92	0
75	11	11.2	0
75	12.5	12.9	0
75	13.8	15.9	0
75	16.9	17	0
75	21.5	26.8	0
75	30.7	33.2	0
75	38.2	38.4	0
75	38.9	39	0
75	39.5	39.7	0
75	40	40.1	0
75	40.7	50.7	0
75	52.4	52.9	0
75	53.9	54	0
75	54.3	54.5	0
75	55	55.3	0
75	55.8	56	0
75	56.4	56.7	0
75	60.3	62.5	0
75	66	69.3	0
75	72.5	77	0
75	82	86.3	0
75	88.7	89	0
75	92	92.3	0
76	2.8	12.6	0
76	2.9	3.6	1
76	12.6	18.5	1
76	20	24.5	0
76	21.3	21.3	1
76	24.5	28.9	1
76	30	30.5	1
76	33.6	33.8	1
76	35.2	37.9	0
76	37.9	43	1
76	43	48	0
76	47.5	48	1
76	48.1	54.3	0
76	54.5	63.2	1
