"DVDRef","Tstart","Sex","Interval","splitID"
"36",4.4,1,0,1
"36",7.7,0,0,1
"36",13.9,0,6.2,1
"36",20.3,0,6.4,1
"36",24.3,1,19.9,1
"36",32.5,0,12.2,1
"36",33.2,1,8.9,1
"36",37.3,0,4.8,1
"36",42.2,1,9,1
"36",45.1,0,7.8,1
"36",51.3,0,6.2,1
"36",65.1,0,13.8,1
"36",75.1,0,10,1
"36",85.1,1,42.9,1
"36",89,0,13.9,1
"36",89.2,1,4.1,1
"39",3.2,0,0,2
"39",10.9,1,0,2
"39",13.3,0,10.1,2
"39",19.8,1,8.9,2
"39",23.6,0,10.3,2
"39",30.2,1,10.4,2
"39",35.6,0,12,2
"39",39.4,1,9.2,2
"39",40.7,0,5.1,2
"39",44.2,1,4.8,2
"39",48,0,7.3,2
"39",51.8,1,7.6,2
"39",53.7,0,5.7,2
"39",63.2,1,11.4,2
"39",66,0,12.3,2
"39",67.9,1,4.7,2
"39",68,0,2,2
"39",86.9,1,19,2
"39",92.1,0,24.1,2
"45",3,1,0,3
"45",6.5,0,0,3
"45",11.5,1,8.5,3
"45",15.6,1,4.1,3
"45",22,1,6.4,3
"45",23.6,0,17.1,3
"45",34.4,1,12.4,3
"45",36.5,0,12.9,3
"45",38.4,0,1.9,3
"45",45.5,0,7.1,3
"45",50.2,1,15.8,3
"45",53.5,0,8,3
"45",57.1,1,6.9,3
"45",59,0,5.5,3
"45",61.5,1,4.4,3
"45",67.7,0,8.7,3
"45",68.6,0,0.9,3
"45",69.6,1,8.1,3
"45",69.7,0,1.1,3
"45",71.2,0,1.5,3
"45",82.2,0,11,3
"45",87.1,1,17.5,3
"45",88.9,1,1.8,3
"45",91,0,8.8,3
"45",92.7,1,3.8,3
"69",1.5,0,0,4
"69",15.4,1,0,4
"69",20.7,0,19.2,4
"69",23.9,1,8.5,4
"69",25.1,0,4.4,4
"69",32.2,1,8.3,4
"69",33.5,0,8.4,4
"69",38.8,1,6.6,4
"69",40.2,0,6.7,4
"69",53,1,14.2,4
"69",53.2,0,13,4
"69",54.4,1,1.4,4
"69",55.3,0,2.1,4
"69",61.9,1,7.5,4
"69",66.3,0,11,4
"69",72,1,10.1,4
"69",73.5,0,7.2,4
"69",77.3,1,5.3,4
"69",77.6,0,4.1,4
"69",80.4,1,3.1,4
"69",80.9,1,0.5,4
"69",85,0,7.4,4
"71",5.3,0,0,5
"71",10.8,0,5.5,5
"71",26.4,0,15.6,5
"71",33,0,6.6,5
"71",36,1,0,5
"71",40.5,1,4.5,5
"71",44.5,0,11.5,5
"71",75.7,0,31.2,5
"71",82.7,0,7,5
"74",3,0,0,6
"74",5.7,0,2.7,6
"74",9.5,0,3.8,6
"74",11,0,1.5,6
"74",19.7,0,8.7,6
"74",20,0,0.3,6
"74",25.9,0,5.9,6
"74",30.3,0,4.4,6
"74",33.1,1,0,6
"74",33.7,0,3.4,6
"74",39,0,5.3,6
"74",46,0,7,6
"74",53.2,0,7.2,6
"74",55.5,0,2.3,6
"74",60.2,0,4.7,6
"74",60.9,0,0.7,6
"74",62.7,0,1.8,6
"74",66.6,0,3.9,6
"74",67.5,1,34.4,6
"74",68.7,1,1.2,6
"74",70.5,0,3.9,6
"74",72.3,0,1.8,6
"74",77.3,0,5,6
"74",85.6,1,16.9,6
"74",88.9,0,11.6,6
"79",3.8,1,0,7
"79",4.1,0,0,7
"79",21.7,1,17.9,7
"79",22.5,0,18.4,7
"79",38.9,0,16.4,7
"79",44.3,0,5.4,7
"79",48.3,1,26.6,7
"79",50,0,5.7,7
"79",65.3,1,17,7
"79",73,1,7.7,7
"79",73.9,0,23.9,7
"79",76,1,3,7
"79",92.1,0,18.2,7
"81",3.5,0,0,8
"81",5.2,0,1.7,8
"81",7.4,0,2.2,8
"81",10.2,0,2.8,8
"81",12.2,0,2,8
"81",13.9,0,1.7,8
"81",15.8,0,1.9,8
"81",20.7,0,4.9,8
"81",21.2,1,0,8
"81",22.1,0,1.4,8
"81",25.6,0,3.5,8
"81",26.9,0,1.3,8
"81",33.8,1,12.6,8
"81",33.9,0,7,8
"81",35.4,0,1.5,8
"81",36.8,0,1.4,8
"81",38.6,1,4.8,8
"81",38.9,0,2.1,8
"81",41,0,2.1,8
"81",42.6,0,1.6,8
"81",45.9,0,3.3,8
"81",50.9,0,5,8
"81",53.2,0,2.3,8
"81",54.6,0,1.4,8
"81",65.5,0,10.9,8
"81",67.5,0,2,8
"81",69.1,0,1.6,8
"81",73,0,3.9,8
"81",74.8,0,1.8,8
"81",80.2,0,5.4,8
"81",88.7,0,8.5,8
"81",90.3,0,1.6,8
"81",91.9,0,1.6,8
"84",0,0,0,9
"84",11.6,0,11.6,9
"84",11.9,0,0.3,9
"84",24.7,1,0,9
"84",29,0,17.1,9
"84",34.5,0,5.5,9
"84",38,1,13.3,9
"84",43.9,0,9.4,9
"84",50,1,12,9
"84",57.8,1,7.8,9
"84",61.5,0,17.6,9
"84",72.2,1,14.4,9
"84",75.1,0,13.6,9
"84",79.1,0,4,9
"84",80.1,1,7.9,9
"84",86.3,0,7.2,9
"84",92.9,1,12.8,9
"89",2,0,0,10
"89",8.9,1,0,10
"89",9.4,0,7.4,10
"89",22.9,1,14,10
"89",23.3,1,0.4,10
"89",25.9,0,16.5,10
"89",28,1,4.7,10
"89",29.3,0,3.4,10
"89",31,1,3,10
"89",32,1,1,10
"89",35.3,1,3.3,10
"89",39.5,0,10.2,10
"89",42,1,6.7,10
"89",45.7,0,6.2,10
"89",45.9,1,3.9,10
"89",47.1,1,1.2,10
"89",48.4,1,1.3,10
"89",48.6,0,2.9,10
"89",50,0,1.4,10
"89",52.3,1,3.9,10
"89",54.9,0,4.9,10
"89",55,1,2.7,10
"89",57.5,0,2.6,10
"89",61.6,1,6.6,10
"89",65.8,0,8.3,10
"89",66.4,1,4.8,10
"89",73,1,6.6,10
"89",76.5,0,10.7,10
"89",81.6,0,5.1,10
"89",88.8,1,15.8,10
"89",90.6,0,9,10
"89",91.5,1,2.7,10
"90",9.7,1,0,11
"90",15.9,0,0,11
"90",38.3,1,28.6,11
"90",43.2,0,27.3,11
"90",52.6,0,9.4,11
"90",63,1,24.7,11
"90",70.8,0,18.2,11
"90",85.9,1,22.9,11
"103",1,1,0,12
"103",1.8,1,0.8,12
"103",2.3,1,0.5,12
"103",9.7,0,0,12
"103",13.2,1,10.9,12
"103",17.6,1,4.4,12
"103",18.3,0,8.6,12
"103",25.5,1,7.9,12
"103",25.7,0,7.4,12
"103",26,1,0.5,12
"103",26.7,0,1,12
"103",26.9,1,0.9,12
"103",39.7,0,13,12
"103",40.8,0,1.1,12
"103",42.6,1,15.7,12
"103",43.4,0,2.6,12
"103",44.2,0,0.8,12
"103",45.6,0,1.4,12
"103",46.2,1,3.6,12
"103",46.3,0,0.7,12
"103",47.1,0,0.8,12
"103",50.2,0,3.1,12
"103",50.8,1,4.6,12
"103",51,0,0.8,12
"103",59,0,8,12
"103",59.8,0,0.8,12
"103",60.2,1,9.4,12
"103",61,0,1.2,12
"103",71.3,0,10.3,12
"103",74.5,1,14.3,12
"103",80.8,0,9.5,12
"103",83.6,0,2.8,12
"103",86.9,1,12.4,12
"103",93.5,0,9.9,12
"105",0,0,0,13
"105",14.4,0,14.4,13
"105",19.5,0,5.1,13
"105",22.9,0,3.4,13
"105",24.4,1,0,13
"105",27,0,4.1,13
"105",28.9,1,4.5,13
"105",35,0,8,13
"105",41.3,1,12.4,13
"105",47.9,0,12.9,13
"105",56,0,8.1,13
"105",75.7,0,19.7,13
"105",77,1,35.7,13
"105",80.3,1,3.3,13
"105",87.5,0,11.8,13
"105",91.5,1,11.2,13
"105",93.5,1,2,13
"106",2.1,0,0,14
"106",6,0,3.9,14
"106",9,1,0,14
"106",12,1,3,14
"106",14.9,1,2.9,14
"106",15.1,0,9.1,14
"106",17.9,1,3,14
"106",20.2,1,2.3,14
"106",23,1,2.8,14
"106",24.8,1,1.8,14
"106",26.1,0,11,14
"106",29.7,1,4.9,14
"106",34,0,7.9,14
"106",37,1,7.3,14
"106",37.7,0,3.7,14
"106",39.5,1,2.5,14
"106",45.3,0,7.6,14
"106",56.4,0,11.1,14
"106",59.8,1,20.3,14
"106",63.8,0,7.4,14
"106",65.3,1,5.5,14
"106",68.6,0,4.8,14
"106",71.3,1,6,14
"106",74.6,0,6,14
"106",75.5,1,4.2,14
"106",81,0,6.4,14
"106",87.2,1,11.7,14
"106",89,1,1.8,14
"107",1.3,0,0,15
"107",8.2,0,6.9,15
"107",14.2,0,6,15
"107",20,1,0,15
"107",23.2,0,9,15
"107",24.9,0,1.7,15
"107",35.1,0,10.2,15
"107",47.6,0,12.5,15
"107",58,1,38,15
"107",59,0,11.4,15
"107",71,0,12,15
"107",84.5,0,13.5,15
"107",85.7,0,1.2,15
"108",1.2,0,0,16
"108",1.7,0,0.5,16
"108",2.6,1,0,16
"108",7.6,0,5.9,16
"108",11,0,3.4,16
"108",11.6,1,9,16
"108",13.5,0,2.5,16
"108",19,0,5.5,16
"108",21.8,0,2.8,16
"108",21.8,1,10.2,16
"108",23,0,1.2,16
"108",26.1,1,4.3,16
"108",26.6,1,0.5,16
"108",27.7,0,4.7,16
"108",28.4,1,1.8,16
"108",29.6,0,1.9,16
"108",32.8,0,3.2,16
"108",33.5,1,5.1,16
"108",35.2,0,2.4,16
"108",36.4,1,2.9,16
"108",40,1,3.6,16
"108",43.6,1,3.6,16
"108",48.7,0,13.5,16
"108",50.5,0,1.8,16
"108",52.2,0,1.7,16
"108",55.2,1,11.6,16
"108",58.1,0,5.9,16
"108",60.1,0,2,16
"108",63.8,0,3.7,16
"108",67.3,0,3.5,16
"108",69.2,1,14,16
"108",71.6,1,2.4,16
"108",72.1,0,4.8,16
"108",75.2,1,3.6,16
"108",81,0,8.9,16
"108",89.4,0,8.4,16
"108",91.7,1,16.5,16
"108",92,0,2.6,16
"109",8.3,1,0,17
"109",11.3,0,0,17
"109",12.2,0,0.9,17
"109",13.3,1,5,17
"109",20,1,6.7,17
"109",21.9,0,9.7,17
"109",27.8,0,5.9,17
"109",30.6,1,10.6,17
"109",31.7,1,1.1,17
"109",35.2,1,3.5,17
"109",42.7,0,14.9,17
"109",43,0,0.3,17
"109",43.2,1,8,17
"109",45.6,0,2.6,17
"109",45.8,0,0.2,17
"109",49.9,1,6.7,17
"109",51,0,5.2,17
