year	month	day	Sunrise
2004	04	01	06:50
2004	04	02	06:48
2004	04	03	06:46
2004	04	04	06:44
2004	04	05	06:41
2004	04	06	06:39
2004	04	07	06:37
2004	04	08	06:35
2004	04	09	06:32
2004	04	10	06:30
2004	04	11	06:28
2004	04	12	06:26
2004	04	13	06:24
2004	04	14	06:22
2004	04	15	06:19
2004	04	16	06:17
2004	04	17	06:15
2004	04	18	06:13
2004	04	19	06:11
2004	04	20	06:09
2004	04	21	06:07
2004	04	22	06:05
2004	04	23	06:03
2004	04	24	06:01
2004	04	25	05:58
2004	04	26	05:56
2004	04	27	05:55
2004	04	28	05:53
2004	04	29	05:51
2004	04	30	05:49
2004	05	01	05:47
2004	05	02	05:45
2004	05	03	05:43
2004	05	04	05:41
2004	05	05	05:39
2004	05	06	05:38
2004	05	07	05:36
2004	05	08	05:34
2004	05	09	05:33
2004	05	10	05:31
2004	05	11	05:29
2004	05	12	05:28
2004	05	13	05:26
2004	05	14	05:25
2004	05	15	05:23
2004	05	16	05:22
2004	05	17	05:20
2004	05	18	05:19
2004	05	19	05:17
2004	05	20	05:16
2004	05	21	05:15
2004	05	22	05:14
2004	05	23	05:12
2004	05	24	05:11
2004	05	25	05:10
2004	05	26	05:09
2004	05	27	05:08
2004	05	28	05:07
2004	05	29	05:06
2004	05	30	05:05
2004	05	31	05:04
2004	06	01	05:03
2004	06	02	05:03
2004	06	03	05:02
2004	06	04	05:01
2004	06	05	05:01
2004	06	06	05:00
2004	06	07	05:00
2004	06	08	04:59
2004	06	09	04:59
2004	06	10	04:58
2004	06	11	04:58
2004	06	12	04:58
2004	06	13	04:58
2004	06	14	04:57
2004	06	15	04:57
2004	06	16	04:57
2004	06	17	04:57
2004	06	18	04:57
2004	06	19	04:57
2004	06	20	04:58
2004	06	21	04:58
2004	06	22	04:58
2004	06	23	04:58
2004	06	24	04:59
2004	06	25	04:59
2004	06	26	04:59
2004	06	27	05:00
2004	06	28	05:01
2004	06	29	05:01
2004	06	30	05:02
2004	07	01	05:02
2004	07	02	05:03
2004	07	03	05:04
2004	07	04	05:05
2004	07	05	05:06
2004	07	06	05:06
2004	07	07	05:07
2004	07	08	05:08
2004	07	09	05:09
2004	07	10	05:10
2004	07	11	05:11
2004	07	12	05:12
2004	07	13	05:14
2004	07	14	05:15
2004	07	15	05:16
2004	07	16	05:17
2004	07	17	05:18
2004	07	18	05:20
2004	07	19	05:21
2004	07	20	05:22
2004	07	21	05:24
2004	07	22	05:25
2004	07	23	05:26
2004	07	24	05:28
2004	07	25	05:29
2004	07	26	05:31
2004	07	27	05:32
2004	07	28	05:33
2004	07	29	05:35
2004	07	30	05:36
2004	07	31	05:38
2004	08	01	05:39
2004	08	02	05:41
2004	08	03	05:42
2004	08	04	05:44
2004	08	05	05:46
2004	08	06	05:47
2004	08	07	05:49
2004	08	08	05:50
2004	08	09	05:52
2004	08	10	05:53
2004	08	11	05:55
2004	08	12	05:57
2004	08	13	05:58
2004	08	14	06:00
2004	08	15	06:01
2004	08	16	06:03
2004	08	17	06:05
2004	08	18	06:06
2004	08	19	06:08
2004	08	20	06:09
2004	08	21	06:11
2004	08	22	06:13
2004	08	23	06:14
2004	08	24	06:16
2004	08	25	06:17
2004	08	26	06:19
2004	08	27	06:21
2004	08	28	06:22
2004	08	29	06:24
2004	08	30	06:25
2004	08	31	06:27
2005	04	01	06:51
2005	04	02	06:49
2005	04	03	06:46
2005	04	04	06:44
2005	04	05	06:42
2005	04	06	06:40
2005	04	07	06:37
2005	04	08	06:35
2005	04	09	06:33
2005	04	10	06:31
2005	04	11	06:29
2005	04	12	06:26
2005	04	13	06:24
