"BroodRef","DVDRef","FVisit1","MVisit1","NbAlternation","NbAMax","EffectiveTime","FVisit1RateH","MVisit1RateH","VisitRateDifference","TotalProRate","AlternationValue","SynchronyFeedValue","PropSynchroFemaleStart","AMax","DVDInfoChickNb","ChickAgeCat","RelTimeHrs","MFVisit1","BreedingYear","HatchingDayAfter0401","SocialMumID","SocialDadID","DadAge","MumAge","ParentsAge","MBroodNb","MPriorResidence","MnextNBsame","MwillDivorce","FBroodNb","FPriorResidence","FnextNBsame","FwillDivorce","PairID","PairBroodNb","PairIDYear","NbRinged","AvgMass","MinMass","AvgTarsus","sdMass","sdTarsus","MixedBroodYN"
"5",539,11,12,16,22,88.6000015258789,7,8,1,15,72.7,18.2,25,100,2,"Age06",1.22,23,"2004",120,"122","132",3,3,3,7,TRUE,NA,NA,6,TRUE,TRUE,FALSE,"132122",5,"1321222004",1,21.5,21.5,17.3999996185303,NA,NA,FALSE
"6",545,8,7,11,14,87.0000030517578,6,5,1,11,78.6,0,NA,100,1,"Age06",2.18,15,"2004",121,"988","145",3,1,2,7,FALSE,TRUE,FALSE,4,FALSE,TRUE,FALSE,"145988",4,"1459882004",1,19.6000003814697,19.6000003814697,18.2000007629395,NA,NA,FALSE
"6",557,8,9,6,16,90.3999969482422,5,6,1,11,37.5,12.5,50,100,1,"Age10",1.08,17,"2004",121,"988","145",3,1,2,7,FALSE,TRUE,FALSE,4,FALSE,TRUE,FALSE,"145988",4,"1459882004",1,19.6000003814697,19.6000003814697,18.2000007629395,NA,NA,FALSE
"7",546,8,6,11,12,86.0999969482422,6,4,2,10,84.6,0,NA,92.31,2,"Age06",1.18,14,"2004",121,"857","4247",4,1,2.5,8,TRUE,NA,NA,3,TRUE,TRUE,FALSE,"4247857",3,"42478572004",2,17.8000001907349,16,16.25,2.54558468201138,1.06066017177982,FALSE
"7",556,12,5,6,10,88.5999984741211,8,3,5,11,37.5,12.5,100,62.5,2,"Age10",0.92,17,"2004",121,"857","4247",4,1,2.5,8,TRUE,NA,NA,3,TRUE,TRUE,FALSE,"4247857",3,"42478572004",2,17.8000001907349,16,16.25,2.54558468201138,1.06066017177982,FALSE
"27",579,13,10,12,20,88.6999969482422,9,7,2,16,54.5,4.5,100,90.91,1,"Age06",1.07,23,"2005",29,"533","417",3,2,2.5,6,TRUE,TRUE,FALSE,3,TRUE,TRUE,FALSE,"417533",3,"4175332005",1,20.6000003814697,20.6000003814697,17,NA,NA,TRUE
"27",619,15,7,10,14,82.6,11,5,6,16,47.6,14.3,100,66.67,1,"Age10",1,22,"2005",29,"533","417",3,2,2.5,6,TRUE,TRUE,FALSE,3,TRUE,TRUE,FALSE,"417533",3,"4175332005",1,20.6000003814697,20.6000003814697,17,NA,NA,TRUE
"39",696,7,4,8,8,93.6999969482422,4,3,1,7,80,0,NA,80,1,"Age06",0.7,11,"2005",41,"427","22",4,3,3.5,8,TRUE,FALSE,FALSE,8,TRUE,FALSE,FALSE,"22427",8,"224272005",1,23.6000003814697,23.6000003814697,18.1000003814697,NA,NA,FALSE
"39",727,22,1,2,2,89.5,15,1,14,16,9.1,4.5,0,9.09,1,"Age10",0.78,23,"2005",41,"427","22",4,3,3.5,8,TRUE,FALSE,FALSE,8,TRUE,FALSE,FALSE,"22427",8,"224272005",1,23.6000003814697,23.6000003814697,18.1000003814697,NA,NA,FALSE
"40",694,12,9,15,18,91.8,8,6,2,14,75,5,100,90,2,"Age06",0.7,21,"2005",41,"917","4463",6,2,4,8,TRUE,TRUE,FALSE,3,TRUE,TRUE,FALSE,"4463917",3,"44639172005",2,20,20,16.7000007629395,0,0.707106781186548,FALSE
"40",726,29,11,20,22,90.1999969482422,19,7,12,26,51.3,10.3,50,56.41,2,"Age10",0.78,40,"2005",41,"917","4463",6,2,4,8,TRUE,TRUE,FALSE,3,TRUE,TRUE,FALSE,"4463917",3,"44639172005",2,20,20,16.7000007629395,0,0.707106781186548,FALSE
"44",737,11,30,19,22,93.6999969482422,7,19,12,26,47.5,10,75,55,3,"Age10",2.65,41,"2005",42,"342","421",3,3,3,5,TRUE,TRUE,FALSE,3,TRUE,TRUE,FALSE,"421342",3,"4213422005",2,18.7000002861023,15.1999998092651,17.3999996185303,4.94974814265547,1.97989844784264,FALSE
"44",706,10,12,12,20,91.6999969482422,7,8,1,15,57.1,9.5,50,95.24,3,"Age06",5.73,22,"2005",42,"342","421",3,3,3,5,TRUE,TRUE,FALSE,3,TRUE,TRUE,FALSE,"421342",3,"4213422005",2,18.7000002861023,15.1999998092651,17.3999996185303,4.94974814265547,1.97989844784264,FALSE
